rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Saad Lamjarred | سعد لمجرد @UC9hJ5XcjHXYjwDOqrlQUuow,13.9M,0.8%,المغرب,,4.2M,youtube,morocco,False,2024,NA,NA,
2,Experienced Mojaraba TV @UCCvguzToWt3PYumFPRusUKg,10.8M,-,المغرب,,3.2M,youtube,morocco,False,2024,NA,NA,
3,هل تعلم؟ @UCa7lQu3RM6p88h4KOfTpqWA,9M,-,المغرب,,2.7M,youtube,morocco,False,2024,NA,NA,
4,2MTV @UClozwh5URilIQpDFeXch8qw,7.5M,-,المغرب,Television,2.3M,youtube,morocco,False,2024,Entertainment,MAPPED,Television
5,WHITE444 YT @UCI14hkaiRn8cJl-bSZGmSuw,5.5M,-,المغرب,,1.7M,youtube,morocco,False,2024,NA,NA,
6,Misaha | مساحة @UCAHfrKOebWz6_23eKKm9vqw,5.2M,-,المغرب,,1.6M,youtube,morocco,False,2024,NA,NA,
7,إستفد @UCkFYKn7RditA-BnWCTxJvMg,5.2M,-,المغرب,,1.6M,youtube,morocco,False,2024,NA,NA,
8,موقع الشيخ عبد الباسط عبد الصمد @UCoD5-Dk95rFMtk5iCXqak6w,5.1M,-,المغرب,,1.5M,youtube,morocco,False,2024,NA,NA,
9,الطريق إلى الجنة Road to Heaven @UCyiOlgJIOwK_gSNB9R8ATFg,4.7M,-,المغرب,,1.4M,youtube,morocco,False,2024,NA,NA,
10,halawiyat karamilla حلويات كراميلا @UCfhOpHNCA8nUq4_hQQr_QNQ,4.3M,-,المغرب,,1.3M,youtube,morocco,False,2024,NA,NA,
11,Jamal Alpha @UCsqemzGBSJryRUmjp2M_jjQ,4.2M,0.2%,المغرب,,1.3M,youtube,morocco,False,2024,NA,NA,
12,قناة المحترف | Almohtarif channel @UCO58fldVogtwlz7c2PTeWrg,4.1M,-,المغرب,,1.2M,youtube,morocco,False,2024,NA,NA,
13,Baraka lBaraka @UC68yhEwJBSFt8UcWy-dDA-g,3.8M,-,المغرب,,1.1M,youtube,morocco,False,2024,NA,NA,
14,RECIPES FOR YOU @UCq6akguHzmPR6dqIqhuUIAA,3.7M,0.1%,المغرب,,1.1M,youtube,morocco,False,2024,NA,NA,
15,HEROSHIMA YT @UCKbA2ZlS_vEDtuzZlbg1ypw,3.6M,0.3%,المغرب,,1.1M,youtube,morocco,False,2024,NA,NA,
16,هل تعلم؟ علوم وتكنولوجيا @UCqTkFz1f2q2-nwpTekI0_UQ,3.6M,-,المغرب,,1.1M,youtube,morocco,False,2024,NA,NA,
