rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Brawl Stars @UCooVYzDxdwTtGYAkcPmOgOw,12500000.0,,芬蘭,電子遊戲,3800000.0,youtube,finland,False,2024,UNMAPPED,UNMAPPED,電子遊戲
2,TheRelaxingEnd @UCWVuy4NPohItH9-Gr7e8wqw,8800000.0,,芬蘭,,2700000.0,youtube,finland,False,2024,,,
3,Asoo اسو @UCTLYhp6mZAJQaVI4mkfuVuw,4600000.0,1.7,芬蘭,,1400000.0,youtube,finland,False,2024,,,
4,Pongfinity @UCcILXXthGExGeKAQLAIUaFQ,3600000.0,,芬蘭,,1100000.0,youtube,finland,False,2024,,,
5,Hydraulic Press Channel @UCcMDMoNu66_1Hwi5-MeiQgw,3500000.0,,芬蘭,,1100000.0,youtube,finland,False,2024,,,
6,Rabbert @UCaqi3SRvGTlPptx0ns90UOA,3000000.0,43.0,芬蘭,,903000.0,youtube,finland,False,2024,,,
7,Aurikatariina @UCEHFYTkv0IIn6RYJBNcgr-Q,2000000.0,,芬蘭,,591000.0,youtube,finland,False,2024,,,
8,Memenade @UCCWp4CCmI2JmIaoAuv0ocEA,1800000.0,,芬蘭,,552000.0,youtube,finland,False,2024,,,
9,ميمو دانو memo & dano @UC926aEkma-BJwlrvV6YUz8w,1800000.0,,芬蘭,,534000.0,youtube,finland,False,2024,,,
10,Hay Day @UCBrMq7wkdPWb3PxR-GUR61A,1700000.0,,芬蘭,,522000.0,youtube,finland,False,2024,,,
11,Nightwish @UCQplaZZ2mv8fo8Zd-1hQPzg,1400000.0,,芬蘭,,429000.0,youtube,finland,False,2024,,,
12,JANTSUU @UC8CwVsDta65Ifv5jr7nlBCQ,1300000.0,,芬蘭,,396000.0,youtube,finland,False,2024,,,
13,JZR @UCj5vJkkGaSvy0HcVJQ2Hg-g,1200000.0,1.0,芬蘭,,348000.0,youtube,finland,False,2024,,,
14,InFormative Bangla @UCqBBLjEW-DL5KhlqWTcRbvg,1100000.0,0.3,芬蘭,,336000.0,youtube,finland,False,2024,,,
