rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
72,Jack Bohloko @UCjOfF7d911dLcJWRavezk8A,279K,-,South Africa,,83.7K,youtube,south-africa,False,2024,NA,NA
73,Prince Kaybee @UCR7jIlutgJoNfcqq4GDoH2w,277K,-,South Africa,,83.1K,youtube,south-africa,False,2024,NA,NA
74,Showmax @UCrwTExTkzOhMYkisQRHC2rg,266K,-,South Africa,,79.8K,youtube,south-africa,False,2024,NA,NA
75,Mr JazziQ @UCAdL_OJQ8El-Yxye0FE4jeQ,263K,2.3%,South Africa,,78.9K,youtube,south-africa,False,2024,NA,NA
76,beautarie @UCkOpz7yI4B2BG9s0GhlHEYQ,261K,-,South Africa,,78.3K,youtube,south-africa,False,2024,NA,NA
77,Johan Swanepoel @UCBjwqkvxKq_acOSLRMgzp9g,256K,-,South Africa,,76.8K,youtube,south-africa,False,2024,NA,NA
78,Mpoomy Ledwaba @UC72Q1TW6NVbcpt604NgX5KQ,254K,-,South Africa,Music,76.2K,youtube,south-africa,False,2024,Music,MAPPED
79,Cream Puff @UCVDPmj45l94H_bsum7mfnGw,254K,-,South Africa,,76.2K,youtube,south-africa,False,2024,NA,NA
80,Wild Africa Adventure Films @UCbgAsqAJYbNW3RdgIfjy67g,247K,-,South Africa,,74.1K,youtube,south-africa,False,2024,NA,NA
81,Built IRL @UC4gbCGiEov1VAcOFpfGKPiA,245K,-,South Africa,,73.5K,youtube,south-africa,False,2024,NA,NA
82,Kay Yarms @UCpEquK2QpZrwIFzxwnr9-Gg,244K,5.3%,South Africa,,73.2K,youtube,south-africa,False,2024,NA,NA
83,Inkabi Records @UCqQFGn61VFpAODl5ZLiCGKA,235K,7.5%,South Africa,,70.5K,youtube,south-africa,False,2024,NA,NA
84,Xhosanostra TV @UCTKqP0KbvbRlnGKzcwfrWAw,235K,2.7%,South Africa,,70.5K,youtube,south-africa,False,2024,NA,NA
85,Emotional reader @UCAIks49asygzUcmov8B10BQ,234K,-,South Africa,,70.2K,youtube,south-africa,False,2024,NA,NA
86,Mzansi Fresh Dancers @UCSWAzxal9yd3RH15d0a9nNw,232K,0.6%,South Africa,,69.6K,youtube,south-africa,False,2024,NA,NA
87,Game Drive Channel @UCMkrN4gjvV7zslL_Kl8tSCQ,231K,-,South Africa,,69.3K,youtube,south-africa,False,2024,NA,NA
88,MUTHALAND TV @UCCvzuJsuwojJnSQwmUKan4Q,230K,-,South Africa,,69K,youtube,south-africa,False,2024,NA,NA
89,DStv @UCgK0ISOrgUkitGvKo4c9Wfg,230K,-,South Africa,,69K,youtube,south-africa,False,2024,NA,NA
90,Lesiba Mothupi @UChCc2cTYSxDjUafGQSRmaDw,225K,0.4%,South Africa,,67.5K,youtube,south-africa,False,2024,NA,NA
91,Kusemek @UCUXL7_cdSqJiZn_XqMkUaww,223K,-,South Africa,,66.9K,youtube,south-africa,False,2024,NA,NA
92,Tio Yado Humorista Arte Tv @UC8mfwn3nN1_vRnJ1s1HWnEQ,222K,-,South Africa,,66.6K,youtube,south-africa,False,2024,NA,NA
93,Koko Records @UCO-NoPS5l1g1cvbqp8lYHpQ,217K,1%,South Africa,,65.1K,youtube,south-africa,False,2024,NA,NA
94,Woodshop Junkies @UCzHueSosfT92NUVmhrz7Hjw,217K,1%,South Africa,,65.1K,youtube,south-africa,False,2024,NA,NA
95,Sho Madjozi @UCkOVK-tMYtEITJkzsnm-uUg,215K,-,South Africa,,64.5K,youtube,south-africa,False,2024,NA,NA
96,Elaine @UCjA1wdpqvS6yxHVdV1rxedQ,214K,-,South Africa,,64.2K,youtube,south-africa,False,2024,NA,NA
97,Tekweni @UC3t8OVRjPKHowGxmTzxs6qA,213K,-,South Africa,,63.9K,youtube,south-africa,False,2024,NA,NA
98,Detormentis @UCL5MgQS6VbE9DOwi-R5Vh6w,210K,-,South Africa,,63K,youtube,south-africa,False,2024,NA,NA
99,Mindset @UC_ayO9NLpGuhCvxnWZ0KwYw,208K,-,South Africa,,62.4K,youtube,south-africa,False,2024,NA,NA
100,BET International @UCZslbJ9Nu1TS4y6kqEtERXg,207K,-,South Africa,,62.1K,youtube,south-africa,False,2024,NA,NA
