category_unified,median,std,count
Beauty&Fashion,0.4,2.807,77
Entertainment,0.3,1.26,41
Knowledge&Info,0.2,3.016,66
Lifestyle,0.3,1.185,85
Music,0.3,4.877,223
Sports,0.2,2.207,38
Tech&Gaming,0.4,0.807,40
