#,NAMN,FÖLJARE,ER,LAND,INFLUENSOMRÅDE,POTENTIELL RÄCKVIDD,SPARA,BJUD IN TILL KAMPANJ
23,⭐️Linnea&Viola⭐️ @linneaandviola,557.5K,-,Sverige,Underhållning och musik,167.3K,,Visa profil
24,coral.500k @coral.500k,522.5K,-,Sverige,Djur Datorspel,156.8K,,Visa profil
25,Amandaedin @amandaedins,516.9K,-,Sverige,Underhållning och musik,155.1K,,Visa profil
26,GoatSimulator @goatsimulatorgame,513.7K,0.2%,Sverige,,154.1K,,Visa profil
27,Ashraf Ali @ashraf_swe,480K,0.1%,Sverige,,144K,,Visa profil
28,Waleescamelo @waleescamelo,475.1K,-,Sverige,Mode och accessoarer Fitness och hälsa,142.5K,,Visa profil
29,Du får tur om du följer @cobrakai_boy_,474.4K,-,Sverige,,142.3K,,Visa profil
30,Ballonger Västerås @ballonger_vasteras,471.6K,-,Sverige,Konst och hantverk Hem och trädgård,141.5K,,Visa profil
31,Emilhenrohn @emilhenrohn,460.1K,0.2%,Sverige,Underhållning och musik,138K,,Visa profil
32,Maher Zain @maherzainofficial,457.9K,0.4%,Sverige,,137.4K,,Visa profil
33,Stories @kiwi...5,436.8K,0.3%,Sverige,,131K,,Visa profil
34,Perla @perla1perla,426.2K,-,Sverige,,127.9K,,Visa profil
35,Liana @_xoxoliana_,406K,0.1%,Sverige,,121.8K,,Visa profil
36,Fadi&Hiba| فادي&هبه🇸🇪🇸🇾 @fadi.hiba.96,405.8K,-,Sverige,,121.7K,,Visa profil
37,🧸Official Romantic Lover🧸 @romantic_lover73,404.2K,0.1%,Sverige,Romantik och bröllop,121.3K,,Visa profil
38,الكاتب__المغترب @z_x..x_z,401.5K,-,Sverige,,120.5K,,Visa profil
39,Tik Toker @ghoussoun1,401.1K,0.1%,Sverige,,120.3K,,Visa profil
40,Sherin @sheriiinb,397.7K,0.3%,Sverige,,119.3K,,Visa profil
41,ViSam Official @visam.official,392.6K,0.3%,Sverige,,117.8K,,Visa profil
42,👸🏾African Queen👸🏾 @africanqueen1111,366.2K,-,Sverige,Underhållning och musik Mode och accessoarer,109.9K,,Visa profil
43,Tove Lo @tovelo,364.1K,-,Sverige,,109.2K,,Visa profil
44,✨🪷toca boca🤍🌴 @toca.word.maja,356.2K,-,Sverige,,106.9K,,Visa profil
45,Winsent Thunholm Wikman @winsentw,351K,0.1%,Sverige,Roligt,105.3K,,Visa profil
46,Mais Alkrad🦋 @mais.alkrad,343.9K,-,Sverige,,103.2K,,Visa profil
47,🎥Familjen Arcombe🎥 @familjenarcombe,341.8K,-,Sverige,,102.5K,,Visa profil
48,𝓟𝓾𝓵𝔃𝓮. 𝓢𝓽𝔂𝔁 @styxretake,340.9K,-,Sverige,,102.3K,,Visa profil
49,Manfred Erlandsson @manfrederlandsson,338.6K,0.1%,Sverige,,101.6K,,Visa profil
50,《♧Rayan♧》 @rayanzepeto,338.4K,-,Sverige,,101.5K,,Visa profil
51,Misslisibell @officialmisslisibell,330.5K,-,Sverige,,99.2K,,Visa profil
52,Beauty by Aisha Sweden @aishacamara38,329.9K,-,Sverige,Skönhet och personlig vård Mode och accessoarer,99K,,Visa profil
53,Memetix_swe @memetix_swe,326.8K,0.1%,Sverige,,98K,,Visa profil
54,Frida Jernspets @tiktokfrida,326.6K,-,Sverige,Animation och cosplay,98K,,Visa profil
55,Joakim Lundell @javligtrik,323.8K,2%,Sverige,,97.1K,,Visa profil
56,LakiDoris @lovisakarlsson2,314.2K,-,Sverige,Underhållning och musik,94.3K,,Visa profil
57,Tone Sekelius @tonesekelius,310.5K,0.3%,Sverige,,93.2K,,Visa profil
58,Pontus Rasmusson @pontusofficial,306.4K,0.2%,Sverige,,91.9K,,Visa profil
59,🦋 𝐉𝐮𝐥𝐢𝐞 / جولي 🦋 @julie__38,306.3K,-,Sverige,,91.9K,,Visa profil
60,⚡️Felicia Lindkvist⚡️ @lindkvistfeliciaa,302.3K,-,Sverige,Fitness och hälsa,90.7K,,Visa profil
61,Super cool 09 @supercool050929,300.1K,-,Sverige,Sport,90K,,Visa profil
62,maria 😏 @maria.mars0,292.6K,-,Sverige,Skönhet,87.8K,,Visa profil
63,Arabic Tiktok @arabic.tiktok,289K,-,Sverige,,86.7K,,Visa profil
64,꒰ 𝐵𝑒𝑎𝑟 𝑠𝑞𝑢𝑎𝑑 ꒱ @random.account.things,287.1K,-,Sverige,,86.1K,,Visa profil
65,🇸🇪R.O.Y🇸🇪 @roy_____ns,281.2K,-,Sverige,,84.4K,,Visa profil
66,AmandaLundgren @amandalundgren,280.2K,0.1%,Sverige,,84.1K,,Visa profil
67,Emil Borroms @emilborroms,271.6K,-,Sverige,,81.5K,,Visa profil
68,Magister Nordström @magisternordstrom,270.1K,-,Sverige,Familj,81K,,Visa profil
69,Bashar & Ritta @bashar_and_ritta,267.3K,-,Sverige,Skönhet och personlig vård,80.2K,,Visa profil
70,Amanda Strand @amandastrands,265.5K,-,Sverige,,79.7K,,Visa profil
71,Sam Pettersson @samthemans,261.1K,0.1%,Sverige,Underhållning och musik Roligt,78.3K,,Visa profil
72,marykiwi @swedishmommy,258.5K,-,Sverige,Familj,77.6K,,Visa profil
73,Sebastian Tadros @sebastiantadros,257.7K,-,Sverige,,77.3K,,Visa profil
