rank,followers,er,audience_country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
1,530000.0,,Aland Islands,,159000.0,Islamic Center ,UCp5sPFqliDz5tdjF7tMdiUQ,youtube,aland-islands,False,2024,,
2,128000.0,,Aland Islands,,38400.0,Frank Official ,UCfpNslKsy6tPRJcjcqhgY_Q,youtube,aland-islands,False,2024,,
3,68500.0,4.3,Aland Islands,,20600.0,Mystic Media ,UCdGVD4QzNyUrfyX5oiZVtfQ,youtube,aland-islands,False,2024,,
4,16500.0,12.9,Aland Islands,,5000.0,Erik did it ,UCKRSetvAFv7onZEL0DNV6JQ,youtube,aland-islands,False,2024,,
5,15700.0,,Aland Islands,,4700.0,Menstrual Cup Bd ,UCIlbyddNbcWrq2Vl-trCMxA,youtube,aland-islands,False,2024,,
6,14200.0,0.3,Aland Islands,,4300.0,misterpaj ,UC7T6Sb0V1SGF5oHv0fsePmA,youtube,aland-islands,False,2024,,
7,12800.0,,Aland Islands,News,3800.0,Drag Motor2 ,UC_Cl3TOBb2PP6Is5-aWDmfA,youtube,aland-islands,False,2024,Knowledge&Info,MAPPED
8,9500.0,,Aland Islands,,2900.0,Verbs describe us #culturacastildeviata #artgoeson ,UC10IxWOG3EiOQ_Zoq2XpOLg,youtube,aland-islands,False,2024,,
9,9300.0,,Aland Islands,,2800.0,Ma chinery ,UC0DsjQ0YnzFycEyYWxbbCfg,youtube,aland-islands,False,2024,,
10,9000.0,0.1,Aland Islands,,2700.0,FaithfulBerean ,UCJpxoRoemhS_FgSRXw30zrg,youtube,aland-islands,False,2024,,
11,8100.0,,Aland Islands,,2400.0,قصة كل يوم ,UCUFKKwZH9Vlj3FWutvsthow,youtube,aland-islands,False,2024,,
12,5400.0,,Aland Islands,,1600.0,Chentra Vuth ,UCKcvMBwScPyR6fNbg4jSw_g,youtube,aland-islands,False,2024,,
13,3600.0,,Aland Islands,,1100.0,Eternal Energy ,UCu6-52n67n2XrpQm5AWDwAg,youtube,aland-islands,False,2024,,
14,2200.0,,Aland Islands,,660.0,Miha Hilma ,UCHv4RPknnMheRoiJ9Q4BMsA,youtube,aland-islands,False,2024,,
15,2100.0,0.3,Aland Islands,,639.0,اعرف وتثقف ,UCtCx16JYpV529Uj0m2Qawsg,youtube,aland-islands,False,2024,,
16,1400.0,30.8,Aland Islands,,429.0,Rambo ,UCzUruRlxbkflQezHnjB-BUw,youtube,aland-islands,False,2024,,
17,1300.0,0.2,Aland Islands,,384.0,Збс Сериалы ,UC_3yFhNgvH5cltGQaupMt6g,youtube,aland-islands,False,2024,,
18,1200.0,2.4,Aland Islands,,357.0,Johan Tronestam ,UCDZmjfcKPfNyy0tnTDaJznw,youtube,aland-islands,False,2024,,
19,1100.0,26.5,Aland Islands,,327.0,stacksmaestro ,UCkiGR7ao-u4mFetMLPgrD_w,youtube,aland-islands,False,2024,,
20,1100.0,,Aland Islands,,324.0,morg ,UCIO6wlknzhuVXVCaASN94eQ,youtube,aland-islands,False,2024,,
