rank,followers,er,audience_country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
1,32600.0,3.49,Aland Islands,Food Business and Finance,9800.0,Michael Björklund ,michaelbjorklundchef,instagram,aland-islands,False,2024,Knowledge&Info,MAPPED
2,17100.0,12.1,Aland Islands,,5100.0,Thomas Winge ,winge.fi,instagram,aland-islands,False,2024,,
3,10700.0,18.8,Aland Islands,Nature Photography,3200.0,Erkki Santamala ,nature_photo_erkki_santamala,instagram,aland-islands,False,2024,Lifestyle,MAPPED
4,10400.0,4.6,Aland Islands,Nature Design Interior Design,3100.0,Margareta Magnusson ,marg.magnusson,instagram,aland-islands,False,2024,Lifestyle,MAPPED
5,8300.0,8.9,Aland Islands,Home and Garden,2500.0,,nyauppgards,instagram,aland-islands,False,2024,Lifestyle,MAPPED
6,4700.0,1.89,Aland Islands,Travel,1400.0,Nya Åland ,nyaaland,instagram,aland-islands,False,2024,Lifestyle,MAPPED
7,4700.0,2.15,Aland Islands,Food,1400.0,"Smakbyn, Restaurang, Åland ",smakbyn,instagram,aland-islands,False,2024,Lifestyle,MAPPED
8,3800.0,6.5,Aland Islands,Entertainment and Music,1100.0,Rockoff Festival ,rockoff_festival,instagram,aland-islands,False,2024,Music,MAPPED
9,2600.0,3.8,Aland Islands,Sports,786.0,IFK Mariehamn ,ifkmariehamn,instagram,aland-islands,False,2024,Sports,MAPPED
10,2400.0,3.2,Aland Islands,Fashion and Accessories,714.0,Zic Zac Butiken ,ziczacbutiken,instagram,aland-islands,False,2024,Beauty&Fashion,MAPPED
11,2200.0,2.44,Aland Islands,Fashion and Accessories Home and Garden,663.0,Emmaus Åland ,emmausaland,instagram,aland-islands,False,2024,Beauty&Fashion,MAPPED
12,2000.0,8.8,Aland Islands,Entertainment and Music,606.0,PreGame🏝 ,prodbypregame,instagram,aland-islands,False,2024,Music,MAPPED
13,1500.0,12.2,Aland Islands,Outdoor Activity,453.0,Eric Engström&Viktor Gestberg ,ev_hunting,instagram,aland-islands,False,2024,Sports,MAPPED
