#,IME,PRATITELJI,ER,DRŽAVA,TEMA UTJECAJA,POTENCIJALNI DOSEG,SPREMI,POZIV NA KAMPANJU
21,Inga Madejczyk @plharleyquinn,957.6K,-,Poljska,Animacija i Cosplay,287.3K,,Pregledaj profil
22,Aigostar_PL @aigostar_pl,943.7K,-,Poljska,Moda i pribor,283.1K,,Pregledaj profil
23,Agnieszka Grzelak @aga_grzelak,938K,-,Poljska,Ljepota i briga za sebe,281.4K,,Pregledaj profil
24,💙🐾Queen 🐾💙 @_.edits._756,936.4K,-,Poljska,,280.9K,,Pregledaj profil
25,Maykaa @maykaa37,926K,-,Poljska,,277.8K,,Pregledaj profil
26,Cebulsonn x Hania @cebulsonnxhania,924.7K,0.1%,Poljska,Predstavljanje proizvoda,277.4K,,Pregledaj profil
27,vnarf @vnarf,905.1K,-,Poljska,,271.5K,,Pregledaj profil
28,Patryk „Siiitek” Rolbiecki @siiitek,889.7K,-,Poljska,,266.9K,,Pregledaj profil
29,Ola Holata @white2115_girl,884.3K,0.2%,Poljska,,265.3K,,Pregledaj profil
30,Natalia Madej @nataliamadej,880.6K,-,Poljska,Umjetnost,264.2K,,Pregledaj profil
31,Dominik YT 🎶🔥 @dominik.mess,876.2K,-,Poljska,,262.9K,,Pregledaj profil
32,Prawnik Marcin Kruszewski @prawomarcina,871.7K,-,Poljska,Obrazovanje,261.5K,,Pregledaj profil
33,ola.radziun @ola.radziun,864.1K,-,Poljska,,259.2K,,Pregledaj profil
34,Slivki Show @slivki_show_official,838.6K,0.1%,Poljska,,251.6K,,Pregledaj profil
35,Kate ❤️ @forsurprise,838.3K,0.2%,Poljska,Zabava i glazba,251.5K,,Pregledaj profil
36,Julia @_juliyav_,819.4K,-,Poljska,Zabava i glazba,245.8K,,Pregledaj profil
37,Sheo 🐙 @sheopl,819.2K,0.2%,Poljska,,245.8K,,Pregledaj profil
38,Poland Is Everywhere 🇵🇱 @poland__is.__everywhere,813.7K,0.3%,Poljska,Umjetnost,244.1K,,Pregledaj profil
39,D stands for Deriah @_deriah_,813.3K,-,Poljska,Animacija i Cosplay,244K,,Pregledaj profil
40,gavedits @gavedits,812.9K,-,Poljska,,243.9K,,Pregledaj profil
41,skrudlik @_skrudliq_,811.2K,-,Poljska,,243.4K,,Pregledaj profil
42,Mathew Figura @matthewfigura,811.1K,0.5%,Poljska,Zabava i glazba,243.3K,,Pregledaj profil
43,Władek 🔥 @lollipop21x,787.4K,-,Poljska,,236.2K,,Pregledaj profil
44,Have a great day! 😀 @funny.crazy.stuff,784.1K,0.1%,Poljska,,235.2K,,Pregledaj profil
45,Nadia i Remo😌 @remikmymusic,782.9K,-,Poljska,,234.9K,,Pregledaj profil
46,Natalia Maszkowska @nathallae,780.4K,0.1%,Poljska,Hrana,234.1K,,Pregledaj profil
47,szymon 🌪 @szymonzaparty,776.7K,0.2%,Poljska,,233K,,Pregledaj profil
48,Rosjanka @_rosjankq_,773.7K,-,Poljska,Smišno,232.1K,,Pregledaj profil
49,thevoicebestoff @thevoicebestoff,766.5K,-,Poljska,,230K,,Pregledaj profil
50,Felis Gallery by Robert Sijka @robert_sijka,755.3K,-,Poljska,Umjetnost i zanati,226.6K,,Pregledaj profil
51,Food Delicious @_foodelicious,754K,0.2%,Poljska,Hrana,226.2K,,Pregledaj profil
