#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,CAROLINE MARIA DERPIENSKI @carolinederpienski,8.8M,2.56%,Poland,Fashion and Accessories Celebrity Parenting Modeling,2.6M
2,𝗔𝗻𝗻𝗮 𝗟𝗲𝘄𝗮𝗻𝗱𝗼𝘄𝘀𝗸𝗮 @annalewandowskahpba,4.5M,0.72%,Poland,Sports Fitness and Health Food,1.4M
3,Anna-Maria Sieklucka @anna_maria.sieklucka,4.5M,1.52%,Poland,Acting and Drama,1.4M
4,Karol Wiśniewski @frizoluszek,4.1M,6.67%,Poland,Arts and Crafts Marketing and Advertising Actors,1.2M
5,Wojciech Szczesny @wojciech.szczesny1,3.9M,2.59%,Poland,Pets Soccer,1.2M
6,Dahlia Poland @dahliachr,3.7M,1.93%,Poland,Beauty and Self Care family Parenting Moms,1.1M
7,WERONIKA SOWA @wersow,3.6M,5.06%,Poland,Entertainment and Music News,1.1M
8,Marcin Dubiel @marcindubiel,2.4M,6.17%,Poland,"Entertainment and Music DIY and Life Hacks Celebrities Film, Music & Books",709.2K
9,Martyna Wojciechowska @martyna.world,2.2M,0.17%,Poland,Education Travel Arts and Crafts Upskilling,665.4K
10,Jakub Patecki @patec_wariatec,2.1M,7.59%,Poland,Photography Celebrity,623.4K
11,Sylwia Dąbrowska @sylwiaprzybysz,2.1M,3.06%,Poland,"Entertainment and Music Celebrity Celebrities Film, Music & Books",620.6K
12,Томаш Кудрявый @tomaschgood,2M,1.37%,Poland,Beauty and Self Care Fashion and Accessories News Video Blogger,611.9K
13,Joanna Jedrzejczyk @joannajedrzejczyk,2M,0.44%,Poland,Sports Fitness and Health Business and Finance Gym,597.4K
14,Ewa Chodakowska Fitness Expert @chodakowskaewa,2M,0.31%,Poland,Fitness and Health Cooking Health & Fitness Food & Drink,592.2K
15,Suchar Codzienny @sucharcodzienny,1.9M,1.27%,Poland,Funny,570.1K
16,NJ @nataliajanoszek,1.8M,4.92%,Poland,Entertainment and Music Parenting Actors Lifestyle,541.6K
17,Agnieszka Grzelak Vlog/Beauty @agagrzelakk,1.8M,1.57%,Poland,Beauty and Self Care Travel,538.8K
18,Marta Błoch @murcix,1.8M,2.32%,Poland,Entertainment and Music,538.4K
19,AQ🌙ARIA @dodaqueen,1.8M,1.16%,Poland,Entertainment and Music Music Celebrity Singer,532.9K
20,Anja Rubik @anja_rubik,1.7M,0.58%,Poland,Fashion and Accessories Education Lifestyle,506.9K
21,Ola Nowak @ola_nowak,1.7M,0.67%,Poland,"Education Fashion and Accessories Celebrities Film, Music & Books",502.2K
22,Trendy Polish @trendypolish,1.6M,0.78%,Poland,Beauty and Self Care Music,478.9K
23,Remigiusz reZi Wierzgoń @rezigiusz,1.6M,3.59%,Poland,Entertainment and Music DIY and Life Hacks Automotive,476.9K
24,Romi Chase @romi_chase,1.6M,2%,Poland,Fashion and Accessories,466.7K
25,Małgorzata Rozenek-Majdan @m_rozenek,1.5M,0.72%,Poland,Entertainment and Music,457K
26,Red Lipstick Monster (ona/jej) @redlipstickmonster,1.4M,0.33%,Poland,"Beauty and Self Care Modeling Celebrities Film, Music & Books",427K
27,JULIA KUCZYŃSKA @maffashion_official,1.4M,0.99%,Poland,Fashion and Accessories Modeling Celebrities,423.5K
28,Arek Milik @arekmilik,1.4M,3.33%,Poland,Soccer,409.9K
29,Basia Kurdej-Szatan @kurdejszatan,1.3M,0.22%,Poland,Art,404.4K
30,PLK 🇵🇱 @plkpb,1.3M,12.61%,Poland,Entertainment and Music Lifestyle Music,400.5K
31,N🔺tH @nataliasiwiec.official,1.3M,0.78%,Poland,Beauty and Self Care Fashion and Accessories Marketing and Advertising Modeling,398.3K
32,DAWID KWIATKOWSKI @kwiatkowsky,1.3M,2.04%,Poland,"Music Celebrities Film, Music & Books",397.2K
33,Patikayy 🇵🇱🇨🇦🇺🇸 @patryciakayy,1.3M,3.1%,Poland,,397.1K
34,Łukasz Wojtyca @wujekluki,1.3M,8.71%,Poland,Entertainment and Music,396.5K
35,MONA @monika.kociolek,1.3M,3.09%,Poland,Fashion and Accessories,394.6K
36,Magda Gessler @magdagessler_official,1.3M,0.24%,Poland,Food,388.8K
37,@bedoes2115,1.3M,9.41%,Poland,"Entertainment and Music Film, Music & Books Celebrities",377.7K
38,ANDREW CROWD (#1 EDM GHOST PRODUCER) @andrewcrowd,1.2M,0.78%,Poland,Entertainment and Music Celebrity DJ Producers,373K
39,FANPAGE FROM POLAND🇵🇱 @cristiano7poland,1.1M,0.2%,Poland,Sports Soccer,338.2K
40,Małgorzata Kożuchowska @malgorzatakozuchowska_,1.1M,0.42%,Poland,Entertainment and Music Celebrity,336K
41,🌸Wiktoria Gąsiewska🌸 @wiktoria_gasiewska,1.1M,3.03%,Poland,Art Actors,334.4K
42,Szymon Kasprzyk @isamupt,1.1M,5.29%,Poland,Entertainment and Music,330.9K
43,Adam Zdrójkowski @adam_zdrojkowski,1.1M,0.85%,Poland,"Arts and Crafts Health and Medical Services Celebrities Film, Music & Books",325.3K
44,Asia Ladowska @ladowska,1.1M,1.31%,Poland,Arts and Crafts Illustrator,322.8K
