rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ariasna @ariasna.ug,3M,-,Costa Rica,,900K,tiktok,costa-rica,False,2024,NA,NA
2,Jeka 24 @superjekitaa,3M,0.1%,Costa Rica,,900K,tiktok,costa-rica,False,2024,NA,NA
3,Milena González @milenagonzalez0810,2.3M,-,Costa Rica,,690K,tiktok,costa-rica,False,2024,NA,NA
4,Ashlooks @aashlooks,2.2M,-,Costa Rica,Beauty and Self Care,660K,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
5,rodezel @rodezel,1.5M,0.3%,Costa Rica,,450K,tiktok,costa-rica,False,2024,NA,NA
6,PeitonYT @peitonyt,1.2M,0.3%,Costa Rica,Entertainment and Music,360K,tiktok,costa-rica,False,2024,Music,MAPPED
7,Dra. Margarita Tercero @dramargaritatercero,993K,-,Costa Rica,Education,297.9K,tiktok,costa-rica,False,2024,Knowledge&Info,MAPPED
8,Sebastián Cartín @thenutristudent,907.9K,-,Costa Rica,Fitness,272.4K,tiktok,costa-rica,False,2024,Sports,MAPPED
9,ᴡᵃᵍⁿᵉʳ ᴍᵒⁿᶜᵃᵈᵃ @wagnermoncada_,883.1K,-,Costa Rica,,264.9K,tiktok,costa-rica,False,2024,NA,NA
10,Valentino Lázaro @valentinolazarohpriv,830.1K,0.1%,Costa Rica,,249K,tiktok,costa-rica,False,2024,NA,NA
11,Tiby Ulloa @tiby_ojitos14,815.2K,-,Costa Rica,,244.6K,tiktok,costa-rica,False,2024,NA,NA
12,bryan morera @bryan.morera,798.7K,-,Costa Rica,,239.6K,tiktok,costa-rica,False,2024,NA,NA
13,J.o.h.n.ny_Funado @j.o.h.n.ny_funado,794.8K,-,Costa Rica,,238.4K,tiktok,costa-rica,False,2024,NA,NA
14,Dina @gerardina291286,770.4K,-,Costa Rica,,231.1K,tiktok,costa-rica,False,2024,NA,NA
15,Emma 🦻🏻✨ @emmafallas0,711.6K,0.1%,Costa Rica,,213.5K,tiktok,costa-rica,False,2024,NA,NA
16,Paula Dobles🕊🪴✨ @paudobless,710.8K,-,Costa Rica,Entertainment and Music,213.2K,tiktok,costa-rica,False,2024,Music,MAPPED
17,Andy Ríos @andyriosm,684.4K,1.2%,Costa Rica,,205.3K,tiktok,costa-rica,False,2024,NA,NA
18,Diego Madrigal @eldiegomadrigal,680.4K,-,Costa Rica,Entertainment and Music,204.1K,tiktok,costa-rica,False,2024,Music,MAPPED
19,Frank Lopez Campos @djfrankplatinumcrew,679.6K,0.3%,Costa Rica,,203.9K,tiktok,costa-rica,False,2024,NA,NA
20,♥️ Charlie ♥️ @charlie__castro,669.4K,-,Costa Rica,,200.8K,tiktok,costa-rica,False,2024,NA,NA
21,Tony s2 @tony_ff_s2,666.7K,0.1%,Costa Rica,Video Gaming,200K,tiktok,costa-rica,False,2024,Tech&Gaming,MAPPED
22,Esposito Mery @espositomery,657.7K,-,Costa Rica,,197.3K,tiktok,costa-rica,False,2024,NA,NA
23,Cristian Garro @elprofecris,642.3K,-,Costa Rica,Entertainment and Music,192.7K,tiktok,costa-rica,False,2024,Music,MAPPED
24,Georgeana🌷🧚✨ @dream_18_george,630.4K,-,Costa Rica,,189.1K,tiktok,costa-rica,False,2024,NA,NA
25,Keyla Sánchez Granad @keylasanchezg,579.7K,0.1%,Costa Rica,,173.9K,tiktok,costa-rica,False,2024,NA,NA
26,Madeling Mendoza @abig975,508.1K,-,Costa Rica,,152.4K,tiktok,costa-rica,False,2024,NA,NA
27,Brenda Barrantes @brendabarrantes.cr,452.6K,-,Costa Rica,Beauty and Self Care,135.8K,tiktok,costa-rica,False,2024,Beauty&Fashion,MAPPED
28,gabiconejooo @gabiconejooo,449.3K,-,Costa Rica,,134.8K,tiktok,costa-rica,False,2024,NA,NA
29,Rachelle🌼 @just.rachelle,423.2K,-,Costa Rica,,127K,tiktok,costa-rica,False,2024,NA,NA
