rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Brawl Stars @UCooVYzDxdwTtGYAkcPmOgOw,12.5M,-,芬蘭,電子遊戲,3.8M,youtube,finland,False,2024,UNMAPPED,UNMAPPED,電子遊戲
2,TheRelaxingEnd @UCWVuy4NPohItH9-Gr7e8wqw,8.8M,-,芬蘭,,2.7M,youtube,finland,False,2024,NA,NA,
3,Asoo اسو @UCTLYhp6mZAJQaVI4mkfuVuw,4.6M,1.7%,芬蘭,,1.4M,youtube,finland,False,2024,NA,NA,
4,Pongfinity @UCcILXXthGExGeKAQLAIUaFQ,3.6M,-,芬蘭,,1.1M,youtube,finland,False,2024,NA,NA,
5,Hydraulic Press Channel @UCcMDMoNu66_1Hwi5-MeiQgw,3.5M,-,芬蘭,,1.1M,youtube,finland,False,2024,NA,NA,
6,Rabbert @UCaqi3SRvGTlPptx0ns90UOA,3M,43%,芬蘭,,903K,youtube,finland,False,2024,NA,NA,
7,Aurikatariina @UCEHFYTkv0IIn6RYJBNcgr-Q,2M,-,芬蘭,,591K,youtube,finland,False,2024,NA,NA,
8,Memenade @UCCWp4CCmI2JmIaoAuv0ocEA,1.8M,-,芬蘭,,552K,youtube,finland,False,2024,NA,NA,
9,ميمو دانو memo & dano @UC926aEkma-BJwlrvV6YUz8w,1.8M,-,芬蘭,,534K,youtube,finland,False,2024,NA,NA,
10,Hay Day @UCBrMq7wkdPWb3PxR-GUR61A,1.7M,-,芬蘭,,522K,youtube,finland,False,2024,NA,NA,
11,Nightwish @UCQplaZZ2mv8fo8Zd-1hQPzg,1.4M,-,芬蘭,,429K,youtube,finland,False,2024,NA,NA,
12,JANTSUU @UC8CwVsDta65Ifv5jr7nlBCQ,1.3M,-,芬蘭,,396K,youtube,finland,False,2024,NA,NA,
13,JZR @UCj5vJkkGaSvy0HcVJQ2Hg-g,1.2M,1%,芬蘭,,348K,youtube,finland,False,2024,NA,NA,
14,InFormative Bangla @UCqBBLjEW-DL5KhlqWTcRbvg,1.1M,0.3%,芬蘭,,336K,youtube,finland,False,2024,NA,NA,
15,WhackyCast @UC7s9jK1WUq-kQzRbArO0wBw,1.1M,-,芬蘭,,315K,youtube,finland,False,2024,NA,NA,
16,Evelyn Jackson @UCcDsCawgC3JqZLSj7DllRKg,867K,0.4%,芬蘭,,260.1K,youtube,finland,False,2024,NA,NA,
17,Supercell @UCXO2ZE-H4ZVjJDjTuQzv-Bw,831K,0.4%,芬蘭,,249.3K,youtube,finland,False,2024,NA,NA,
18,Lakko @UC1BIOZPjE3lYa2s3ZT1kYaA,812K,3.1%,芬蘭,,243.6K,youtube,finland,False,2024,NA,NA,
19,Beyond the press @UCveB47lgzZJ1WOf4XYVJNBw,740K,0.3%,芬蘭,,222K,youtube,finland,False,2024,NA,NA,
20,Taikalinna @UChceje--xRi5yw2XQjdhnqw,682K,-,芬蘭,,204.6K,youtube,finland,False,2024,NA,NA,
21,YouTube Vanced @UCW5NdLx3DeeAw3iX0MjaHeA,671K,0.8%,芬蘭,,201.3K,youtube,finland,False,2024,NA,NA,
22,Device Orchestra @UCDwMh0pu1iSXeKx7qmqjIQA,652K,5.5%,芬蘭,,195.6K,youtube,finland,False,2024,NA,NA,
23,Holy Quran @UCAtXN50DVnmoYr5Yq9xLUcg,646K,-,芬蘭,,193.8K,youtube,finland,False,2024,NA,NA,
24,Trycs @UCgBl1hh_8FZ88kStGP8q_ag,629K,1%,芬蘭,,188.7K,youtube,finland,False,2024,NA,NA,
25,Roni Back @UCxmMyt4toi1MKD5tUZWBkVg,620K,-,芬蘭,,186K,youtube,finland,False,2024,NA,NA,
26,Hoot @UCuBpNon-yi4nJ1StjA1tSYA,596K,4.9%,芬蘭,,178.8K,youtube,finland,False,2024,NA,NA,
27,اغاني مميزة Music Distinctive @UC1XEAVGzRz0TXc7mNMQTYRA,592K,-,芬蘭,音樂,177.6K,youtube,finland,False,2024,UNMAPPED,UNMAPPED,音樂
28,Rodamrix @UCxQDsfaifnxdHqfTJljuXfw,581K,11.2%,芬蘭,音樂,174.3K,youtube,finland,False,2024,UNMAPPED,UNMAPPED,音樂
29,The Rasmus @UCDhEg3ByjFIju7bD4jhrctw,569K,1%,芬蘭,,170.7K,youtube,finland,False,2024,NA,NA,
30,شيف حيدر ديك - Chef Haider Deek @alpha-tnm,533K,-,芬蘭,,159.9K,youtube,finland,False,2024,NA,NA,
31,Santatelevision @UCVQy7TDTcdpAeAETolnl1DA,521K,-,芬蘭,,156.3K,youtube,finland,False,2024,NA,NA,
32,Light @UC33mcjLtoyFbgiVpjXDJ8dA,517K,-,芬蘭,,155.1K,youtube,finland,False,2024,NA,NA,
33,Dumbs @UCXKH52cGX4rtK_X-q1GH02Q,473K,5.7%,芬蘭,,141.9K,youtube,finland,False,2024,NA,NA,
34,Herbalisti @UCd1NRQx3xIPtdQ_zKFtfgfw,472K,3.3%,芬蘭,,141.6K,youtube,finland,False,2024,NA,NA,
35,JPeltsi @UCpPwpIydge5-J26zRwt0aHQ,464K,-,芬蘭,,139.2K,youtube,finland,False,2024,NA,NA,
36,asoo gaming @UCXBvi1uAiGPowSgmgcHWDCg,456K,-,芬蘭,,136.8K,youtube,finland,False,2024,NA,NA,
37,GULLEDSIMBA @UCLU-TuSpVwy6I8NjyHIOHxA,453K,18%,芬蘭,,135.9K,youtube,finland,False,2024,NA,NA,
38,Topi The Corgi @UC62zoJ8N9JdSnFDbcKjOUDA,445K,-,芬蘭,,133.5K,youtube,finland,False,2024,NA,NA,
39,MindUpload @UCJyIeP9rHbgvlyzP-sSYaNw,442K,-,芬蘭,,132.6K,youtube,finland,False,2024,NA,NA,
40,YuraPaPu @UC8vT3G8pbuQWMbkhGWafmsQ,436K,3.5%,芬蘭,,130.8K,youtube,finland,False,2024,NA,NA,
41,ThunderPro-VideoClip @UCT17Id1tzb2kBSDHUxwYqOA,435K,-,芬蘭,,130.5K,youtube,finland,False,2024,NA,NA,
42,Poets of the Fall (Official) @UC0hNui8bT7yV0Xb8w8YxjHw,427K,3.9%,芬蘭,,128.1K,youtube,finland,False,2024,NA,NA,
43,Kostamoinen @UC2uwKk98o5PMRQvQyiGTOog,425K,22.5%,芬蘭,,127.5K,youtube,finland,False,2024,NA,NA,
44,Confusion @UCo2bNt_yjnZimwIcJtROz7g,415K,23.6%,芬蘭,,124.5K,youtube,finland,False,2024,NA,NA,
45,Bee Kiiski @UCFwRmz3h5-Kz-DWHKpt6dKQ,412K,0.5%,芬蘭,,123.6K,youtube,finland,False,2024,NA,NA,
46,Pipsa Possu Suomi Virallinen @UCNyz-57mHiPwW2I1Z43zmsQ,384K,-,芬蘭,,115.2K,youtube,finland,False,2024,NA,NA,
47,Turbo @UCus8EVJ7Oc9zINhs-fg8l1Q,382K,-,芬蘭,,114.6K,youtube,finland,False,2024,NA,NA,
48,mmiisas @UCoKsc3WQs4bTUJUSGfoay_w,379K,1.1%,芬蘭,,113.7K,youtube,finland,False,2024,NA,NA,
49,DJVI @UCV8yIaKoqa-r9SnXPMQ1Spg,370K,-,芬蘭,,111K,youtube,finland,False,2024,NA,NA,
50,NikojaSanttu @UCEc3llziWncponpqUBkVrbA,364K,4.5%,芬蘭,,109.2K,youtube,finland,False,2024,NA,NA,
51,Paqpa @UCDVeHl7-fRTO7vH9bFc3emg,353K,-,芬蘭,,105.9K,youtube,finland,False,2024,NA,NA,
52,skripe @UCc9Y-jScIOidbadQdYpuDxg,339K,0.5%,芬蘭,,101.7K,youtube,finland,False,2024,NA,NA,
53,Wax Ka Barro @UCKKCLneYu7dv145udtDmFuw,336K,0.9%,芬蘭,,100.8K,youtube,finland,False,2024,NA,NA,
54,Palikka @UCIDAAsL8itqP3SJAOIYrDpA,331K,9.4%,芬蘭,,99.3K,youtube,finland,False,2024,NA,NA,
