#,NOME,SEGUIDORES,ER,PAÍS,TÓPICO DE INFLUÊNCIA,ALCANCE POTENCIAL,SALVAR,CONVIDAR PARA CAMPANHA
48,Arutyun Nazaryan @arutmain,4.3M,0.27%,Emirados Árabes Unidos,Negócios e Finanças Empreendedor Negócios Marketing,1.3M,,Visualizar Perfil
49,Joe HaTab @joe_hattab,4.2M,0.41%,Emirados Árabes Unidos,Animação e Cosplay Entretenimento e Música Viagem Artes e Artesanato,1.3M,,Visualizar Perfil
50,Jwana Karim @jwanagram,4.2M,0.09%,Emirados Árabes Unidos,Moda e Acessórios Negócios e Finanças Estilo de Vida Celebridades,1.3M,,Visualizar Perfil
51,Amal Al Awadhi @amalalawadhiofficial,4.2M,0.2%,Emirados Árabes Unidos,Entretenimento e Música Apresentador de TV,1.3M,,Visualizar Perfil
52,Banen Naem | بنين نعيم @baneenstars,4.1M,2.5%,Emirados Árabes Unidos,Moda e Acessórios,1.2M,,Visualizar Perfil
53,Gharbi Amel @amelgharbiofficial,4.1M,1%,Emirados Árabes Unidos,,1.2M,,Visualizar Perfil
54,Dr Ali Ghozlan @alighozlanofficial,4.1M,0.79%,Emirados Árabes Unidos,Finanças Negócios e Finanças Celebridade Medical Health,1.2M,,Visualizar Perfil
55,Dilawar Singh @officialdilawarsingh,4.1M,3.4%,Emirados Árabes Unidos,Negócios e Finanças Música Finanças,1.2M,,Visualizar Perfil
56,ABDUL RAHMAN AL-AWADHI @abduuu_21,4M,6.22%,Emirados Árabes Unidos,Estilo de Vida,1.2M,,Visualizar Perfil
57,SHR | شمة حمدان @shamma1hamdan,4M,0.07%,Emirados Árabes Unidos,Música Modelagem Cantor,1.2M,,Visualizar Perfil
58,Muhammad Junaid @realjunaidofficial,4M,2.68%,Emirados Árabes Unidos,Entretenimento e Música Negócios,1.2M,,Visualizar Perfil
59,Köksal Baba @koksalbaba,4M,1.96%,Emirados Árabes Unidos,Jogos de Vídeo,1.2M,,Visualizar Perfil
60,Roaa alsabban رؤى الصبان @roaa_alsabban,4M,0.25%,Emirados Árabes Unidos,Entretenimento e Música Atores,1.2M,,Visualizar Perfil
61,yusur Al-khalidi 🇫🇮🇮🇶 @asoothesizzler,4M,1.22%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Moda e Acessórios,1.2M,,Visualizar Perfil
62,national archaeology @national_archaeology,4M,1.79%,Emirados Árabes Unidos,,1.2M,,Visualizar Perfil
63,Fabri Lemus @fabrilemus,3.9M,0.86%,Emirados Árabes Unidos,Entretenimento e Música Paternidade Atores,1.2M,,Visualizar Perfil
64,LANA MOHD | لانا محمد @lana_mohd89,3.9M,6.75%,Emirados Árabes Unidos,Entretenimento e Música Engraçado,1.2M,,Visualizar Perfil
65,Polli Cannabis|Miss Top Model👑 @polli_cannabis,3.9M,1.15%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Moda e Acessórios Educação de Produtos Modelagem,1.2M,,Visualizar Perfil
66,Ahmed Hossam احمد حسام . @ahmedhossam,3.9M,7.43%,Emirados Árabes Unidos,Atuação e Drama Entretenimento e Música Celebridade Celebridades,1.2M,,Visualizar Perfil
67,Shahad Hassan @shahadssl,3.9M,3.71%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Entretenimento e Música,1.2M,,Visualizar Perfil
68,🇰🇼 ﮼الملحن،فهد،الناصر @fhd_alnasser,3.7M,0.91%,Emirados Árabes Unidos,Entretenimento e Música Careers,1.1M,,Visualizar Perfil
69,Karim Usama كريم اسامة @karimusamaofficial,3.7M,3.12%,Emirados Árabes Unidos,Celebridade,1.1M,,Visualizar Perfil
70,Arwa | اروى @arwaonline,3.6M,0.44%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Entretenimento e Música Música,1.1M,,Visualizar Perfil
71,بوسلطان الحربي 🇦🇪 @emirates_mix,3.6M,0.07%,Emirados Árabes Unidos,,1.1M,,Visualizar Perfil
72,Mohamed bin Zayed Al Nahyan @mohamedbinzayed,3.5M,1.12%,Emirados Árabes Unidos,Vida e Sociedade Política,1.1M,,Visualizar Perfil
73,Nisha SK😘 @nskstyles,3.5M,1.64%,Emirados Árabes Unidos,,1.1M,,Visualizar Perfil
74,MURAD OSMANN @muradosmann,3.4M,3.01%,Emirados Árabes Unidos,Viagem Fotografia Celebridade Natureza & Ar Livre,1M,,Visualizar Perfil
75,Ajmal Khan | AK @ajmal_khan_,3.3M,1.44%,Emirados Árabes Unidos,Viagem Estilo de Vida,1M,,Visualizar Perfil
76,MILLA JASMINE @millajasmineoff,3.2M,2.54%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Negócios e Finanças Estilo de Vida Saúde & Fitness,972.8K,,Visualizar Perfil
77,شجــرة الدر @shajarataldurr1,3.2M,0.5%,Emirados Árabes Unidos,Atuação e Drama Entretenimento e Música Celebridade,959K,,Visualizar Perfil
78,MUHAMMAD USMAN @maanumalik_04,3.1M,1.57%,Emirados Árabes Unidos,Moda e Acessórios Viagem Atuação e Drama,942.8K,,Visualizar Perfil
79,KARI KARI Petrosyan @kari____kari,3.1M,1.6%,Emirados Árabes Unidos,Moda e Acessórios Fotografia Educação de Produtos Aperfeiçoamento de Habilidades,942.1K,,Visualizar Perfil
80,Frank Fourie @frank.fourie,3.1M,0.59%,Emirados Árabes Unidos,Negócios e Finanças,928.2K,,Visualizar Perfil
81,Globe Soccer @globesoccer,3.1M,0.38%,Emirados Árabes Unidos,Esportes Eventos Futebol,927.9K,,Visualizar Perfil
82,Mona Kattan Elamin✌🏽🤎🧸🍉✨🪽 @monakattan,3.1M,0.45%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Negócios e Finanças Atores Modelagem,920.8K,,Visualizar Perfil
83,Zahra ben mime- زهراء بن ميم @zahra_ben_mime,3.1M,1.79%,Emirados Árabes Unidos,Atuação e Drama Jornalistas,920.5K,,Visualizar Perfil
84,mahiraabdelaziz مهيرة @mahiraabdelaziz,3M,0.04%,Emirados Árabes Unidos,Entretenimento e Música Celebridade,908.5K,,Visualizar Perfil
85,Mustafa Jabbar || مصطفى ألاسدي @t.i,3M,1.45%,Emirados Árabes Unidos,Modelagem Moda,903.9K,,Visualizar Perfil
86,طارق العلي @tareq_al_ali,3M,0.07%,Emirados Árabes Unidos,Atores,903.7K,,Visualizar Perfil
87,Ibrahim Assad @ibrahim_assad,3M,0.23%,Emirados Árabes Unidos,Automóveis e Veículos Automotivo Negócios e Finanças Casa e Jardim,889.2K,,Visualizar Perfil
88,Adel Alaa | عادل علاء @adeelalaa_,3M,2.55%,Emirados Árabes Unidos,Viagem Celebridade Eventos Retratos,887.9K,,Visualizar Perfil
89,محمد طارق Mohammed Tarek @mohammedtarek0,2.9M,1.39%,Emirados Árabes Unidos,Entretenimento e Música Engraçado,857.1K,,Visualizar Perfil
90,Nadé blata @nade_blata,2.8M,0.05%,Emirados Árabes Unidos,Moda e Acessórios,851.1K,,Visualizar Perfil
91,Saniya Iyappan @_saniya_iyappan_,2.8M,0.37%,Emirados Árabes Unidos,Entretenimento e Música Celebridade Atores Modelagem,844K,,Visualizar Perfil
92,خليفه المعمري @5k,2.8M,1.7%,Emirados Árabes Unidos,Política,840.2K,,Visualizar Perfil
93,Elli Di @_ellidi,2.7M,0.2%,Emirados Árabes Unidos,Família Vlogger,823.5K,,Visualizar Perfil
94,Patrick Abrahão @patrickabrahao,2.7M,0.44%,Emirados Árabes Unidos,,814.4K,,Visualizar Perfil
95,RAHAF ELSHAMI | رهف الشامى @rahafelshamiofficial,2.7M,2.11%,Emirados Árabes Unidos,Blogueiro Criadores e Celebridades,800.1K,,Visualizar Perfil
96,⚡️A.K⚡️ @_ahmedkhalfan,2.7M,4.16%,Emirados Árabes Unidos,,796.5K,,Visualizar Perfil
97,Nour Mar| نور مار @5nourrmar,2.6M,5.81%,Emirados Árabes Unidos,Viagem,793K,,Visualizar Perfil
98,FARHANA @farhanabodi,2.6M,0.43%,Emirados Árabes Unidos,Moda e Acessórios Estilo de Vida Estilo Cabelo & Beleza,791.4K,,Visualizar Perfil
99,Avinash Chavan @aviichavan,2.6M,0.51%,Emirados Árabes Unidos,Negócios e Finanças,788.2K,,Visualizar Perfil
100,KAMILA @kamilaofficiel,2.6M,5.47%,Emirados Árabes Unidos,Família Comida Estilo de Vida,770.4K,,Visualizar Perfil
