rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
1,93600,0.63,Afghanistan,Entertainment & Music,28100,Pearl Thusi,@pearlthusi
2,21000,1.48,Afghanistan,Entertainment & Music,6300,Moe Shalizi,@shalizi
3,14300,0.07,Afghanistan,News & Politics,4300,TOLOnews Official,@tolonewsofficial
4,7100,0.05,Afghanistan,Fitness & Health Dance Education,2100,"Dr Nadine Hosny El Said, PhD.",@nounamoz
5,5900,0.25,Afghanistan,Fitness & Health Outdoor Activity Sports,1800,Ali Abdelaziz,@aliabdelaziz000
6,5800,,Afghanistan,Education Entertainment & Music,1700,Afghanistan International,@afintl.tv
7,4500,0.48,Afghanistan,Arts & Crafts Education Travel Food,1400,Yeldah یلدا | 🇦🇫🇨🇦,@beautiful.bibliophile
8,4000,0.24,Afghanistan,Education Finance Life & Society,1200,خالد صافي Khaled Safi,@khaledsafi
9,3900,0.11,Afghanistan,Life & Society,1200,Mansoor Abdullatif,@sangeema74
10,3300,0.27,Afghanistan,Nature,999,Afghanistan_You_Never_See 🇦🇫,@afghanistan_you_never_see
11,3200,0.18,Afghanistan,Beauty & Self Care Product Showcase,945,Didi Beauty Co.,@didibeautyco
12,2400,4.33,Afghanistan,Fashion & Accessories Business,705,Ayeda Shadab,@ayeda.shadab
13,2200,0.14,Afghanistan,Entertainment & Music,672,Delpiero Salazar,@delpierosalazar
14,1800,,Afghanistan,Entertainment & Music,531,DOTTS MEDIA HOUSE,@dottsmediahouse
15,1600,0.4,Afghanistan,Entertainment & Music Funny,486,افغان,@afghanfunnygags
16,1600,1.03,Afghanistan,Sports,465,Afsar Zazai,@afsar_zazai_78
17,1500,0.83,Afghanistan,Entertainment & Music Comedy,447,Badri malayeri,@badrihematyar
18,1500,,Afghanistan,Entertainment & Music,447,Mahroof Sharif,@mahroof.sharif
19,1300,,Afghanistan,Photography Life & Society,375,Everyday Kabul,@everydaykabul
20,1200,0.92,Afghanistan,Life & Society,366,Danish Nazari,@deeesinterlude
21,1100,,Afghanistan,Health & Fitness,321,🔱معرفي جراحان بيني👃🏼 🔱,@jarahibinii
22,1100,0.59,Afghanistan,Entertainment & Music Beauty & Self Care,318,ANNatnatcha36. AF . TheVoice .,@annatnatcha
23,1000,,Afghanistan,Entertainment & Music Arts & Crafts Photography,312,MAPP Africa,@mappafrica
