rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
1,14500000,0.3,Afghanistan,Business and Finance,4400000,Ziba Gulley 🥀,@xzayx89
2,9000000,,Afghanistan,Entertainment and Music Finance Upskilling,2700000,Bryan Kazaka,@bryankazaka
3,4100000,,Afghanistan,Beauty and Self Care Acting and Drama Celebrity,1200000,JasleenKaur Official,@jasleenxbeauty
4,1400000,,Afghanistan,Business and Finance,420000,Pary Gull Moti,@parygullofficial
5,1300000,,Afghanistan,,390000,Valentino,@baravalentino_
6,1100000,,Afghanistan,Fitness,330000,QueenofTikTok👸,@mashazlatifiofficial7
7,1100000,,Afghanistan,,330000,Mehral Shams,@mehral
8,946500,,Afghanistan,,284000,haniyemazariofficial,@haniye_mazari_officiall
9,928100,,Afghanistan,Beauty,278400,SlayerGirl💕,@x_s.l.a.y.e.r.g.i.r.l_x
10,860900,,Afghanistan,Entertainment and Music,258300,777zvrahfn,@777zvrahfn
11,852900,0.1,Afghanistan,Entertainment and Music Funny Celebrity,255900,MC RAJI,@mcrajiofficial
12,813800,,Afghanistan,Travel,244100,Soma Zafari,@somazafari
13,806400,,Afghanistan,,241900,Andro,@andro_121
14,806300,,Afghanistan,,241900,Ayesha khan 🇦🇫🇵🇰,@nageen_afghan
15,749100,6.6,Afghanistan,,224700,A,@arsalannoori07
16,706500,,Afghanistan,Video Gaming,212000,『Savage』GIRL❣️,@savage.bye
17,706200,,Afghanistan,Video Gaming,211900,Z E R O,@zero.503
18,702600,,Afghanistan,,210800,😝Ziarat khan funny😝🙈,@ziaratkhan5050
19,674700,,Afghanistan,,202400,Zainab-official,@zainabjan2001
20,658800,,Afghanistan,,197600,🇦🇫🇹🇷,@shabir_7m
21,622200,0.2,Afghanistan,,186700,Ｒ¹丨ＢＯＯＭ,@r1.boom
22,584200,,Afghanistan,,175300,𝐇𝐚𝐬𝐞𝐞𝐛 𝐊𝐡𝐚𝐧,@thekhan_
23,575300,,Afghanistan,,172600,Jeffy Nachapim,@jeffynachapim
24,558200,,Afghanistan,,167500,Afsana Zeddi,@afsanazeddi
25,534300,,Afghanistan,,160300,Icxmaria,@icxmaria
26,522100,,Afghanistan,,156600,Free Fire 🔥,@moe_ff
27,521900,,Afghanistan,,156600,¹Ｏp・MARYAM 👸🏻🇦🇫,@official_maryam
28,516300,,Afghanistan,Nature,154900,Siyad Abdali,@siyad998
29,513400,0.2,Afghanistan,Entertainment and Music Education,154000,Habari_Njema,@habari_njema
30,505000,,Afghanistan,,151500,menokakar,@menokakar
31,490200,,Afghanistan,,147100,Sami Sadat,@sami_sadat
32,486600,,Afghanistan,,146000,Aimal Habibi,@aimalhabibi01
33,484700,,Afghanistan,Games,145400,🔥Jan Nawid🔥,@nawidsamadi_07
34,481700,,Afghanistan,Video Gaming,144500,96 | B L A C K,@96black1
35,477900,,Afghanistan,Education,143400,theshaniproject,@theshaniproject
36,476900,,Afghanistan,,143100,khushal_jan,@khushal_jan28
37,474300,,Afghanistan,,142300,Yassna,@anarkali_08
38,460100,,Afghanistan,Food Nature,138000,Abid Mahmood Khogyanai,@abidmahmoodkhogya
39,449300,,Afghanistan,,134800,🅗🅐🅚🅘🅜🅘,@_shamshakimi
40,444700,,Afghanistan,,133400,❦︎🅒︎🅡︎🅘︎🅖︎🅔︎ 🅜︎🅐︎🅝︎❦︎,@gamergalaxyskin009_yt
41,440000,0.1,Afghanistan,,132000,♥️🤤,@sonasadat
