#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,시아지우 sia_jiwoo @sia_jiwoo,27.5M,0.2%,South Korea,,8.3M
2,신사마 SHINSAMA @shinsama422,17.2M,0.9%,South Korea,Entertainment and Music,5.2M
3,옐언니 SISTERYELL @sisteryell,14.2M,0.1%,South Korea,Beauty and Self Care,4.3M
4,J-COP @beatboxjcop,13.9M,-,South Korea,Entertainment and Music,4.2M
5,Stray Kids @jypestraykids,12.4M,0.4%,South Korea,Entertainment and Music,3.7M
6,신사장 SHIN SAJANG @shin_sajang93,12.4M,0.2%,South Korea,Entertainment and Music,3.7M
7,지원패밀리 @jiwon_family,11.9M,-,South Korea,family,3.6M
8,YUN @yun_bao,7.8M,0.1%,South Korea,Entertainment and Music,2.3M
9,โจเซฟมาเยือน @josephmayuen,6.5M,-,South Korea,,2M
10,유빈 Kelly @kellykimkim7,5.3M,-,South Korea,Fashion and Accessories,1.6M
11,가람(karam) @karam_0628,4.6M,-,South Korea,,1.4M
12,또솔 DDO_SOL @ddo.sol,4.5M,-,South Korea,Entertainment and Music Funny,1.4M
13,ASTRO 아스트로 @astro_official,4.4M,-,South Korea,,1.3M
14,Avira Nisha @aviranisha,4.2M,-,South Korea,Food Travel Food and Drink,1.3M
15,인사이트 @insight_official,4.1M,-,South Korea,,1.2M
16,Dewsisters @dewsisters,4M,-,South Korea,,1.2M
17,주한띠 @juhan5310,3.8M,-,South Korea,Entertainment and Music,1.1M
18,마티랜드🐰마티🐰 @matiland_mati,3.8M,0.5%,South Korea,,1.1M
19,Heyoon Jeong @heyoonjeong,3.2M,-,South Korea,,960K
20,아너브레이커즈 @hnbkz,3M,-,South Korea,,900K
21,김쏘야 @iamsongjour,2.9M,0.1%,South Korea,,870K
22,B-TOM🇰🇷 បងធំ🇰🇭 @dalove3121,2.8M,-,South Korea,,840K
23,짱타쿠 @jjangtaku,2.8M,1.6%,South Korea,Product Education,840K
24,강남허준 박용환 dr.harang @drharang,2.7M,-,South Korea,Education,810K
25,TikTok Korea @tiktok_kr,2.6M,-,South Korea,,780K
26,쏘영 Ssoyoung @ssoyoungmukbang,2.6M,-,South Korea,Food,780K
27,[RealMouth] 주멍이 @real_mouth,2.5M,-,South Korea,,750K
28,파이하우스 PI HOUSE @pihouse_kr,2.3M,-,South Korea,,690K
29,이승재 @leesjae96,2.2M,1.4%,South Korea,Entertainment and Music,660K
30,k.hwijae @k.hwijae,2.2M,-,South Korea,,660K
31,인션 InSean @insean0208,2.1M,-,South Korea,,630K
32,미르메 신민철 @shinmincheol,2.1M,-,South Korea,Sports,630K
33,Min Mặn Mồi @minoppa92,2.1M,-,South Korea,Food,630K
34,Priscilla Lee 이예은 @pris.danie,2.1M,-,South Korea,,630K
35,ZOEY ASMR 조이 @zoey_asmr,2.1M,-,South Korea,Entertainment and Music,630K
36,Netflix Korea @netflixkr,1.9M,-,South Korea,,570K
37,주성 JUSUNG @ju_sung,1.8M,2.9%,South Korea,Entertainment and Music,540K
38,TEAM1LLUSION 노성율 @team1llusion,1.8M,-,South Korea,Entertainment and Music Animation and Cosplay,540K
39,San AE @sanae33359,1.8M,-,South Korea,,540K
40,Kim Chung Phan @kimchungphan20,1.8M,-,South Korea,,540K
41,자곰 JAGOM ASMR @zenoworld,1.8M,-,South Korea,Food,540K
42,에버글로우 (EVERGLOW) @everglowofficial,1.7M,0.1%,South Korea,Entertainment and Music,510K
43,Blanc 블랑🤍 @blanc_s2,1.7M,-,South Korea,Beauty and Self Care,510K
44,Tamagoi @tamagoi,1.6M,-,South Korea,,480K
45,𝐂𝐚𝐲𝐚𝐚델리아🐰 @cayacarr0t,1.6M,-,South Korea,Pets,480K
46,@seejal~sking @seejal143,1.6M,-,South Korea,,480K
47,JKartsoccer @jkartsoccer_tiktok,1.6M,0.1%,South Korea,Education Sports,480K
48,Marysengmunmai @marysengmunmai1,1.6M,2.8%,South Korea,,480K
49,𝐖𝐞𝐧𝐣𝐢 지민✨ @juwen10,1.6M,-,South Korea,,480K
50,Haiyoe @haiyoe,1.6M,0.1%,South Korea,Entertainment and Music,480K
51,YOU JI @you_jiseok,1.5M,-,South Korea,,450K
52,쥬니Juney @juney4u2,1.5M,-,South Korea,Fashion and Accessories,450K
53,Tanya @t.volkova7,1.5M,-,South Korea,,450K
54,위아이(WEi) @wei__official,1.4M,0.1%,South Korea,Entertainment and Music,420K
55,СЭДЖУ @sejuming,1.4M,0.3%,South Korea,,420K
56,건리버 @kunho1216,1.4M,-,South Korea,Entertainment and Music,420K
57,Hanna Coreana @hannacoreana,1.3M,-,South Korea,,390K
58,진사범님🥋 @masterjin,1.3M,-,South Korea,Entertainment and Music,390K
59,KVIBES @officialkvibes,1.3M,-,South Korea,,390K
60,Weeekly (위클리) @weeekly,1.3M,-,South Korea,Entertainment and Music,390K
61,Johvely 🐰 @johvely,1.3M,-,South Korea,Entertainment and Music,390K
62,ゆうな♊️👯유나 @unaunayuuna,1.3M,2.3%,South Korea,,390K
63,Chuu Chuu 💋 @chuu.0810,1.3M,-,South Korea,,390K
64,M!SO | 미소 @_oomisoo_,1.2M,3.4%,South Korea,Beauty and Self Care,360K
65,Eden @edenchoi1020,1.2M,-,South Korea,Entertainment and Music,360K
66,Dreamcatcher(드림캐쳐) @official_dreamcatcher,1.2M,0.1%,South Korea,Entertainment and Music,360K
67,ᴋᴘᴏᴘ ఌ @namkimi,1.2M,0.1%,South Korea,Entertainment and Music,360K
68,이영지 @youngji_02,1.2M,0.1%,South Korea,,360K
69,✨Taew🍎🍂 @fan_dara_thai3taew,1.2M,-,South Korea,Entertainment and Music Fashion and Accessories,360K
70,Gvan @gvan981,1.1M,-,South Korea,Entertainment and Music Funny,330K
71,Ringo @ringodanyan,1.1M,0.3%,South Korea,Pets,330K
72,송송한일상💜S daily @thddl7214,1.1M,-,South Korea,Entertainment and Music,330K
73,♡Park jimin♡ @army.tea_,1.1M,0.1%,South Korea,Entertainment and Music,330K
74,liryonni @liryonni,1.1M,0.1%,South Korea,,330K
75,인사이트 패션 @insight_fashion,1M,-,South Korea,Fashion and Accessories,300K
76,키뜨(keith) @keith06230,1M,7.2%,South Korea,Entertainment and Music Education Product Education,300K
77,베니패밀리 Benny Family @benny_cat_family,997.2K,0.1%,South Korea,Pets,299.2K
78,Hyundai Worldwide @hyundai_worldwide,993.6K,1.6%,South Korea,Auto and Vehicles,298.1K
79,쿠키런 Cookierun @cookierun_dev,991.8K,0.1%,South Korea,,297.5K
80,김준형 @k_jhyung,989.9K,0.1%,South Korea,,297K
81,도열(Rodo) @rea.lllr,989.3K,-,South Korea,,296.8K
82,기섭 KI SEOP @kiseop91,985.4K,-,South Korea,,295.6K
83,ROADTOWN(로드타운) @roadtown_cover,979.5K,-,South Korea,Entertainment and Music,293.9K
84,vivikim @hapi2gether,978.2K,-,South Korea,,293.5K
85,น้ะพิม&จูนโฮตาสวด🇰🇷🇹🇭💕 @100619jun.na,978.2K,-,South Korea,,293.5K
86,by aokgiem @by.aokgiem,973.7K,0.6%,South Korea,,292.1K
87,𝐌𝐢𝐧𝐢 👑 @mini_xxrld,961.5K,1.2%,South Korea,,288.5K
88,GFRIEND @official_gfriend,958.5K,0.2%,South Korea,,287.6K
89,에이삐💕 @i_am_ab_,954K,-,South Korea,,286.2K
90,ALiEN Dance Studio @alienz.official,949.3K,-,South Korea,,284.8K
91,김프로 KIMPRO @jkim9999,948.2K,0.1%,South Korea,,284.5K
92,심야 Simya😋 @simya_midnight,947.8K,-,South Korea,Entertainment and Music Food and Drink,284.3K
93,V @pin._.s,944K,-,South Korea,,283.2K
94,Mẹ Cà Phê @buithinhuy91,936.7K,-,South Korea,,281K
95,Edward So @edwardkso,935.7K,0.2%,South Korea,,280.7K
96,태호 t.ae_ho🌊 @ccl5012,935.1K,-,South Korea,,280.5K
97,윤태섭 @ta2subottlegod,930K,-,South Korea,,279K
98,J.Y. Park @jypark_official,928.2K,0.5%,South Korea,Beauty,278.5K
99,Luisa García ♡ @luisagarciask,924.7K,3.2%,South Korea,Entertainment and Music,277.4K
100,벨트맨_beltman @belt_man,924.7K,-,South Korea,Product Education Auto and Vehicles,277.4K
