rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
45,JUNGKOOK (전정국) Updates @jungkook_bighitentertainment,9.1M,8.62%,South Korea,Entertainment and Music,2.7M,instagram,south-korea,False,2024,Music,MAPPED
46,TAEHYUNG (김태형) Updates @taehyung.bighitentertainment,9.1M,8.79%,South Korea,Art Entertainment and Music,2.7M,instagram,south-korea,False,2024,Music,MAPPED
47,최시원 • Siwon Choi @siwonchoi,9M,2.55%,South Korea,Entertainment and Music Founder Marketing,2.7M,instagram,south-korea,False,2024,Knowledge&Info,MAPPED
48,PONY 포니 @ponysmakeup,9M,0.11%,South Korea,Beauty and Self Care Fashion and Accessories Lifestyle,2.7M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
49,다현 (DAHYUN) @dahhyunnee,8.9M,10.77%,South Korea,,2.7M,instagram,south-korea,False,2024,NA,NA
50,혜리 @hyeri_0609,8.7M,0.12%,South Korea,Beauty and Self Care Celebrity Singer,2.6M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
51,LE SSERAFIM @le_sserafim,8.7M,6.48%,South Korea,Music,2.6M,instagram,south-korea,False,2024,Music,MAPPED
52,김민규 @mingue.k,8.6M,10.48%,South Korea,Celebrity,2.6M,instagram,south-korea,False,2024,Entertainment,MAPPED
53,Joshua Hong @joshu_acoustic,8.6M,0.35%,South Korea,Entertainment and Music Music Singer,2.6M,instagram,south-korea,False,2024,Music,MAPPED
54,정연 (JEONGYEON) @jy_piece,8.5M,0.18%,South Korea,Music,2.5M,instagram,south-korea,False,2024,Music,MAPPED
55,SEOHYUN @seojuhyun_s,8.2M,0.14%,South Korea,Celebrity Music Music of Asia Singer,2.5M,instagram,south-korea,False,2024,Music,MAPPED
56,LOVE MYSELF @bts_love_myself,8.1M,5.6%,South Korea,Education Celebrity,2.4M,instagram,south-korea,False,2024,Knowledge&Info,MAPPED
57,승관 SEUNGKWAN @pledis_boos,7.9M,0.27%,South Korea,Entertainment and Music Singer,2.4M,instagram,south-korea,False,2024,Music,MAPPED
58,SUGA (민윤기) Updates @suga_bighitentertainment,7.9M,16%,South Korea,Entertainment and Music,2.4M,instagram,south-korea,False,2024,Music,MAPPED
59,마마무 (MAMAMOO) @mamamoo_official,7.8M,0.66%,South Korea,Entertainment and Music,2.3M,instagram,south-korea,False,2024,Music,MAPPED
60,The8 디에잇 @xuminghao_o,7.7M,19.02%,South Korea,Singer,2.3M,instagram,south-korea,False,2024,Music,MAPPED
61,Sooyoung Choi @sooyoungchoi,7.7M,0.14%,South Korea,Fashion Lifestyle Beauty,2.3M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
62,YangYang 양양 @yangyang_x2,7.7M,0.16%,South Korea,Arts and Crafts Animation and Cosplay Entertainment and Music,2.3M,instagram,south-korea,False,2024,Tech&Gaming,MAPPED
63,JIN (김석진) Updates @jin_bighitentertainment,7.4M,14.6%,South Korea,Art Entertainment and Music,2.2M,instagram,south-korea,False,2024,Music,MAPPED
64,J-HOPE (제이홉) Updates @jhope_bighitentertainment,7.2M,9.68%,South Korea,Entertainment and Music,2.2M,instagram,south-korea,False,2024,Music,MAPPED
65,TREASURE (트레저) @yg_treasure_official,6.9M,6.21%,South Korea,,2.1M,instagram,south-korea,False,2024,NA,NA
66,OFFICIAL MONSTA X @official_monsta_x,6.9M,1.55%,South Korea,Entertainment and Music Singer Music Songwriting,2.1M,instagram,south-korea,False,2024,Music,MAPPED
67,Vernon 버논 @vernonline,6.8M,10.12%,South Korea,Art Entertainment Music,2M,instagram,south-korea,False,2024,Music,MAPPED
68,LEE JENO @leejen_o_423,6.8M,29.36%,South Korea,Entertainment and Music,2M,instagram,south-korea,False,2024,Music,MAPPED
69,설리가진리 (Sulli) @jelly_jilli,6.8M,16.39%,South Korea,Actors,2M,instagram,south-korea,False,2024,Entertainment,MAPPED
70,배우 이준기 李準基 @actor_jg,6.7M,3.15%,South Korea,Acting and Drama Celebrity Modeling,2M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
71,Hyoyeon Kim @hyoyeon_x_x,6.7M,1.29%,South Korea,Entertainment and Music Music,2M,instagram,south-korea,False,2024,Music,MAPPED
72,권유리 ʏᴜʀɪ ᴋᴡᴏɴ I’m GK @yulyulk,6.6M,1.74%,South Korea,Entertainment and Music Music Lifestyle,2M,instagram,south-korea,False,2024,Music,MAPPED
73,이준호 @le2jh,6.5M,21.79%,South Korea,Music Actors,2M,instagram,south-korea,False,2024,Music,MAPPED
74,Lomon 991111 @lomon991111,6.5M,14.98%,South Korea,Celebrity Actors,1.9M,instagram,south-korea,False,2024,Entertainment,MAPPED
75,@ggonekim,6.4M,3.59%,South Korea,Celebrity Gym Modeling,1.9M,instagram,south-korea,False,2024,Sports,MAPPED
76,아스트로 @officialastro,6.4M,4.39%,South Korea,Entertainment and Music Modeling,1.9M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
77,BTS V 방탄소년단 뷔🐯 @bts_v,6.1M,1.58%,South Korea,Entertainment and Music Music Fan Pages,1.8M,instagram,south-korea,False,2024,Music,MAPPED
78,WOOZI @woozi_universefactory,5.9M,9.82%,South Korea,Entertainment and Music Music,1.8M,instagram,south-korea,False,2024,Music,MAPPED
79,방탄소년단 BTS 김남준 RM @btsnamjoon,5.8M,5.5%,South Korea,Singer Rap,1.7M,instagram,south-korea,False,2024,Music,MAPPED
80,Amber Liu 刘逸云 @amberliu,5.6M,1%,South Korea,Art Singer Music Rap,1.7M,instagram,south-korea,False,2024,Music,MAPPED
81,김희철 @kimheenim,5.6M,4.62%,South Korea,Entertainment and Music Singer,1.7M,instagram,south-korea,False,2024,Music,MAPPED
82,써니 (Sunny) @515sunnyday,5.5M,3.24%,South Korea,Movies,1.6M,instagram,south-korea,False,2024,UNMAPPED,UNMAPPED
83,샤이니(SHINee) Official @shinee,5.4M,0.39%,South Korea,Entertainment and Music News Band Music,1.6M,instagram,south-korea,False,2024,Knowledge&Info,MAPPED
84,이특 leeteuk @xxteukxx,5.3M,2.11%,South Korea,Entertainment and Music Singer,1.6M,instagram,south-korea,False,2024,Music,MAPPED
85,JHOPE @bts_jhope,5.1M,6.83%,South Korea,Singer,1.5M,instagram,south-korea,False,2024,Music,MAPPED
86,청하 CHUNG HA @chungha_official,5.1M,1.58%,South Korea,Entertainment and Music Singer,1.5M,instagram,south-korea,False,2024,Music,MAPPED
87,Jisoo @actor_jisoo,5M,11.66%,South Korea,Celebrity Actors Modeling,1.5M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
88,여진구 Yeo Jin Goo @yeojin9oo,4.9M,2.37%,South Korea,Entertainment and Music Actors,1.5M,instagram,south-korea,False,2024,Music,MAPPED
89,윤찬영 Chan-young Yoon @yooncy1,4.9M,10.8%,South Korea,Celebrity,1.5M,instagram,south-korea,False,2024,Entertainment,MAPPED
90,Daniel Kang=강다니엘 @daniel.k.here,4.8M,4.27%,South Korea,Entertainment and Music,1.4M,instagram,south-korea,False,2024,Music,MAPPED
91,Hari Won(하리원) @wonhari,4.7M,0.23%,South Korea,Entertainment and Music Arts and Crafts Music,1.4M,instagram,south-korea,False,2024,Music,MAPPED
92,에릭남 Eric Nam @ericnam,4.6M,1.33%,South Korea,Entertainment and Music Music Actors,1.4M,instagram,south-korea,False,2024,Music,MAPPED
93,안희연 @ahnanihh,4.6M,1.11%,South Korea,Music Singer Music of Asia,1.4M,instagram,south-korea,False,2024,Music,MAPPED
94,효린 ʜʏᴏʟʏɴ of bridʒ 🎤🇰🇷 @xhyolynx,4.6M,0.48%,South Korea,Music Modeling,1.4M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
95,박지훈 Park Jihoon @0529.jihoon.ig,4.5M,16.32%,South Korea,,1.3M,instagram,south-korea,False,2024,NA,NA
96,Jay Park / 박재범 ($hway bum) @jparkitrighthere,4.4M,2.9%,South Korea,Music,1.3M,instagram,south-korea,False,2024,Music,MAPPED
97,강민혁 KANG MIN HYUK @mr_kanggun,4.3M,0.26%,South Korea,Entertainment and Music Skateboarding Modeling,1.3M,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
98,IVE 아이브 @ivestarship,4.2M,5.14%,South Korea,,1.3M,instagram,south-korea,False,2024,NA,NA
99,더보이즈(THE BOYZ) @official_theboyz,4.1M,3.16%,South Korea,Entertainment and Music Parenting,1.2M,instagram,south-korea,False,2024,Music,MAPPED
100,서인국 Seo In Guk @seo_cccc,4.1M,11.59%,South Korea,Entertainment and Music,1.2M,instagram,south-korea,False,2024,Music,MAPPED
