#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
87,Nick The Goalie @nickthegoalie_1,1.1M,3.6%,Canada,Finance,330K
88,Jay Amortegui @jayamortegui,1.1M,-,Canada,Entertainment and Music,330K
89,"Nico, Jackson & Zoey @nico.jackson.zoey",1M,-,Canada,Pets family,300K
90,Pierre-Émile Lv @love_by_pierreemile,1M,41.3%,Canada,Entertainment and Music,300K
91,Nando Sirianni @nandosirianni,997.8K,-,Canada,Fashion and Accessories,299.3K
92,Drew Ray Tanner @thewerdworld,997.1K,0.5%,Canada,,299.1K
93,Splorin Lauren @splorin.lauren,992.8K,-,Canada,Travel Outdoor Activity,297.8K
94,Annie @race_red_annie,980K,-,Canada,,294K
95,msdongan @msdongan,979.5K,-,Canada,Fashion and Accessories Beauty and Self Care,293.9K
96,s_kay_galot @s_kay_galot8,971.2K,-,Canada,,291.4K
97,Lindsey • Mom Life @tiktokin.mama,970.2K,-,Canada,family Funny,291.1K
98,Eel @eelfeel,964.8K,0.1%,Canada,,289.4K
99,Nicole Pangilinan @itsmenicolengg,959K,-,Canada,Entertainment and Music Funny,287.7K
100,Billy Maverick @billymaver1ck,956.1K,-,Canada,Business and Finance,286.8K
