rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,category_unified,category_status,_platform,_month,_year
1,cristiano,Cristiano Ronaldo,Sports with a ball,483100000.0,India,4500000.0,5600000.0,,Sports,MAPPED,instagram,november,2022
2,kyliejenner,Kylie 🤍,Fashion,370000000.0,United States,2800000.0,4400000.0,Modeling,Beauty&Fashion,MAPPED,instagram,november,2022
3,leomessi,Leo Messi,Sports with a ball,357800000.0,Indonesia,3200000.0,4099999.9999999995,Family,Sports,MAPPED,instagram,november,2022
4,arianagrande,Ariana Grande,Music,331600000.0,United States,2900000.0,4000000.0,,Music,MAPPED,instagram,november,2022
5,zendaya,Zendaya,Cinema & Actors/actresses,152200000.0,United States,4800000.0,6500000.0,Fashion,Entertainment,MAPPED,instagram,november,2022
6,virat.kohli,Virat Kohli,Sports with a ball,215000000.0,India,3600000.0,4099999.9999999995,,Sports,MAPPED,instagram,november,2022
7,selenagomez,Selena Gomez,Music,347600000.0,United States,1800000.0,2300000.0,Lifestyle,Music,MAPPED,instagram,november,2022
8,thv,V,Music,51300000.0,South Korea,13100000.0,13100000.0,,Music,MAPPED,instagram,november,2022
9,lalalalisa_m,LISA,Music,82500000.0,Indonesia,6700000.0,7800000.0,,Music,MAPPED,instagram,november,2022
10,taylorswift,Taylor Swift,Music,224900000.0,Brazil,2100000.0,2800000.0,,Music,MAPPED,instagram,november,2022
11,beyonce,Beyoncé,Music,275700000.0,United States,1500000.0,2200000.0,Fashion,Music,MAPPED,instagram,november,2022
12,billieeilish,BILLIE EILISH,Music,106300000.0,United States,3800000.0,5000000.0,,Music,MAPPED,instagram,november,2022
13,justinbieber,Justin Bieber,Music,258200000.0,Brazil,1400000.0,1900000.0,,Music,MAPPED,instagram,november,2022
14,neymarjr,NJ 🇧🇷,Sports with a ball,178700000.0,Brazil,1500000.0,2200000.0,,Sports,MAPPED,instagram,november,2022
15,kendalljenner,Kendall,Modeling,258200000.0,United States,926400.0,1500000.0,Fashion,Beauty&Fashion,MAPPED,instagram,november,2022
16,jin,Jin of BTS,Music,40000000.0,United States,8900000.0,8900000.0,,Music,MAPPED,instagram,november,2022
