rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,yossikramer,Yossi,145600.0,26800000.0,2200000.0,30100.0,71200.0,tiktok,november,2022
2,mrbeast,MrBeast,55600000.0,38100000.0,3800000.0,19000.0,7800.0,tiktok,november,2022
3,adinross,adin,5400000.0,16600000.000000002,2000000.0,10900.0,12500.0,tiktok,november,2022
4,daniel.labelle,Daniel LaBelle,27900000.0,11800000.0,1700000.0,6900.0,29300.0,tiktok,november,2022
5,hotspanishmx,HotSpanish,8199999.999999999,19200000.0,1700000.0,7400.0,9500.0,tiktok,november,2022
6,nicocaponecomedy,nicocapone.comedy,24300000.0,16900000.0,952900.0,5600.0,27300.0,tiktok,november,2022
7,juandamc,JuanDa.,19100000.0,9200000.0,2200000.0,11100.0,9300.0,tiktok,november,2022
8,amauryguichon,Amaury Guichon,17600000.0,12400000.0,2000000.0,5800.0,11300.0,tiktok,november,2022
9,thezachchoi,Zach Choi,8000000.0,14200000.0,1500000.0,5400.0,13300.0,tiktok,november,2022
10,bdylanhollis,B. Dylan Hollis,9200000.0,6400000.0,1300000.0,6300.0,39500.0,tiktok,november,2022
11,janneksplace,Janneksplace,1900000.0,11600000.0,1500000.0,8800.0,11400.0,tiktok,november,2022
12,twice_tiktok_official,TWICE,18400000.0,8000000.0,1600000.0,15900.0,10600.0,tiktok,november,2022
13,kyliejenner,Kylie Jenner,49100000.0,14500000.0,2500000.0,5500.0,3400.0,tiktok,november,2022
14,niallhoran,Niall Horan,4600000.0,4099999.9999999995,1200000.0,31600.0,23700.0,tiktok,november,2022
15,txt.bighitent,TOMORROW X TOGETHER,18500000.0,4300000.0,1500000.0,29000.0,11200.0,tiktok,november,2022
16,khaby.lame,Khabane lame,152000000.0,15000000.0,1800000.0,6500.0,3200.0,tiktok,november,2022
17,vibin.wit.tay,Tay,5100000.0,4200000.0,897300.0,7700.0,39600.0,tiktok,november,2022
18,steve.lacy,steve lacy,1300000.0,8199999.999999999,1400000.0,12000.0,2900.0,tiktok,november,2022
19,taylorswift,Taylor Swift,15300000.0,6000000.0,843100.0,21300.0,10600.0,tiktok,november,2022
20,iamferv,Fernanda,32900000.0,8600000.0,1300000.0,7700.0,4500.0,tiktok,november,2022
21,poudi,Poudii,145900.0,8100000.0,1200000.0,4000.0,9900.0,tiktok,november,2022
22,mikaylahau,Mikaylah,5400000.0,7600000.0,559200.0,18400.0,12500.0,tiktok,november,2022
23,onwardwanna,Wanna🥊,8300000.000000001,6700000.0,1300000.0,9900.0,3100.0,tiktok,november,2022
24,adamsheey,Adam Shi,6700000.0,7300000.0,1200000.0,3400.0,9000.0,tiktok,november,2022
25,lokiandthetesseract,-ʟᴇɴᴀ-,427000.0,4600000.0,1000000.0,5800.0,15400.0,tiktok,november,2022
26,domelipa,domelipa,60500000.0,9100000.0,1200000.0,6000.0,2700.0,tiktok,november,2022
27,stickyboy69,stickyboy69,9100000.0,7100000.0,1200000.0,7400.0,3300.0,tiktok,november,2022
28,jdiasss_,João Dias,8100000.0,6800000.0,1400000.0,5000.0,3400.0,tiktok,november,2022
29,dylanmulvaney,Dylan Mulvaney,8900000.0,5300000.0,874200.0,14600.0,2400.0,tiktok,november,2022
30,jonatan.clay,Jonatan Clay,2900000.0,6700000.0,1100000.0,6200.0,3600.0,tiktok,november,2022
31,pietro_morello,Pietro Morello,3100000.0,17200000.0,961300.0,2600.0,1700.0,tiktok,november,2022
32,britneyspears,Britney Spears,7300000.0,5900000.0,317400.0,15300.0,22200.0,tiktok,november,2022
33,charlidamelio,charli d’amelio,148400000.0,8600000.0,641900.0,9700.0,2500.0,tiktok,november,2022
34,calebdigital,CALEB DIGITAL,613900.0,4300000.0,991300.0,6800.0,8900.0,tiktok,november,2022
35,therock,The Rock,63200000.0,6400000.0,689800.0,10800.0,4100.0,tiktok,november,2022
36,frankielapenna,Frankie LaPenna,5400000.0,9000000.0,694400.0,2100.0,6900.0,tiktok,november,2022
37,kimberly.loaiza,Kimberly Loaiza,69300000.0,7700000.0,868000.0,6200.0,1900.0,tiktok,november,2022
38,selenagomez,Selena Gomez,44200000.0,6300000.0,1100000.0,4600.0,2900.0,tiktok,november,2022
39,luvadepedreiro,Iran Ferreira (Lai),20600000.0,8500000.0,1000000.0,3700.0,2400.0,tiktok,november,2022
40,maherzainfanforever,maherzainfanforever,2000000.0,3200000.0,409000.0,5100.0,31300.0,tiktok,november,2022
41,daviddobrik,DAVID DOBRIK,26300000.0,7400000.0,1200000.0,3200.0,2000.0,tiktok,november,2022
42,morimura,MoriMura🍕,8900000.0,6100000.0,764300.0,3300.0,6600.0,tiktok,november,2022
43,rubentuestaok,Ruben Tuesta,24500000.0,6900000.0,815100.0,1600.0,6600.0,tiktok,november,2022
44,mclomaofficiall,mclomaofficial,5400000.0,6800000.0,1200000.0,3700.0,1700.0,tiktok,november,2022
45,lilireinhart,Lili Reinhart,5000000.0,4800000.0,920900.0,2900.0,6400.0,tiktok,november,2022
46,dgdxofficial,D.M. Galloway | DGDX Animation,156300.0,5800000.0,279100.0,1700.0,21800.0,tiktok,november,2022
47,lexibrookerivera,Lexi Rivera,24400000.0,6300000.0,993400.0,4500.0,1600.0,tiktok,november,2022
48,ramonvitor,ramonvitor,10300000.0,5600000.0,1200000.0,3800.0,1700.0,tiktok,november,2022
49,matt_rife,Matt Rife,3900000.0,4700000.0,700800.0,3200.0,7300.0,tiktok,november,2022
50,syifahadjuuuuuuu,Syifa Hadju,4099999.9999999995,6100000.0,808900.0,4800.0,1600.0,tiktok,november,2022
51,matt_rife,Matt Rife,3900000.0,4700000.0,700800.0,3200.0,7300.0,tiktok,november,2022
52,syifahadjuuuuuuu,Syifa Hadju,4099999.9999999995,6100000.0,808900.0,4800.0,1600.0,tiktok,november,2022
53,cedricgrolet,Cedric Grolet,2500000.0,6900000.0,599300.0,2200.0,5500.0,tiktok,november,2022
54,nicollefigueroaa,Nicolle Figueroa,14400000.0,7900000.0,1100000.0,2500.0,878.0,tiktok,november,2022
55,isramy,Ramy Chaaban,2600000.0,4500000.0,745800.0,3300.0,4900.0,tiktok,november,2022
56,lourdasprec,LOURD,10600000.0,3900000.0,672900.0,5300.0,5000.0,tiktok,november,2022
57,markoterzo,M A R K O,2800000.0,8700000.0,1000000.0,2300.0,727.0,tiktok,november,2022
58,rauwalejandro,rauwalejandro,12700000.0,6100000.0,616900.0,2500.0,4300.0,tiktok,november,2022
59,axxdermusic,Axder,5100000.0,1700000.0,186300.0,30900.0,49300.0,tiktok,november,2022
60,jaxwritessongs,Jax,12400000.0,3700000.0,671300.0,7600.0,2600.0,tiktok,november,2022
61,saramohannad_,Sara,8700000.0,3700000.0,329200.0,5100.0,15500.0,tiktok,november,2022
62,ayesebastien,Sebastien,8000000.0,5400000.0,814200.0,2200.0,3500.0,tiktok,november,2022
63,skaijackson,Skai Jackson 🥰,20800000.0,5000000.0,857400.0,2800.0,2600.0,tiktok,november,2022
64,jvke,JVKE,8700000.0,6000000.0,1000000.0,2200.0,1500.0,tiktok,november,2022
65,addisonre,Addison,88700000.0,6800000.0,523200.00000000006,2500.0,3800.0,tiktok,november,2022
66,sucss.s,Açucena Guirra,11900000.0,3600000.0,811700.0,4000.0,3600.0,tiktok,november,2022
67,druskitv,DRUSKI,3800000.0,2800000.0,533600.0,4000.0,10400.0,tiktok,november,2022
68,tuckercomedy,Tucker Reynolds,2500000.0,3700000.0,769500.0,1900.0,5100.0,tiktok,november,2022
69,connorprice__,Connor Price,3200000.0,5900000.0,627800.0,2900.0,2400.0,tiktok,november,2022
70,bigsean,Big Sean,738800.0,4099999.9999999995,766600.0,2700.0,3600.0,tiktok,november,2022
71,postmalone,Post Malone,14000000.0,4800000.0,446800.0,3100.0,6000.0,tiktok,november,2022
72,marisol.viola,marisol viola,1500000.0,2500000.0,428300.0,6700.0,11200.0,tiktok,november,2022
73,neymarjr,Enejota,11300000.0,5200000.0,902500.0,3.0,4100.0,tiktok,november,2022
74,wuesilva,Wue Silva,13800000.0,4400000.0,540100.0,4100.0,3900.0,tiktok,november,2022
75,jimena.jimenezr,Jimena,25200000.0,7200000.0,816000.0,1400.0,1900.0,tiktok,november,2022
76,nina,Nina Dobrev,4000000.0,6800000.0,772100.0,2400.0,1200.0,tiktok,november,2022
77,rosalia,La Rosalia,26800000.0,4800000.0,588500.0,2400.0,4000.0,tiktok,november,2022
78,itskingchris,KingChristian,17900000.0,3700000.0,703400.0,4300.0,2700.0,tiktok,november,2022
79,dansurtiktok,Dan Sur beast 🤑,5900000.0,5700000.0,219700.0,13800.0,543.0,tiktok,november,2022
80,itssassagurl,Sassa Gurl,7000000.0,4099999.9999999995,698400.0,3000.0,3200.0,tiktok,november,2022
81,jdpantoja,JD Pantoja,31400000.0,4600000.0,732200.0,4300.0,906.0,tiktok,november,2022
82,thehealchef,Harry Heal,3000000.0,4200000.0,538700.0,3600.0,3700.0,tiktok,november,2022
83,anaraquelhz,Raquel,5400000.0,3800000.0,331900.0,2700.0,9800.0,tiktok,november,2022
84,sara.wais,Sara Waisglass,4300000.0,3900000.0,827200.0,3500.0,1300.0,tiktok,november,2022
85,cassmakeshome,CASSMAKESHOME | HOME & DIY,719000.0,2000000.0,268200.0,22600.0,5500.0,tiktok,november,2022
86,jypestraykids,Stray Kids,14700000.0,2300000.0,607100.0,7000.0,3700.0,tiktok,november,2022
87,cocielo,Júlio Cocielo,5200000.0,3200000.0,451200.0,2800.0,7200.0,tiktok,november,2022
88,meghantrainor,Meghan Trainor,13600000.0,6100000.0,905100.0,1700.0,936.0,tiktok,november,2022
89,spriteder_spd,Prite Netijen Netirattanapaiboon,4900000.0,7400000.0,789400.0,1500.0,991.0,tiktok,november,2022
90,santiperezvivas,Santi Perez,3000000.0,3400000.0,638300.0,2800.0,3800.0,tiktok,november,2022
91,kurtisconner,kurtis conner,2000000.0,1900000.0,689700.0,7000.0,3900.0,tiktok,november,2022
92,alwaystaketwo,alwaystaketwo,3500000.0,5200000.0,667400.0,2200.0,1800.0,tiktok,november,2022
93,adamrayokay,ADAMRAY,7100000.0,3700000.0,594500.0,2400.0,3900.0,tiktok,november,2022
94,spencer_serafica,Xspencer,13900000.0,4300000.0,622000.0,3000.0,2100.0,tiktok,november,2022
95,nianaguerrero,Niana Guerrero,34600000.0,5500000.0,707800.0,1800.0,1700.0,tiktok,november,2022
96,zachking,Zach King,70700000.0,9300000.0,591000.0,1100.0,1400.0,tiktok,november,2022
97,imeyhou,Meyden,4600000.0,6000000.0,690100.0,2500.0,708.0,tiktok,november,2022
98,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4300000.0,3400000.0,313100.0,4900.0,7200.0,tiktok,november,2022
99,graciajessicajane,Jessica Jane🌙,11600000.0,5600000.0,690000.0,2000.0,1400.0,tiktok,november,2022
100,ferxxo444,Feid,4600000.0,3300000.0,522700.00000000006,2600.0,4800.0,tiktok,november,2022
101,graciajessicajane,Jessica Jane🌙,11600000.0,5600000.0,690000.0,2000.0,1400.0,tiktok,november,2022
102,rodrigodabcasale,Rodrigo Casale (DAB ADDICTION),1200000.0,2400000.0,401700.0,6400.0,6800.0,tiktok,november,2022
103,nourmar5,nourmar5,14700000.0,3100000.0,190400.0,10000.0,11600.0,tiktok,november,2022
104,calebrownn,Cale Brown,5700000.0,4400000.0,527000.0,1700.0,3800.0,tiktok,november,2022
105,shxtsngigs,ShxtsNGigs Podcast,5500000.0,3300000.0,569100.0,1500.0,5300.0,tiktok,november,2022
106,jasonderulo,Jason Derulo,56100000.0,3400000.0,225500.0,561.0,15800.0,tiktok,november,2022
107,esnyrrr,Esnyr,5800000.0,4400000.0,756200.0,1800.0,1900.0,tiktok,november,2022
108,saraisthreads,Sarai Marie,2100000.0,3600000.0,531800.0,4000.0,2300.0,tiktok,november,2022
109,billlnai,nai,8800000.0,3800000.0,996600.0,1800.0,1300.0,tiktok,november,2022
110,lance210,Lance Stewart,22600000.0,4400000.0,398900.0,1300.0,5500.0,tiktok,november,2022
111,strangehuman,nova,11100000.0,4500000.0,600700.0,2500.0,1700.0,tiktok,november,2022
112,herranwalt,Herr Anwalt,5900000.0,2800000.0,363400.0,4300.0,6800.0,tiktok,november,2022
113,btswings7,BTS,4800000.0,1600000.0,520299.99999999994,3000.0,10500.0,tiktok,november,2022
114,christophersturniolo,Christopher Sturniolo,3800000.0,3400000.0,593000.0,3500.0,2000.0,tiktok,november,2022
115,fhd.artz,فهد آرت || Fahad🎨,2300000.0,4300000.0,320900.0,4600.0,3500.0,tiktok,november,2022
116,pongamoslo_a_prueba,Pongámoslo a Prueba,37600000.0,6100000.0,662600.0,1700.0,1100.0,tiktok,november,2022
117,jaywheeler,Jay Wheeler,6100000.0,4200000.0,725700.0,1700.0,1900.0,tiktok,november,2022
118,sijad_qasim,سجاد قاسم,2300000.0,5900000.0,171600.0,4000.0,6900.0,tiktok,november,2022
119,itsjaylaaw,🖤🖤🖤,2900000.0,3300000.0,553500.0,4700.0,1400.0,tiktok,november,2022
120,olisboa,LISBOA,3900000.0,4700000.0,848700.0,941.0,1800.0,tiktok,november,2022
121,maiaknight,Maia Knight,8800000.0,5400000.0,807100.0,1200.0,1300.0,tiktok,november,2022
122,beyonce,Beyoncé,4300000.0,2100000.0,496500.0,7000.0,3500.0,tiktok,november,2022
123,shakira,Shakira,26500000.0,4700000.0,401200.0,2400.0,3400.0,tiktok,november,2022
124,ivanaalawi,Ivana Alawi,8600000.0,5900000.0,606500.0,2000.0,956.0,tiktok,november,2022
