rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,___nicoichi___,NICO【平成フラミンゴ】,1300000.0,1900000.0,225300.0,1700.0,1100.0,tiktok,june,2022
2,_.anime.edits_0,video,97000.0,1700000.0,75600.0,1500.0,8700.0,tiktok,june,2022
3,_.respect.boss._,Respect compilation 🤝🥶,1500000.0,4400000.0,241900.0,249.0,797.0,tiktok,june,2022
4,_.the.meme.hub._,RANDOM MEMES,2300000.0,3800000.0,787700.0,2900.0,9000.0,tiktok,june,2022
5,_andrewcurtiss,Andrew Curtis,2500000.0,1400000.0,300400.0,5800.0,4000.0,tiktok,june,2022
6,_emil_official,EMİL❤️,600900.0,2500000.0,61900.0,1200.0,9500.0,tiktok,june,2022
7,_ikyikyyy,ikyikyyy,3100000.0,1500000.0,185300.0,1500.0,1600.0,tiktok,june,2022
8,_jennifernierva,Jennifer Nierva,1000000.0,2400000.0,321100.0,1900.0,1000.0,tiktok,june,2022
9,_mister_z,Marco Zedda,4900000.0,2300000.0,407300.0,3200.0,3000.0,tiktok,june,2022
10,_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4900000.0,3900000.0,235300.0,1300.0,1200.0,tiktok,june,2022
11,_space.draws_,Space Draws,2600000.0,2000000.0,227100.0,1600.0,817.0,tiktok,june,2022
12,_subtitulos_,KUWTK,92800.0,3400000.0,432700.0,960.0,690.0,tiktok,june,2022
13,_surya_editz_,😈,551200.0,3500000.0,330600.0,1100.0,2100.0,tiktok,june,2022
14,_xochitl.gomez,Xóchitl Gómez,4400000.0,6100000.0,1100000.0,9.0,3400.0,tiktok,june,2022
15,_xsyalisx_,Nya uwu xd,144300.0,1800000.0,347500.0,2400.0,2700.0,tiktok,june,2022
16,.jmwalton,𝙅 ⚡️,1200000.0,3400000.0,667000.0,15300.0,5600.0,tiktok,june,2022
17,1642l4,عطوي خانته سود الليالي,15000.0,1300000.0,64200.0,2800.0,13600.0,tiktok,june,2022
18,1asos,اسراء فرج,3500000.0,2500000.0,174300.0,1200.0,1400.0,tiktok,june,2022
19,230.s,نصائح واخبار فيفا.,13600.0,2200000.0,159200.0,1500.0,1300.0,tiktok,june,2022
20,42psy42,PSY,3900000.0,2500000.0,417800.0,2200.0,1200.0,tiktok,june,2022
21,4q2y,دنوو,1500000.0,1700000.0,140200.0,3600.0,1200.0,tiktok,june,2022
22,7uss.n,حسين الحريبي🌻,1500000.0,2200000.0,225500.0,2200.0,2500.0,tiktok,june,2022
23,aachoyy,chaa ˚◞♡,494900.0,2400000.0,356200.0,2400.0,519.0,tiktok,june,2022
24,abba,ABBA,2500000.0,10100000.0,2000000.0,7600.0,8000.0,tiktok,june,2022
25,abbieherbert,AbbieHerbert,13200000.0,4200000.0,557000.0,1400.0,959.0,tiktok,june,2022
26,abir.sag,Abir e sag,12700000.0,3900000.0,302800.0,2100.0,2100.0,tiktok,june,2022
27,aboody_kareem,عبودي كريم,7200000.0,1500000.0,167700.0,2600.0,1500.0,tiktok,june,2022
28,actressbecc,Becca Bastos,1400000.0,745200.0,207400.0,1500.0,3700.0,tiktok,june,2022
29,actually.average,Reed,1200000.0,1100000.0,320900.0,4000.0,3000.0,tiktok,june,2022
30,adammilardovicc,Adammilardovic,8100000.0,2200000.0,184800.0,1600.0,943.0,tiktok,june,2022
31,adamsilvera,Adam Silvera,93700.0,2200000.0,616300.0,6000.0,4600.0,tiktok,june,2022
32,addisonre,Addison Rae,88000000.0,7500000.0,704300.0,4300.0,2000.0,tiktok,june,2022
33,adi.syahreza,Adi Syahreza,7000000.0,2200000.0,278700.0,1900.0,1800.0,tiktok,june,2022
34,adrianbliss,Adrian Bliss,6000000.0,3000000.0,479000.0,1500.0,4800.0,tiktok,june,2022
35,adrilatinatv,adrilatinatv,25600000.0,3100000.0,243400.0,1500.0,190.0,tiktok,june,2022
36,aemilst,ems,1300000.0,1500000.0,224300.0,2000.0,3400.0,tiktok,june,2022
37,aerilzafrel8,aerilzafrel,1900000.0,2300000.0,216800.0,4700.0,1800.0,tiktok,june,2022
38,aespa_official,aespa official,5000000.0,9500000.0,2200000.0,33900.0,29200.0,tiktok,june,2022
39,aichangemoy_,YT : AiChan TV,8400000.0,2700000.0,250500.0,3200.0,2600.0,tiktok,june,2022
40,aiki_kr,아이키 Aiki,2100000.0,1900000.0,361400.0,1700.0,1300.0,tiktok,june,2022
41,ailaughatmyownjokes,"it's a me, Silvia :)",1900000.0,1400000.0,340400.0,1400.0,4300.0,tiktok,june,2022
42,ajkhiphop,kelil,36500.0,4600000.0,670600.0,686.0,355.0,tiktok,june,2022
43,akamztwenty20,Akamz,20400000.0,3800000.0,410500.0,1300.0,1700.0,tiktok,june,2022
44,akgunnice,GÖZDE AKGÜN,2400000.0,4600000.0,143000.0,1300.0,436.0,tiktok,june,2022
45,akramadinas,AK,3900000.0,1600000.0,374600.0,3100.0,1200.0,tiktok,june,2022
46,albert_cancook,albert_cancook,6700000.0,6200000.0,524900.0,1900.0,2100.0,tiktok,june,2022
47,albertinasacaca,Albertina sacaca1,1500000.0,4000000.0,464400.0,2400.0,787.0,tiktok,june,2022
48,albertinasacaca1,Albertina Sacaca Cal,4800000.0,2500000.0,226100.0,2500.0,575.0,tiktok,june,2022
49,alejandrodelcarpio96,Alejandro del Carpio,148600.0,2500000.0,233800.0,1500.0,255.0,tiktok,june,2022
50,alex_abt,AlexAbt,109000.0,2300000.0,371500.0,592.0,307.0,tiktok,june,2022
51,alexbatistao,Alex ramos22,3200.0,951700.0,46600.0,1700.0,19400.0,tiktok,june,2022
52,alexitoxedits,ALEX <3,2800000.0,966000.0,276700.0,2500.0,3300.0,tiktok,june,2022
53,alexwaarren,Alex warren,15300000.0,2700000.0,643700.0,635.0,417.0,tiktok,june,2022
54,alezha.obukhov,Алежа Обухов,681200.0,2200000.0,251100.0,697.0,1200.0,tiktok,june,2022
55,alfaanm,alfan,101100.0,647200.0,45700.0,1000.0,35700.0,tiktok,june,2022
56,ali.samir11,علي سمير,2500000.0,1700000.0,215700.0,6700.0,982.0,tiktok,june,2022
57,aliciasaavedra_,@aliciastylish,353100.0,4900000.0,113800.0,1300.0,25800.0,tiktok,june,2022
58,alliep.andrews2nd,allieandrews,31400.0,3100000.0,432600.0,1400.0,750.0,tiktok,june,2022
59,alrslani20,المنشد/ماجد الرسلاني,499800.0,2300000.0,100200.0,2100.0,4700.0,tiktok,june,2022
60,alteregofanbase7,𝘼𝙇𝙏𝙀𝙍𝙃𝙊𝙇𝙄𝘾,178700.0,2600000.0,267300.0,560.0,654.0,tiktok,june,2022
61,alxjames,Alx James,2100000.0,1700000.0,278500.0,1900.0,9700.0,tiktok,june,2022
62,amauryguichon,Amaury Guichon,11200000.0,17000000.0,1400000.0,10700.0,15200.0,tiktok,june,2022
63,amrmaskoun,Amrmaskoun,967000.0,2000000.0,169900.0,2100.0,1800.0,tiktok,june,2022
64,ana_eusse,Ana Maria,11700000.0,2400000.0,343600.0,1000.0,166.0,tiktok,june,2022
65,analisseworld,Analisseworld,10300000.0,2300000.0,418700.0,926.0,1000.0,tiktok,june,2022
66,anaraquelhz,Raquel,4000000.0,1600000.0,185900.0,1400.0,6800.0,tiktok,june,2022
67,anas_elshayib,انس الشايب,3900000.0,3100000.0,182100.0,4600.0,1900.0,tiktok,june,2022
68,andcarli,Anderson Carli,8100000.0,7000000.0,236500.0,1300.0,589.0,tiktok,june,2022
69,andremastijan,andre,723700.0,5200000.0,360000.0,2700.0,12500.0,tiktok,june,2022
70,andy.and.michelle,Andy & Michelle,4400000.0,2800000.0,399900.0,1800.0,4600.0,tiktok,june,2022
71,anitta,Anitta,20000000.0,2400000.0,256800.0,945.0,380.0,tiktok,june,2022
72,anna..paull,Anna Paul,4400000.0,3100000.0,731700.0,2100.0,474.0,tiktok,june,2022
73,annajobling,anna jobling,477000.0,4099999.9999999995,482700.0,4500.0,2000.0,tiktok,june,2022
74,annaxsitar,anna x,11900000.0,3100000.0,454200.0,741.0,424.0,tiktok,june,2022
75,apollolikesblu,Apollolol,3000.0,702300.0,124500.0,9500.0,2100.0,tiktok,june,2022
76,areyoukiddingtv,Joey and Steven,4800000.0,4099999.9999999995,648800.0,2500.0,316.0,tiktok,june,2022
77,arfaytb,ARFAYTB,372700.0,894100.0,108700.0,456.0,7600.0,tiktok,june,2022
78,argentinidadnovelera,zoe,91800.0,1800000.0,160500.0,953.0,10800.0,tiktok,june,2022
79,arigameplays,AriGameplays,21500000.0,4900000.0,559000.0,2700.0,2300.0,tiktok,june,2022
80,artbydemarcusshawn,DemarcusShawn,6100000.0,1800000.0,273800.0,2700.0,2800.0,tiktok,june,2022
81,ashmonterooo,ash,8900.0,2600000.0,437200.0,6600.0,15400.0,tiktok,june,2022
82,aubreyandersonemmons,Heyyyy,1100000.0,1800000.0,320800.0,2000.0,1800.0,tiktok,june,2022
