rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,ekin.721,MOMO’s,221700.0,26000000.0,2800000.0,29400.0,116400.0,tiktok,march,2022
2,dojacat,Doja Cat,22200000.0,25400000.0,5000000.0,36700.0,46800.0,tiktok,march,2022
3,kiet.ac.quy,Kiệt Ắk Wỷ,2100000.0,20700000.0,3500000.0,38800.0,33900.0,tiktok,march,2022
4,charlidamelio,charli d’amelio,135400000.0,18700000.0,2600000.0,54700.0,35200.0,tiktok,march,2022
5,luvadepedreiro,Iran Ferreira (Lai),11400000.0,24800000.0,2600000.0,32700.000000000004,26800.0,tiktok,march,2022
6,badbunny,Bad Bunny,16100000.000000002,17600000.0,4000000.0,28000.0,26200.0,tiktok,march,2022
7,khaby.lame,Khabane lame,135200000.0,17700000.0,2300000.0,18000.0,11200.0,tiktok,march,2022
8,leomahalo,Leo Mahalo,6800000.0,19000000.0,2200000.0,11800.0,14400.0,tiktok,march,2022
9,swagboygorringe,Daniel Gorringe,5600000.0,9900000.0,1800000.0,25300.0,35900.0,tiktok,march,2022
10,jennmelon,Jenn Melon,2000000.0,11000000.0,2300000.0,15100.0,24500.0,tiktok,march,2022
11,jounggustav,Joung Gustav,1900000.0,16399999.999999998,2200000.0,9900.0,13400.0,tiktok,march,2022
12,txt.bighitent,TOMORROW X TOGETHER,16200000.0,7700000.0,1800000.0,33200.0,12200.0,tiktok,march,2022
13,pongamoslo_a_prueba,Pongámoslo a Prueba,30400000.0,16000000.0,2500000.0,6300.0,7300.0,tiktok,march,2022
14,bdylanhollis,B. Dylan Hollis,7600000.0,8600000.0,1600000.0,11500.0,20000.0,tiktok,march,2022
15,lyczak,👑Łyczuu👑,1500000.0,11800000.0,1400000.0,16100.000000000002,8600.0,tiktok,march,2022
16,juandamc,JuanDa.,17100000.0,7500000.0,1700000.0,9100.0,19500.0,tiktok,march,2022
17,lifeinanimati0n,A <3,745200.0,6200000.0,1100000.0,8800.0,40200.0,tiktok,march,2022
18,zlusha,Zlusha,2000000.0,7200000.0,1100000.0,12900.0,29500.0,tiktok,march,2022
19,amauryguichon,Amaury Guichon,5400000.0,11000000.0,1600000.0,5800.0,13300.0,tiktok,march,2022
20,eupereiraoficial,Eu Pereira,4600000.0,12200000.0,1200000.0,5700.0,11500.0,tiktok,march,2022
