rank,handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_unified,category_status,_platform,_month,_year
1,leomessi,Leo Messi,Sports with a ball,Family,409800000.0,Argentina,17800000.0,23400000.0,Sports,MAPPED,instagram,december,2022
2,cristiano,Cristiano Ronaldo,Sports with a ball,,523000000.0,India,11700000.0,14700000.0,Sports,MAPPED,instagram,december,2022
3,neymarjr,NJ 🇧🇷,Sports with a ball,,198900000.0,Brazil,6700000.0,9500000.0,Sports,MAPPED,instagram,december,2022
4,kyliejenner,Kylie 🤍,Fashion,Modeling,376300000.0,United States,2700000.0,4300000.0,Beauty&Fashion,MAPPED,instagram,december,2022
5,kendalljenner,Kendall,Modeling,Fashion,268000000.0,United States,3200000.0,5000000.0,Beauty&Fashion,MAPPED,instagram,december,2022
6,arianagrande,Ariana Grande,Music,,345900000.0,United States,2500000.0,3400000.0,Music,MAPPED,instagram,december,2022
7,selenagomez,Selena Gomez,Photography,Music,365400000.0,United States,2200000.0,2900000.0,Lifestyle,MAPPED,instagram,december,2022
8,kimkardashian,Kim Kardashian,Fashion,Beauty,337400000.0,United States,1800000.0,2600000.0,Beauty&Fashion,MAPPED,instagram,december,2022
9,k.mbappe,Kylian Mbappé,Sports with a ball,,90400000.0,France,6000000.0,8400000.0,Sports,MAPPED,instagram,december,2022
10,taylorswift,Taylor Swift,Music,,236500000.0,Brazil,2300000.0,3000000.0,Music,MAPPED,instagram,december,2022
11,thv,V,Music,,53800000.0,South Korea,12000000.0,12000000.0,Music,MAPPED,instagram,december,2022
12,virat.kohli,Virat Kohli,Sports with a ball,,228800000.0,India,2500000.0,2800000.0,Sports,MAPPED,instagram,december,2022
13,lalalalisa_m,LISA,Music,,85700000.0,Indonesia,5600000.0,6400000.0,Music,MAPPED,instagram,december,2022
14,kourtneykardash,Kourtney Kardashian Barker,Lifestyle,,205600000.0,United States,1400000.0,2000000.0,Lifestyle,MAPPED,instagram,december,2022
15,billieeilish,BILLIE EILISH,Music,,107500000.0,United States,2900000.0,3800000.0,Music,MAPPED,instagram,december,2022
16,agustd,SUGA of BTS 민윤기,Lifestyle,Music,41400000.0,,9500000.0,9500000.0,Lifestyle,MAPPED,instagram,december,2022
17,justinbieber,Justin Bieber,Music,,270000000.0,Brazil,1000000.0,1400000.0,Music,MAPPED,instagram,december,2022
18,jennierubyjane,J,Music,,72300000.0,Indonesia,4400000.0,5200000.0,Music,MAPPED,instagram,december,2022
19,therock,Dwayne Johnson,Fitness & Gym,Art/Artists,355200000.0,India,761200.0,976300.0,Sports,MAPPED,instagram,december,2022
20,iamcardib,Cardi B,Music,Fashion,144900000.0,United States,1600000.0,2300000.0,Music,MAPPED,instagram,december,2022
21,karolg,KAROL G,Music,,58000000.0,Mexico,4300000.0,5200000.0,Music,MAPPED,instagram,december,2022
22,jin,Jin of BTS,Music,,42200000.0,United States,6600000.0,6600000.0,Music,MAPPED,instagram,december,2022
23,instagram,Instagram,Photography,,579800000.0,India,375100.0,466400.0,Lifestyle,MAPPED,instagram,december,2022
24,mileycyrus,Miley Cyrus,Music,,189800000.0,United States,998200.0,1300000.0,Music,MAPPED,instagram,december,2022
25,uarmyhope,jhope,Art/Artists,Music,42400000.0,South Korea,5900000.0,5900000.0,Lifestyle,MAPPED,instagram,december,2022
26,badbunnypr,,Music,,44500000.0,United States,3600000.0,5700000.0,Music,MAPPED,instagram,december,2022
27,sooyaaa__,JISOO🤍,Music,Beauty,66700000.0,Indonesia,3300000.0,3800000.0,Music,MAPPED,instagram,december,2022
28,bts.bighitofficial,BTS official,Music,,69600000.0,Indonesia,2900000.0,3300000.0,Music,MAPPED,instagram,december,2022
29,khaby00,Khaby Lame,Sports with a ball,,80300000.0,India,2000000.0,2700000.0,Sports,MAPPED,instagram,december,2022
30,aliaabhatt,Alia Bhatt 💛,Cinema & Actors/actresses,,73500000.0,India,2200000.0,2700000.0,Entertainment,MAPPED,instagram,december,2022
31,rkive,RM,Lifestyle,Music,40400000.0,Ethiopia,4600000.0,4600000.0,Lifestyle,MAPPED,instagram,december,2022
32,milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,,60500000.0,Brazil,2400000.0,3000000.0,Entertainment,MAPPED,instagram,december,2022
33,jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,229300000.0,United States,571700.0,725200.0,Music,MAPPED,instagram,december,2022
34,travisscott,flame,Music,,47600000.0,United States,2100000.0,3100000.0,Music,MAPPED,instagram,december,2022
35,harrystyles,,Music,Fashion,47900000.0,United States,2200000.0,3000000.0,Music,MAPPED,instagram,december,2022
36,kingjames,👑,Sports with a ball,,139400000.0,United States,643400.0,1000000.0,Sports,MAPPED,instagram,december,2022
37,karimbenzema,Karim Benzema,Sports with a ball,,63200000.0,France,1500000.0,2200000.0,Sports,MAPPED,instagram,december,2022
38,champagnepapi,champagnepapi,Music,,126300000.0,United States,587000.0,998800.0,Music,MAPPED,instagram,december,2022
39,dualipa,DUA LIPA,Music,,87600000.0,United States,1100000.0,1400000.0,Music,MAPPED,instagram,december,2022
40,anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,61700000.0,India,1800000.0,2000000.0,Entertainment,MAPPED,instagram,december,2022
41,dlwlrma,이지금 IU,Art/Artists,,28400000.0,South Korea,3500000.0,4200000.0,Lifestyle,MAPPED,instagram,december,2022
42,jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,23800000.0,United States,3500000.0,4900000.0,Entertainment,MAPPED,instagram,december,2022
43,eunwo.o_c,차은우,Music,Lifestyle,31600000.0,Indonesia,3100000.0,3600000.0,Music,MAPPED,instagram,december,2022
44,noahschnapp,Noah Schnapp,Cinema & Actors/actresses,,27400000.0,Brazil,3200000.0,4099999.9999999995,Entertainment,MAPPED,instagram,december,2022
45,antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,23700000.0,Argentina,2800000.0,4600000.0,Beauty&Fashion,MAPPED,instagram,december,2022
46,narendramodi,Narendra Modi,Finance & Economics,Business & Careers,71300000.0,India,1300000.0,1500000.0,Knowledge&Info,MAPPED,instagram,december,2022
47,georginagio,Georgina Rodríguez,Lifestyle,Fashion,40400000.0,India,1800000.0,2500000.0,Lifestyle,MAPPED,instagram,december,2022
48,oliviarodrigo,Olivia Rodrigo,Music,Cinema & Actors/actresses,28900000.0,United States,2800000.0,3500000.0,Music,MAPPED,instagram,december,2022
49,nasa,NASA,Science,Photography,86000000.0,India,931900.0,1100000.0,Tech&Gaming,MAPPED,instagram,december,2022
50,realmadrid,Real Madrid C.F.,Sports with a ball,,129400000.0,Spain,516600.0,720500.0,Sports,MAPPED,instagram,december,2022
