#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Маргарита Дьяченкова @margo_flury,18.7M,1.6%,Russia,Acting and Drama Celebrity,5.6M
2,Katy Vine @katy.vine,12.5M,-,Russia,Entertainment and Music,3.8M
3,Даня Бум @danilis_boom,12.2M,-,Russia,Entertainment and Music Animation and Cosplay,3.7M
4,КЛАВА КОКА 💃🏼 @klavacoca,10.3M,-,Russia,Entertainment and Music,3.1M
5,Настя Монахова @monakhovan_,8.9M,0.1%,Russia,family,2.7M
6,Близнецы Верзаковы @twins.verz.parodies,8.5M,-,Russia,Animation and Cosplay Entertainment and Music,2.6M
7,Ольга Бузова @buzova86,8.1M,-,Russia,Entertainment and Music Fashion and Accessories,2.4M
8,Steff @steff_happy,7.7M,-,Russia,,2.3M
9,Даша Боровик @borovikdashaa,7.1M,-,Russia,Entertainment and Music Product Showcase,2.1M
10,hahadetka @hahadetka,6.9M,-,Russia,Entertainment and Music Funny,2.1M
11,Макс и Катя Филаретовы @filaretiki,6.8M,-,Russia,Entertainment and Music Arts and Crafts,2M
12,ПАША ОСАДЧИЙ @ossadchiy,6.5M,-,Russia,Entertainment and Music,2M
13,SUPER HOUSE🦸 @superhouse_ru,6.4M,-,Russia,Home and Garden,1.9M
14,Dasha Chepizhko @dashachepizhko,5.9M,-,Russia,,1.8M
15,Елена Завидова @zavidova9,5.9M,-,Russia,Food Product Showcase,1.8M
16,Эльдар Джарахов @dzharakhov,5.8M,-,Russia,,1.7M
17,Anastasyia Prichinina @anastasyiaqueen,5.7M,-,Russia,Animation and Cosplay,1.7M
18,Sokolov Artyom @sokolov_artyom,5.4M,-,Russia,Arts and Crafts,1.6M
19,Hanna11 @hanna11_anna,4.7M,-,Russia,,1.4M
20,Hello It’s me SerJay @ser_jay,4.7M,0.4%,Russia,Entertainment and Music,1.4M
21,SLEEPY @sleepy.princess.8,4.6M,-,Russia,Entertainment and Music,1.4M
22,Никита Морозов Перфе @morozovq,4.6M,-,Russia,,1.4M
23,Туман Настя @nastyatyman,4.5M,-,Russia,,1.4M
24,Вова Блэк @vovablackk,4.5M,-,Russia,Fashion and Accessories,1.4M
25,CHERRY DADDY SHOW @cherry_daddy_show,4.4M,-,Russia,Entertainment and Music,1.3M
26,Антон @kireev_voice,4.4M,-,Russia,Entertainment and Music,1.3M
27,Кушать хочу @kushat_hochu,4.3M,-,Russia,Romance and Wedding Food,1.3M
28,PROSTO MODNO @exterlylove,4.3M,-,Russia,Entertainment and Music,1.3M
29,Апасный @aparyk,4.2M,0.1%,Russia,Entertainment and Music,1.3M
30,Eva Elfie @theevaelfie,4.1M,0.1%,Russia,Beauty and Self Care Fashion and Accessories,1.2M
31,Войнов Кирилл @voy.nov,4.1M,-,Russia,Funny,1.2M
32,Yason Cat 🐾 @yasoncat,3.9M,0.3%,Russia,,1.2M
33,zotov @zotov.13,3.9M,-,Russia,Entertainment and Music,1.2M
34,Зубарев Александр @zubarefff,3.9M,0.4%,Russia,,1.2M
35,Дворецкий Павел @dvoretsky11,3.7M,-,Russia,Entertainment and Music,1.1M
36,АНТОН ФИНИК 🔥 @anton_finik,3.6M,-,Russia,Entertainment and Music,1.1M
37,🤩NIKLY🤩 @___nikly___,3.5M,0.3%,Russia,Arts and Crafts Photography Funny,1.1M
38,Kiss Kate 🥨 @kisskate_blog,3.5M,-,Russia,Fashion and Accessories Beauty and Self Care Life and Society,1.1M
39,БЕЛКА 🐿️ @anny_myrrr_,3.5M,-,Russia,,1.1M
40,Troom Troom @troomtroom,3.4M,-,Russia,DIY and Life Hacks,1M
41,Мятная Фанта @_mint_fanta_,3.4M,-,Russia,,1M
42,ROB SY @robsyman,3.4M,-,Russia,,1M
43,Michael Galustyan @m_galustyan,3.4M,0.1%,Russia,Entertainment and Music Funny,1M
44,$opha Kuper @sophakuper,3.4M,-,Russia,Entertainment and Music,1M
45,ТИЛЭКС🧊🧊🧊 @tilexofficial,3.2M,-,Russia,,960K
46,Краснодарская Крошка 🌸 @kentang_bayi,3.2M,-,Russia,Entertainment and Music,960K
47,Это Питер Детка @janka_sega,3.2M,-,Russia,Entertainment and Music,960K
48,Л'Этуаль @letoile_official,3.2M,-,Russia,Beauty and Self Care,960K
49,Иван Ржевский @xolidayboy,3.2M,-,Russia,Entertainment and Music,960K
50,Камбаров Никита @kambar0v,3.1M,-,Russia,Food,930K
51,🇧 🇮 🇿 🇴 🇷 🇺 🇸 @bizorus,3.1M,-,Russia,Arts and Crafts,930K
52,Белладонна Милославская @belladonnamiloslavskaya,3M,-,Russia,,900K
53,"Привет, я Оля) @lelikolikk",2.9M,-,Russia,Entertainment and Music,870K
54,Потерянный Войсер @saigack,2.9M,-,Russia,Entertainment and Music,870K
