#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
64,Натали @sychevskaya,25.8K,4.08%,Russia,,7.7K
65,KᗩTYᗩ ᒍᑌᒍᗩ Катя Жужа @katyajuja555,25.7K,0.22%,Russia,Entertainment & Music,7.7K
66,Sanya Becker @sanyabecker,24.2K,0.66%,Russia,Entertainment & Music,7.3K
67,Леван Горозия @l_one_mars,23.9K,0.67%,Russia,Entertainment & Music,7.2K
68,Игорь Рыбаков @rybakov_igor,23.5K,0.34%,Russia,Education,7.1K
69,Dima Portnyagin @portnyagin,23.5K,-,Russia,Finance Travel,7.1K
70,K @kkkkkkkkkkkkkkkkkkkkkkk___kkkk,22.5K,-,Russia,,6.8K
71,Юля Годунова @juliagodunova,22.4K,2.67%,Russia,Entertainment & Music,6.7K
72,Денис Сальманов @salmanov_denis,22.2K,1%,Russia,,6.7K
73,@anivar77,22K,1.26%,Russia,Entertainment & Music,6.6K
74,Renata @renatalitvinovaofficiall,21.9K,-,Russia,,6.6K
75,KB @kseniiaburda,21.2K,0.35%,Russia,Fashion & Accessories Arts & Crafts,6.3K
76,SVETLANA FATEEVA/ПРОДЮСЕР/PR @ssfat,20.8K,-,Russia,Product Showcase Finance,6.3K
77,ANASTASIYA GOLOVINOVA @anastasiya_golovinova,20.6K,0.16%,Russia,Fashion & Accessories Product Showcase,6.2K
78,Лучшие видео 😉 @videorashka,20.4K,-,Russia,Funny,6.1K
79,Матч ТВ @matchtv_channel,20.3K,0.12%,Russia,Entertainment & Music,6.1K
80,"Эзотерик, астролог, таролог Елена Мун @moon_ezoterica",20.1K,0.1%,Russia,Oddly Satisfying,6K
81,Карина Аракелян @arrakelyaan,19.8K,0.76%,Russia,Arts & Crafts,5.9K
82,Лариса Суркова @larangsovet,19.7K,0.42%,Russia,Education,5.9K
83,#мотоТаня❤️🖤#motoTanya @tanechkaozolina,19.5K,0.43%,Russia,,5.9K
84,Victoria Portfolio @victoriaportfolio,19.3K,0.38%,Russia,Lifestyle,5.8K
85,Владимир Животов @vladimirzhivotov,19.2K,-,Russia,Health Wellness,5.7K
86,Интерьеры и Дизайны @berg.interior,19K,0.2%,Russia,Home & Garden,5.7K
87,Золотова Кристина - многодетная домохозяйка🧘‍♀️ @mama.na.kyhne,18.1K,0.04%,Russia,Food Education Parenting,5.4K
88,KRISTINA ORBAKAITE @orbakaite_k,18.1K,1.2%,Russia,Entertainment & Music,5.4K
89,EVA PILOIAN @evik006,18.1K,0.83%,Russia,Romance & Wedding Fashion & Accessories,5.4K
90,"Катя Конасова| Говорю то, о чём другие молчат @katyakonasova",18K,0.88%,Russia,Fashion & Accessories Beauty & Self Care,5.4K
91,Куруч Илья @kuruchbro,17.9K,0.1%,Russia,Oddly Satisfying,5.4K
92,ДІЄТОЛОГ-НУТРИЦІОЛОГ | МАРАФОН СХУДНЕННЯ | ПРАВИЛЬНЕ ХАРЧУВАННЯ @ulichka_naumenko,17.8K,0.4%,Russia,Fitness & Health,5.3K
93,TIM @timursorokin,16.9K,0.97%,Russia,Entertainment & Music,5.1K
94,Лера Туманова/певица/ сонграйтер/продюсер @leratumanova,16.8K,0.06%,Russia,Fashion & Accessories,5K
95,Veronika Stepanova @veronik20011,16.8K,0.76%,Russia,Education,5K
96,Вероника Бондаренко|секреты многодетной семьи @mama_bond007,16.7K,0.61%,Russia,family Upskilling,5K
97,VALERIYA @valeriya,16.3K,3.29%,Russia,Entertainment & Music,4.9K
98,Pavel Sheff | Hairstylist | Dubai @sheffpavelstylist,16.1K,0.35%,Russia,Beauty & Self Care,4.8K
99,FEDUKONERRR @fedukone,16.1K,2.66%,Russia,Entertainment & Music,4.8K
100,Наташа Идрисова @natasha.ffb,16.1K,0.17%,Russia,Finance,4.8K
