#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
55,Max Rodriguez @immaxrodriguez,289.5K,3.05%,Costa Rica,Arts and Crafts Music Piercing Actors,86.9K
56,María Teresa Rodríguez @tere_rodriguezr,288.4K,0.25%,Costa Rica,Fashion and Accessories Romance and Wedding Actors Modeling,86.5K
57,Fify @soy_fify,284.5K,6.55%,Costa Rica,,85.4K
58,Karla Gómez @karlagomezr,278.3K,0.69%,Costa Rica,Acting and Drama Celebrity Actors Celebrities,83.5K
59,Emilia Mora ✨ @emilia.mora,277.4K,0.05%,Costa Rica,Education,83.2K
60,Natalia Alvarez @natyalvarez_cr,269.2K,1.06%,Costa Rica,Entertainment and Music Actors Journalists,80.8K
61,Karina Porras Fuentes @karinaporrasoficial,268K,0.34%,Costa Rica,Fashion and Accessories Actors Coaching,80.4K
62,Aileth Vásquez @teacheraileth,266.7K,3.5%,Costa Rica,Education Arts and Crafts,80K
63,Messy Women @messywomenn,263.9K,115.81%,Costa Rica,,79.2K
64,Nella Chase @nellachase,261.5K,1.47%,Costa Rica,,78.4K
65,Celso Borges @celsobm88,257.3K,1.12%,Costa Rica,Sports Soccer,77.2K
66,Emily Fernanda Salas Campos @emii_salas30,247.2K,1.15%,Costa Rica,Fashion and Accessories Marketing and Advertising Actors Modeling,74.2K
67,Purp @purplemiami,245.3K,1.8%,Costa Rica,Entertainment and Music Outdoor Activity Music Singer,73.6K
68,Thais Alfaro Cordero @thaisalfarocordero,245K,0.4%,Costa Rica,Entertainment and Music Television Actors Journalists,73.5K
69,Kendall Waston @kendallwaston,242.9K,1.55%,Costa Rica,Actors,72.9K
70,Karina Campos @kariinacampos,237.7K,0.6%,Costa Rica,Fashion and Accessories Fitness and Health Actors Modeling,71.3K
71,meliduran @meliduran,234.6K,0.57%,Costa Rica,Actors Virtualization,70.4K
72,Sharon Segura @sharonsegurag,233.9K,0.87%,Costa Rica,Fashion and Accessories Actors Journalists Virtualization,70.2K
73,Agatha @molecularagatha,232.7K,2.83%,Costa Rica,Animation and Cosplay,69.8K
74,Cristian Gamboa @crisgam89,231.4K,2.25%,Costa Rica,Sports Actors,69.4K
75,Steph Gonzalez @stephgj94,231.3K,0.49%,Costa Rica,Business and Finance Dogs Actors,69.4K
76,Natalia Monge Quirós @natymonge,231.1K,0.2%,Costa Rica,Actors,69.3K
77,Veny West @venywest,228.8K,-,Costa Rica,Bikini Modeling Publishing,68.7K
78,Enrique Rivas Leyva 🌎✈️ @lamochiladekike,227.8K,0.57%,Costa Rica,Travel Actors Modeling,68.3K
79,Rigoberto Alfaro @gallicr,224.8K,1.01%,Costa Rica,Entertainment and Music Funny Music Actors,67.4K
80,Marilin Gamboa Gomez @marilingamboa,222K,0.18%,Costa Rica,Books Fitness Actors,66.6K
81,makeuppbyruthie @makeuppbyruthie,221.1K,1.31%,Costa Rica,Beauty and Self Care Arts and Crafts Parenting,66.3K
82,Paola Calderón Hütt TV @paolahutt,217.2K,0.46%,Costa Rica,,65.2K
83,Beloved Jackson @beloved_jackson,216.8K,0.7%,Costa Rica,,65K
84,Carlos Alvarado Quesada @carlosalvq,213.1K,0.61%,Costa Rica,Actors,63.9K
85,Yokasta Valle @yokavalle_oficial,212.5K,1.44%,Costa Rica,Sports,63.7K
86,Bismarck Méndez McD. @biss_el_patacon,208.5K,1.3%,Costa Rica,Entertainment and Music Fitness and Health,62.6K
87,Milena Gonzalez @milena08gonzalez,207.9K,2.85%,Costa Rica,Beauty and Self Care,62.4K
88,Debi Nova @debinova,206K,2.61%,Costa Rica,Entertainment and Music Marketing and Advertising Music Actors,61.8K
89,Pamela Cascante @pamelacascante,201.6K,8.25%,Costa Rica,Arts and Crafts Careers,60.5K
90,Edgar Silva @edgarsilvacr,200.3K,0.41%,Costa Rica,Life and Society Actors,60.1K
91,Alan Jesus Hidalgo @alanhid,198.6K,1.3%,Costa Rica,Finance Automotive Music Entrepreneur,59.6K
92,Kenneth Tencio OLY @kennethtencio,198.1K,3.68%,Costa Rica,Sports Auto and Vehicles Music Riders,59.4K
93,Steve Perez Munoz @steveperezm,195.2K,10.96%,Costa Rica,Home and Garden,58.5K
94,*️⃣ONLY ACCOUNT*️⃣ Girls can be both hot and smart 🔥 @carolinamoraoficial,193.1K,0.06%,Costa Rica,Travel Pets,57.9K
95,•• Pαu Chαvαrríα •• @pauchavarriaa,188.5K,5.03%,Costa Rica,,56.6K
96,ZORÁN @zoranvlog,187.1K,3.44%,Costa Rica,Entertainment and Music Music,56.1K
97,Kristina Manners @kristina.manners,185.7K,3.32%,Costa Rica,Beauty and Self Care,55.7K
98,DIEGO BRAVO @eldiegobravo,183.3K,0.76%,Costa Rica,Entertainment and Music Marketing and Advertising,55K
99,Masiel Rodríguez @massh_rodriguez,183.1K,1.7%,Costa Rica,Nature,54.9K
100,Chef Krasinski / Conmigo Ahorra Dinero 💸/ Recetas 🔥 @chef_sebastianjarakrasinski,180.5K,1.96%,Costa Rica,Food Food and Drink,54.2K
