rank,followers,er,country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
1,530K,-,Aland Islands,,159K,Islamic Center ,UCp5sPFqliDz5tdjF7tMdiUQ,youtube,aland-islands,False,2024,NA,NA
2,128K,-,Aland Islands,,38.4K,Frank Official ,UCfpNslKsy6tPRJcjcqhgY_Q,youtube,aland-islands,False,2024,NA,NA
3,68.5K,4.3%,Aland Islands,,20.6K,Mystic Media ,UCdGVD4QzNyUrfyX5oiZVtfQ,youtube,aland-islands,False,2024,NA,NA
4,16.5K,12.9%,Aland Islands,,5K,Erik did it ,UCKRSetvAFv7onZEL0DNV6JQ,youtube,aland-islands,False,2024,NA,NA
5,15.7K,-,Aland Islands,,4.7K,Menstrual Cup Bd ,UCIlbyddNbcWrq2Vl-trCMxA,youtube,aland-islands,False,2024,NA,NA
6,14.2K,0.3%,Aland Islands,,4.3K,misterpaj ,UC7T6Sb0V1SGF5oHv0fsePmA,youtube,aland-islands,False,2024,NA,NA
7,12.8K,-,Aland Islands,News,3.8K,Drag Motor2 ,UC_Cl3TOBb2PP6Is5-aWDmfA,youtube,aland-islands,False,2024,Knowledge&Info,MAPPED
8,9.5K,-,Aland Islands,,2.9K,Verbs describe us #culturacastildeviata #artgoeson ,UC10IxWOG3EiOQ_Zoq2XpOLg,youtube,aland-islands,False,2024,NA,NA
9,9.3K,-,Aland Islands,,2.8K,Ma chinery ,UC0DsjQ0YnzFycEyYWxbbCfg,youtube,aland-islands,False,2024,NA,NA
10,9K,0.1%,Aland Islands,,2.7K,FaithfulBerean ,UCJpxoRoemhS_FgSRXw30zrg,youtube,aland-islands,False,2024,NA,NA
11,8.1K,-,Aland Islands,,2.4K,قصة كل يوم ,UCUFKKwZH9Vlj3FWutvsthow,youtube,aland-islands,False,2024,NA,NA
12,5.4K,-,Aland Islands,,1.6K,Chentra Vuth ,UCKcvMBwScPyR6fNbg4jSw_g,youtube,aland-islands,False,2024,NA,NA
13,3.6K,-,Aland Islands,,1.1K,Eternal Energy ,UCu6-52n67n2XrpQm5AWDwAg,youtube,aland-islands,False,2024,NA,NA
14,2.2K,-,Aland Islands,,660,Miha Hilma ,UCHv4RPknnMheRoiJ9Q4BMsA,youtube,aland-islands,False,2024,NA,NA
15,2.1K,0.3%,Aland Islands,,639,اعرف وتثقف ,UCtCx16JYpV529Uj0m2Qawsg,youtube,aland-islands,False,2024,NA,NA
16,1.4K,30.8%,Aland Islands,,429,Rambo ,UCzUruRlxbkflQezHnjB-BUw,youtube,aland-islands,False,2024,NA,NA
17,1.3K,0.2%,Aland Islands,,384,Збс Сериалы ,UC_3yFhNgvH5cltGQaupMt6g,youtube,aland-islands,False,2024,NA,NA
18,1.2K,2.4%,Aland Islands,,357,Johan Tronestam ,UCDZmjfcKPfNyy0tnTDaJznw,youtube,aland-islands,False,2024,NA,NA
19,1.1K,26.5%,Aland Islands,,327,stacksmaestro ,UCkiGR7ao-u4mFetMLPgrD_w,youtube,aland-islands,False,2024,NA,NA
20,1.1K,-,Aland Islands,,324,morg ,UCIO6wlknzhuVXVCaASN94eQ,youtube,aland-islands,False,2024,NA,NA
