rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
48,Wiktoria Bochnak @kartonii,1.1M,15.73%,Poland,Fashion,315.4K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
49,Kinga Sawczuk ☀️ @kingasawczuk,1M,1.02%,Poland,Fashion and Accessories Modeling,314.3K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
50,HIGH League @highleague_official,1M,3.39%,Poland,,308.4K,instagram,poland,False,2024,NA,NA
51,𝕸𝖆𝖗𝖎𝖓𝖆 @marina_official,1M,1.42%,Poland,Entertainment and Music Moms Soccer,303.5K,instagram,poland,False,2024,Sports,MAPPED
52,𝐍𝐀𝐓𝐀𝐋𝐈𝐀 𝐓𝐎𝐌𝐂𝐙𝐘𝐊 @nathalie_tom,1M,5.11%,Poland,Fashion and Accessories Celebrity Modeling Celebrities,302.8K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
53,CLEO @cleo_don,1M,0.74%,Poland,Music,302.4K,instagram,poland,False,2024,Music,MAPPED
54,Anna @anna__michalczyk,1M,0.46%,Poland,Fashion and Accessories Photography Travel,301.7K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
55,Nicole Sochacki-Wójcicka @mamaginekolog,960.1K,1.75%,Poland,Fashion Moms,288K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
56,Fausti 💋 @faustynaf,946.6K,12.36%,Poland,Fashion and Accessories,284K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
57,Karolina Pisarek-Salla @karolina_pisarek,944.2K,1.51%,Poland,Fashion and Accessories Marketing and Advertising Fashion Model Creators & Celebrities,283.3K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
58,LILA JANOWSKA @lilajanowska,921.8K,6.06%,Poland,Beauty and Self Care Modeling,276.5K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
59,Donald Guerrier ⚜️♈️🇭🇹 🇵🇱 @dguerrier77,915.3K,0.21%,Poland,Entertainment and Music Entertainment Singer Modeling,274.6K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
60,Jessica Mercedes Kirschner @jemerced,909.8K,1.07%,Poland,Fashion and Accessories Arts and Crafts Home and Garden Lifestyle,272.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
61,Adrian Salamon @medusaoficjalnie,909.6K,2.69%,Poland,Entertainment and Music,272.9K,instagram,poland,False,2024,Music,MAPPED
62,Klaudia El Dursi @klaudia_el_dursi,904.8K,3.24%,Poland,Entertainment and Music Television,271.4K,instagram,poland,False,2024,Music,MAPPED
63,Krzysztof Piątek @pjona_9,902.8K,1.35%,Poland,Sports,270.8K,instagram,poland,False,2024,Sports,MAPPED
64,Sylwia Bomba @sylwiabomba,895.8K,4.46%,Poland,Photography Entertainment and Music Moms,268.7K,instagram,poland,False,2024,Music,MAPPED
65,sanah @sanahmusic,891.7K,5.41%,Poland,Entertainment and Music Music,267.5K,instagram,poland,False,2024,Music,MAPPED
66,Marta Rentel @martirenti,889.3K,2.49%,Poland,Fashion Health & Fitness Hair & Beauty Celebrities,266.8K,instagram,poland,False,2024,Sports,MAPPED
67,Maria Jeleniewska🌻 @jeleniewska,878.1K,2.4%,Poland,Entertainment and Music,263.4K,instagram,poland,False,2024,Music,MAPPED
68,Martyna Zbirańska🎀 @martyna.pysia,872.8K,1.94%,Poland,Fashion and Accessories News,261.8K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
69,Eva zu Beck | Raw Adventure @evazubeck,850.3K,1.23%,Poland,Travel Outdoor Activity Photography Adventure,255.1K,instagram,poland,False,2024,Sports,MAPPED
70,Dj SLAVIC🎧👱🏻‍♀️🖤🎵 @ola_ciupa,850K,3.54%,Poland,Entertainment and Music Artist Creators & Celebrities,255K,instagram,poland,False,2024,Music,MAPPED
71,Kubańczyk @kubanczyk.official,837.8K,5.3%,Poland,,251.3K,instagram,poland,False,2024,NA,NA
72,Patrycja Mołczanow⋆｡°✩ @patrycjamolczanow,826.2K,3.89%,Poland,Fashion,247.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
73,Wiedza Bezuzyteczna @bezuzytecznapl,826.1K,6.79%,Poland,News,247.8K,instagram,poland,False,2024,Knowledge&Info,MAPPED
74,Sandra A Kubicka @sandrakubicka,822.1K,2.2%,Poland,Fashion and Accessories Modeling Celebrities,246.6K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
75,Klaudia Halejcio @klaudiahalejcio,820.2K,2.06%,Poland,Acting and Drama Entertainment and Music,246.1K,instagram,poland,False,2024,Music,MAPPED
76,Filip Aleksander Chajzer @filip_chajzer,818K,0.36%,Poland,Fashion,245.4K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
77,WHITE 2115 @2115white,790.2K,13.29%,Poland,Music,237.1K,instagram,poland,False,2024,Music,MAPPED
78,Joanna Koroniewska - Dowbor @joannakoroniewska,772.1K,0.8%,Poland,Beauty and Self Care,231.6K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
79,PL ⬅️ @platinum__lifestyle_,744.9K,0.06%,Poland,Fashion Styling Lifestyle,223.5K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
