#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,category_unified,if_exist
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,,0
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,,0
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,,0
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.1%,United States,,33.3M,,0
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.4%,United States,Celebrity Pets,30M,Entertainment,1
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,-,United States,,29.2M,,0
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,,0
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,,0
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,,0
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,Info/Business,1
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.4%,South Korea,,24.6M,,0
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,,0
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,,0
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,,0
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.5%,,,20.6M,,0
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,Music,1
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,,0
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,,0
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,,0
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,,0
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,,0
