handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg
433,433,Sports with a ball,,50700000,Spain,274900,456700.0
____kimwoobin,김우빈,Lifestyle,,3600000,Indonesia,449400,592700.0
__youngbae__,TAEYANG,Music,,13400000,Indonesia,269600,304100.0
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,,18600000,Russia,164400,189400.0
_hakkencoser_,Hakken 八犬,Lifestyle,Photography,3500000,United States,525100,643000.0
_hakkencoser_,Hakken 八犬,Lifestyle,Photography,3500000,United States,525100,643000.0
_imyour_joy,Joy,Lifestyle,,14000000,Indonesia,1100000,1400000.0
_jeongjaehyun,Jaehyun,,,11900000,Indonesia,2100000,2600000.0
_mariahwasa,HWASA,,,8200000,Brazil,957200,1200000.0
_rl9,Robert Lewandowski,Sports with a ball,,26600000,Poland,381900,486000.0
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,5700000,South Korea,728000,903500.0
_shotaroo_,SHOTARO ショウタロウ,Lifestyle,Music,5300000,Indonesia,866900,1100000.0
_zyozyo,지효 (JIHYO),,,3600000,,1900000,
03_hu,박지후,Lifestyle,,4200000,South Korea,632200,775600.0
21savage,,Music,,13500000,United States,271200,475800.0
39saku_chan,Sakura Miyawaki,Cinema & Actors/actresses,,3500000,Indonesia,666200,822300.0
3gerardpique,Gerard Piqué,Sports with a ball,,20400000,Spain,453300,668800.0
5sos,5 Seconds of Summer,Music,,10100000,United States,154300,213700.0
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58200000,Indonesia,118500,154400.0
ab,Antonio Brown,Sports with a ball,,9600000,United States,131900,268000.0
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,18300000,India,274100,315800.0
achrafhakimi,Achraf Hakimi,Sports with a ball,,9800000,Morocco,359200,527200.0
actor_jg,"💓배우 이준기 LEE JOON GI , a.k.a Actor JG 李準基 💓",Cinema & Actors/actresses,,6400000,Indonesia,332200,389900.0
