handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
apollolikesblu,Apollolol,3000.0,702300.0,124500.0,9500.0,2100.0
areyoukiddingtv,Joey and Steven,4800000.0,4099999.9999999995,648800.0,2500.0,316.0
arfaytb,ARFAYTB,372700.0,894100.0,108700.0,456.0,7600.0
argentinidadnovelera,zoe,91800.0,1800000.0,160500.0,953.0,10800.0
arigameplays,AriGameplays,21500000.0,4900000.0,559000.0,2700.0,2300.0
artbydemarcusshawn,DemarcusShawn,6100000.0,1800000.0,273800.0,2700.0,2800.0
ashmonterooo,ash,8900.0,2600000.0,437200.0,6600.0,15400.0
aubreyandersonemmons,Heyyyy,1100000.0,1800000.0,320800.0,2000.0,1800.0
augustogimenez,AugustoGimenez,12500000.0,4400000.0,562800.0,1200.0,538.0
aureliehermansyahatta,Aurelie Hermansyah,7400000.0,1900000.0,190100.0,1400.0,1300.0
aurikatariina,ᴀᴜʀɪ ✨,7400000.0,8900000.0,1000000.0,4000.0,3700.0
aussiesdoingthings,Aussies Doing Things,2700000.0,1200000.0,170000.0,602.0,3600.0
aussiesdoingthings,Aussies Doing Things,2700000.0,1200000.0,170000.0,602.0,3600.0
austenalexander,Austen Alexander,321400.0,1300000.0,125700.0,1100.0,5200.0
avanireyes,Avani 👽,5100000.0,3500000.0,283600.0,1900.0,542.0
awildani13,NgebisOnline,77200.0,3700000.0,498400.0,5900.0,4400.0
ayaatanjali_,Aya😍,5900000.0,1600000.0,303100.0,1200.0,780.0
ayanakamachi,中町綾,1400000.0,3200000.0,206500.0,1000.0,1800.0
aybukeyim,Aybüke,1200000.0,3100000.0,162700.0,2100.0,500.0
aydenmekus,AYDEN MEKUS,10500000.0,3600000.0,275400.0,8600.0,1300.0
ayesebastien,Sebastien,7200000.0,2000000.0,396500.0,2100.0,1800.0
aylin.criss,Aylin,17300000.0,2600000.0,385700.0,2100.0,355.0
badbunny,Bad Bunny,22200000.0,48900000.0,9000000.0,58400.0,96700.0
baimwong,Baim Wong,8500000.0,2100000.0,130600.0,2000.0,1900.0
bankkamo46_,bankkamo46_🦖,1300000.0,1500000.0,204700.0,1100.0,3000.0
bara_ze,BARA Ze,2500000.0,1800000.0,118800.0,4300.0,2400.0
barbaracoura,Bárbara Coura,8800000.0,1500000.0,239700.0,1400.0,816.0
basementgang,Basement Gang,5400000.0,2900000.0,256200.0,1900.0,2700.0
bavariamedic,bavaria.medic,489700.0,7100000.0,553600.0,1600.0,3400.0
bayashi.tiktok,バヤシ🥑Bayashi,28400000.0,6200000.0,713100.0,3600.0,2000.0
baylenlevine,Baylen Levine,4200000.0,1200000.0,190300.0,2900.0,903.0
bdylanhollis,B. Dylan Hollis,8600000.0,3500000.0,792800.0,4100.0,10400.0
bear,blackbear,1200000.0,2800000.0,284400.0,1100.0,371.0
beberexha,BebeRexha,7300000.0,2000000.0,278000.0,3700.0,1800.0
bebopandbebe,BebopandBebe,750400.0,3300000.0,127200.0,7600.0,354.0
beca,Rebeca Barreto,23000000.0,1700000.0,219800.0,2200.0,1500.0
bellafoodie,Julie & Bella,4200000.0,2300000.0,271800.0,709.0,778.0
bellapoarch,Bella Poarch,90200000.0,6800000.0,921900.0,9500.0,1200.0
bellaretamosa,bella,5400000.0,2300000.0,394300.0,1100.0,709.0
ben_brainard,Benjamin Brainard,2600000.0,1300000.0,296900.0,1200.0,1100.0
benjikrol,Benji Krol,31100000.0,1600000.0,234700.0,1800.0,348.0
berusahalucu,Berusaha Lucu,694000.0,3900000.0,239800.0,954.0,940.0
bessan_esmail,بيسان اسماعيل - Bessan Ismail,10400000.0,2500000.0,175700.0,2600.0,1300.0
bhaviboi,bhaviboi,279700.0,3400000.0,346900.0,677.0,791.0
bi_131_bi,B.I,1400000.0,1100000.0,232100.0,2000.0,1300.0
bibidong07,nhện🕷️🕸️(tích xanh lá trời),5700.0,1900000.0,149800.0,6600.0,3900.0
biggieclean,Biggie Clean,4800000.0,3700000.0,364500.0,1400.0,456.0
bilal.hd91,Bilal Haddad | بلال الحدّاد,2100000.0,1500000.0,175100.0,3100.0,1200.0
bilalahy,Bilal,2000000.0,1100000.0,224500.0,1300.0,2100.0
billlnai,nai,8500000.0,1700000.0,403700.0,958.0,912.0
blacchyna,blacchyna,1100000.0,1700000.0,174200.0,3700.0,1100.0
blacksels,seul,59100.0,620800.0,208800.0,1800.0,5400.0
blakeb628,Blake,568400.0,1300000.0,161300.0,1100.0,10300.0
blondebrunetteredhead,Lamila Petschart,12000000.0,14200000.0,2600000.0,9800.0,7500.0
boberrybiscuits2,🤾🏼,59800.0,1500000.0,309900.0,1900.0,7500.0
booboothafoocloset,Boo Boo,1400000.0,1200000.0,314500.0,673.0,1300.0
borhen.kachbouri,borhen kachbouri,204100.0,3600000.0,331200.0,926.0,604.0
botakteras,Mike,2800000.0,2400000.0,207100.0,1700.0,529.0
boywithuke,boywithuke,4900000.0,1700000.0,209300.0,2200.0,691.0
brandonrogers,Brandon Rogers,1500000.0,2700000.0,497000.0,1700.0,4700.0
brandonspam_,Brandon Conner,8000000.0,1900000.0,380200.0,2100.0,348.0
brentrivera,Brent Rivera,43900000.0,2900000.0,540200.0,2200.0,321.0
bretmanrock,bretmanrock,14200000.0,3200000.0,617200.0,1700.0,1400.0
bricks.and.disorder,Ola 🤜🏾⚡️🤛🏻 Cullen,755300.0,2500000.0,448100.0,1200.0,666.0
briggi_bozzo,Briggitte Bozzo,22000000.0,3600000.0,335000.0,388.0,571.0
brilionaire,model kentang🍟,3900000.0,4099999.9999999995,369600.0,2100.0,7000.0
brittany_broski,Brittany,7000000.0,1300000.0,236700.0,1200.0,1400.0
brittikitty,Brittany & Lily,12600000.0,3700000.0,550900.0,2100.0,2000.0
brodywellmaker,Brody Wellmaker,21100000.0,6300000.0,853000.0,6100.0,16400.0
brookemonk_,Brooke Monk,20300000.0,2700000.0,466900.0,2200.0,1200.0
brunabarbieoficial,Bruna Barbie,18400000.0,2600000.0,168800.0,12000.0,1900.0
bstchld,BeastChild,4400000.0,2800000.0,362700.0,3100.0,5200.0
bukanstreet,Bukanstreet,1000000.0,1300000.0,171500.0,2400.0,1500.0
burnaboyofficial,Burna Boy,972800.0,1300000.0,164500.0,1800.0,2400.0
c4tluvr666,kennedy,2400000.0,2700000.0,558500.0,1400.0,1500.0
cakelegend,¡Aliya!,1300000.0,3500000.0,900600.0,14600.0,1100.0
caleb.green,Caleb Green,2900000.0,3100000.0,256399.99999999997,897.0,329.0
camimendes,camila mendes,2600000.0,6200000.0,971200.0,2800.0,777.0
canalzezao,Zezão,5900000.0,1900000.0,105000.0,1100.0,6000.0
caocuongvu,caocuongvu,3700000.0,3400000.0,395400.0,2200.0,797.0
captain.cream,CAPTAIN CREAM,4200000.0,2800000.0,345500.0,3200.0,4200.0
carebearkieran,Kieran,469100.0,1600000.0,354400.0,1200.0,2000.0
carlcunard,Carl Cunard,3000000.0,5000000.0,158300.0,1300.0,3100.0
carloandsarah,,3700000.0,2700000.0,240600.0,886.0,2300.0
carloscastroes,Carlos Castro,12000000.0,1600000.0,152300.0,400.0,3100.0
carloscastroes,Carlos Castro,12000000.0,1600000.0,152300.0,400.0,3100.0
carlosferiag,Carlos Feria,39200000.0,3300000.0,251900.0,2200.0,203.0
carolcastromx,Carol Castro,11300000.0,3100000.0,440700.0,1500.0,367.0
carolinarinconf,carolina,5500000.0,5900000.0,654100.0,3200.0,2900.0
carolvillanes,Carol Villanes,5500000.0,1900000.0,336400.0,6600.0,322.0
cassholland,Cassie Holland,1700000.0,2400000.0,390200.0,1400.0,943.0
cavalo.do_rock,daniel molo oficial,154400.0,1400000.0,258500.0,7000.0,17700.0
cbum,Chris Bumstead,2600000.0,1600000.0,215800.0,1100.0,2700.0
cciinnn,CiiN,6600000.0,2600000.0,296400.0,1700.0,588.0
cdiasss_,Carol Dias,2500000.0,1900000.0,497400.0,2300.0,977.0
cecia.loaiza,Cecia Loaiza ✨,6200000.0,1900000.0,277700.0,2000.0,388.0
cedriklorenzen,Cedrik Lorenzen,2500000.0,3000000.0,301100.0,4300.0,8100.0
cellat36,cellat36,8500000.0,1900000.0,171400.0,5400.0,1600.0
cemresolmaz,cemre solmaz,10300000.0,2400000.0,164300.0,6400.0,1600.0
cerenyaldz,Ceren Yaldız,9300000.0,1100000.0,97700.0,7900.0,1500.0
cerolzera,CEROL,4099999.9999999995,1700000.0,180400.0,2700.0,1300.0
cesarpantoja.n,Cesar Pantoja,13200000.0,3000000.0,489100.0,1300.0,311.0
cha.momilie,Roma,1200000.0,2000000.0,282100.0,2000.0,1100.0
championsleague,Champions League,14900000.0,3800000.0,551900.0,3400.0,2300.0
chamrent,chamrent,2100000.0,3700000.0,370900.0,1700.0,1300.0
chanelterrero,Chanel Terrero,404700.0,2300000.0,257000.0,1500.0,387.0
chang._.a,창하CHANGHA,22000000.0,1400000.0,286200.0,3600.0,1900.0
charlidamelio,charli d’amelio,142000000.0,16399999.999999998,1800000.0,27300.0,9500.0
charlieputh,Charlie Puth,17200000.0,1900000.0,234600.0,2600.0,772.0
charlymarieofc,CharlyMarieofc,966000.0,1300000.0,103100.0,1500.0,5400.0
charlyokei,Charlyokei,4099999.9999999995,3600000.0,343500.0,824.0,1100.0
chedurena,Che Durena,6800000.0,2000000.0,231500.0,1700.0,6800.0
cheekykiddo,alex🐤,4099999.9999999995,2200000.0,231800.0,489.0,1600.0
chicken_nugget_.0,ChickenNugget,862700.0,1600000.0,240600.0,1900.0,2800.0
chiefilomeno,C  H  I  E,2800000.0,2400000.0,179100.0,1500.0,596.0
chikakiku,🖤🙆🏻‍♀️✨🧚🏻,8500000.0,3300000.0,247100.0,2100.0,679.0
chimeconem.official,Chị Mẹ & Con Em,637600.0,3900000.0,247000.0,599.0,442.0
choega,BEDDY,5500000.0,2100000.0,348200.0,4100.0,2000.0
chourouk.model_official,Chourouk_model_official,4800000.0,3400000.0,147200.0,851.0,2400.0
chris,Chris Olsen,7700000.0,2100000.0,353300.0,897.0,895.0
chrisbrownofficial,chrisbrownofficial,6200000.0,2200000.0,306600.0,3600.0,3600.0
chrisdelia,ChrisDElia,2000000.0,1100000.0,163200.0,1100.0,3100.0
cicichania96,Cici Chania,2700000.0,2700000.0,188100.0,2300.0,1600.0
cizimmektebi,Çizim Mektebi,338100.0,6100000.0,239600.0,3300.0,6800.0
claragnds,Maria Clara Garcia,17100000.0,1800000.0,219200.0,2400.0,1200.0
clerishwijaya,Cherish Wijaya,494200.0,1800000.0,129900.0,2600.0,3600.0
clubgodzilla,Beatking,195200.0,3100000.0,618600.0,4600.0,1700.0
cocielo,Júlio Cocielo,4600000.0,3600000.0,438200.0,601.0,613.0
codsterss,codsterss,58000.0,13000000.0,951600.0,13200.0,136000.0
com.yamato0515,【コムドット】やまと,1800000.0,2300000.0,213700.0,2800.0,1500.0
com.yamato0515,【コムドット】やまと,1800000.0,2300000.0,213700.0,2800.0,1500.0
com.yuta0305,【コムドット】ゆうた,1200000.0,2200000.0,226700.0,2400.0,1900.0
com.yuta0305,【コムドット】ゆうた,1200000.0,2200000.0,226700.0,2400.0,1900.0
conangray,conangray,5700000.0,1400000.0,363200.0,3700.0,1800.0
coopernoriega,Cooper Noriega,2900000.0,4200000.0,287000.0,2500.0,1600.0
creationsross,RossCreations,2400000.0,3200000.0,402100.0,1200.0,4300.0
creative_explained,Armen Adamjan,4500000.0,1900000.0,184900.0,836.0,7800.0
criminalksa,كريمنال🦊,1100000.0,3000000.0,223600.0,1200.0,859.0
cris_soto.09,CRIS SOTO MTA,361400.0,2300000.0,126500.0,340.0,5200.0
crisp.ink,𝐑𝐚𝐜𝐡𝐚𝐞𝐥,620600.0,2200000.0,536900.0,4100.0,10600.0
cristobalsoria,Cristóbal Soria,701000.0,3000000.0,392800.0,6600.0,14500.0
cuongkido,Cường kido,1500000.0,3600000.0,221900.0,869.0,704.0
cvillaloboss,Carmen Villalobos,13000000.0,6000000.0,500600.0,2900.0,927.0
cznburak,cznburak,59500000.0,4300000.0,288900.0,1600.0,927.0
daffaxml,YouTube : Daffa AL,864500.0,1900000.0,190300.0,2800.0,1300.0
dafnnejm,dafnne ☻,2100000.0,1600000.0,354700.0,688.0,761.0
dal9_5,Dalé .,102600.0,1800000.0,204200.0,4300.0,10900.0
