rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
50,kazueeee @johnstankazue,324.9K,-,Singapore,Beauty and Self Care,97.5K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
51,Oliver Browns @oliverbrowns,317.1K,5.7%,Singapore,Life and Society,95.1K,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
52,Clea @cleapsg3,306.9K,0.3%,Singapore,Beauty and Self Care,92.1K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
53,🧚‍♀️SMILEYSBYMAI🧚‍♀️ @smileysbymai,296.7K,-,Singapore,Arts and Crafts,89K,tiktok,singapore,False,2024,Lifestyle,MAPPED
54,Dee ✨ @denisealexis,293.7K,-,Singapore,,88.1K,tiktok,singapore,False,2024,NA,NA
55,A.y.e N.a.n.d.a.r🇲🇲🇸🇬 @feelpost4,290.1K,-,Singapore,,87K,tiktok,singapore,False,2024,NA,NA
56,jj @drifterjjlin,288.6K,0.3%,Singapore,,86.6K,tiktok,singapore,False,2024,NA,NA
57,Pomelo Fashion @pomelofashion,285K,-,Singapore,Fashion and Accessories,85.5K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
58,Magic knife @magicknifey,281.8K,-,Singapore,,84.5K,tiktok,singapore,False,2024,NA,NA
59,♡ 𝔸𝕝𝕠𝕠𝕠 ♡ @thanhphuong_2,281.1K,-,Singapore,,84.3K,tiktok,singapore,False,2024,NA,NA
60,Nasreen @nasreentime,280.2K,1.4%,Singapore,,84.1K,tiktok,singapore,False,2024,NA,NA
61,yeoshi @yeoshinoya,277.9K,-,Singapore,Entertainment and Music,83.4K,tiktok,singapore,False,2024,Music,MAPPED
62,🖍 YAN YAN 🖍 @yanyan.tattoo,277.6K,0.1%,Singapore,,83.3K,tiktok,singapore,False,2024,NA,NA
63,Neter @netersg,275.5K,-,Singapore,,82.7K,tiktok,singapore,False,2024,NA,NA
64,abbie 🕷 @a.abbieee_,274.2K,-,Singapore,,82.3K,tiktok,singapore,False,2024,NA,NA
65,gyoza🥟 @gyoza.dd,273.4K,0.2%,Singapore,,82K,tiktok,singapore,False,2024,NA,NA
66,мιиιмι_нαgтт @missladdeki_,270.4K,-,Singapore,Fitness and Health,81.1K,tiktok,singapore,False,2024,Sports,MAPPED
67,Shei @ckshei,267.6K,-,Singapore,,80.3K,tiktok,singapore,False,2024,NA,NA
68,🥺👊 @doreamon808...28,263.5K,-,Singapore,,79.1K,tiktok,singapore,False,2024,NA,NA
69,Jamie Chua @iamjamiechua,262.1K,-,Singapore,,78.6K,tiktok,singapore,False,2024,NA,NA
70,Rus @redrinox,262K,0.2%,Singapore,,78.6K,tiktok,singapore,False,2024,NA,NA
71,aliciasannn ✨ @aliciasannn,261.4K,-,Singapore,Travel,78.4K,tiktok,singapore,False,2024,Lifestyle,MAPPED
72,kueylapis jewellery 🇸🇬 @kueylapisjewellery,261.3K,-,Singapore,Beauty,78.4K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
73,Agricultural tractor ship @tractorship,261.1K,-,Singapore,,78.3K,tiktok,singapore,False,2024,NA,NA
74,olderinjune🇹🇭 @olderinjune,254.4K,-,Singapore,,76.3K,tiktok,singapore,False,2024,NA,NA
75,Melvin Tseng @melvin.tseng,250.3K,0.4%,Singapore,Beauty and Self Care Arts and Crafts,75.1K,tiktok,singapore,False,2024,Beauty&Fashion,MAPPED
76,Ahmad @cuzimahmad,249.8K,0.1%,Singapore,Travel,74.9K,tiktok,singapore,False,2024,Lifestyle,MAPPED
77,Allison Wolf @wolvesandwaterfalls,249.5K,-,Singapore,Travel Education,74.9K,tiktok,singapore,False,2024,Knowledge&Info,MAPPED
