rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
52,GTA @lamar.street,364.8K,-,Uruguay,,109.4K,tiktok,uruguay,False,2024,NA,NA
53,💣💥MiriamPintosOfficial🙌 @miritokofficial,352.1K,-,Uruguay,,105.6K,tiktok,uruguay,False,2024,NA,NA
54,Constanza Hartman @connie_hartman,333.4K,-,Uruguay,,100K,tiktok,uruguay,False,2024,NA,NA
55,🖇 @strangerferv,327.7K,0.2%,Uruguay,,98.3K,tiktok,uruguay,False,2024,NA,NA
56,Joha Lefebre @johalefebre,322.8K,-,Uruguay,,96.8K,tiktok,uruguay,False,2024,NA,NA
57,SASHA BODY JEWELRY @sashajewelry_,310.9K,-,Uruguay,,93.3K,tiktok,uruguay,False,2024,NA,NA
58,R a K 0 0 n @mapaking,309.1K,0.1%,Uruguay,,92.7K,tiktok,uruguay,False,2024,NA,NA
59,Emilio Meneses Costa @emiliomenesescosta,296K,-,Uruguay,Acting and Drama,88.8K,tiktok,uruguay,False,2024,Entertainment,MAPPED
60,Erisandra Viera @nurse_eri,288.4K,-,Uruguay,,86.5K,tiktok,uruguay,False,2024,NA,NA
61,@karinBarreiro @karinbarreiro,288.1K,-,Uruguay,,86.4K,tiktok,uruguay,False,2024,NA,NA
62,abogada.cristinamelo @abogada.cristinamelo,286.8K,0.2%,Uruguay,Education,86K,tiktok,uruguay,False,2024,Knowledge&Info,MAPPED
63,Agus Díaz @diazzz_agus,284.8K,-,Uruguay,,85.4K,tiktok,uruguay,False,2024,NA,NA
64,DAMI @daamiiiii,282.5K,0.1%,Uruguay,,84.8K,tiktok,uruguay,False,2024,NA,NA
65,Carlos Cruz López @ycarloscruz,279.7K,-,Uruguay,,83.9K,tiktok,uruguay,False,2024,NA,NA
66,daku @dakuboi2.0,277.7K,-,Uruguay,,83.3K,tiktok,uruguay,False,2024,NA,NA
67,Kevin Castro @kevcastro77,276.4K,-,Uruguay,,82.9K,tiktok,uruguay,False,2024,NA,NA
68,andresmartucho07 @andresmartucho07,275.3K,0.1%,Uruguay,Travel,82.6K,tiktok,uruguay,False,2024,Lifestyle,MAPPED
69,RØJĘL @eze.rojel,275K,-,Uruguay,,82.5K,tiktok,uruguay,False,2024,NA,NA
70,belugomez.18 @belugomez.18,271.8K,-,Uruguay,,81.5K,tiktok,uruguay,False,2024,NA,NA
71,Kil @killuaaa1219,267.4K,11.7%,Uruguay,,80.2K,tiktok,uruguay,False,2024,NA,NA
72,Leandro Sosa @leandrososa_uy_fit,266.9K,-,Uruguay,Food Travel,80.1K,tiktok,uruguay,False,2024,Lifestyle,MAPPED
73,Valee Lopez @valee.lf,266.6K,-,Uruguay,,80K,tiktok,uruguay,False,2024,NA,NA
74,seba biker23 @seba_biker23,259.7K,-,Uruguay,,77.9K,tiktok,uruguay,False,2024,NA,NA
75,Toto Lima😜 @totoouy,257.9K,-,Uruguay,,77.4K,tiktok,uruguay,False,2024,NA,NA
76,Santiago Vieira @vieira.santiago_,256.4K,0.2%,Uruguay,,76.9K,tiktok,uruguay,False,2024,NA,NA
77,Delfina @delchirigliano,256.4K,-,Uruguay,Entertainment and Music Funny,76.9K,tiktok,uruguay,False,2024,Music,MAPPED
78,✨Chiquita y veloz✨ @laliiii_ecenas_,256.1K,3.3%,Uruguay,,76.8K,tiktok,uruguay,False,2024,NA,NA
79,Renata_la_tiktoker_influencer @renata_tiktoker1..3,255.4K,0.3%,Uruguay,,76.6K,tiktok,uruguay,False,2024,NA,NA
80,Maicol pacheco @_maicc,241.3K,-,Uruguay,,72.4K,tiktok,uruguay,False,2024,NA,NA
81,Pirii @zoe_tuloka12,240.1K,0.9%,Uruguay,,72K,tiktok,uruguay,False,2024,NA,NA
82,Camilo.balseiro @camilo.balseiro,239.6K,-,Uruguay,,71.9K,tiktok,uruguay,False,2024,NA,NA
83,Milda @camilda_,236.7K,-,Uruguay,Animation and Cosplay Entertainment and Music Funny Life and Society,71K,tiktok,uruguay,False,2024,Knowledge&Info,MAPPED
84,Federico_dobleaa🔥 @federico_dobleaaa,236K,-,Uruguay,,70.8K,tiktok,uruguay,False,2024,NA,NA
85,UyBroo @uybroo,232K,-,Uruguay,,69.6K,tiktok,uruguay,False,2024,NA,NA
86,Md_pepeee2 @pepeee22,231.3K,-,Uruguay,,69.4K,tiktok,uruguay,False,2024,NA,NA
87,Mi Cocina Express @micocina.express,228.5K,-,Uruguay,Food and Drink,68.6K,tiktok,uruguay,False,2024,Lifestyle,MAPPED
88,las estrellas escenas 🌟 @lasestrellas_escenas,220.8K,-,Uruguay,,66.2K,tiktok,uruguay,False,2024,NA,NA
89,Franco Lombardo @francolombardo,219.7K,0.1%,Uruguay,,65.9K,tiktok,uruguay,False,2024,NA,NA
90,Valentina Molinari @valentinamolinar0,218.1K,-,Uruguay,family,65.4K,tiktok,uruguay,False,2024,Lifestyle,MAPPED
91,El_Benja_ @el_benja..2,215.6K,21.4%,Uruguay,,64.7K,tiktok,uruguay,False,2024,NA,NA
92,Gustavo Braida @izkgustavo,214.5K,0.1%,Uruguay,,64.4K,tiktok,uruguay,False,2024,NA,NA
93,Sol Caprario ❤️ @solcaprari0,213.5K,-,Uruguay,,64.1K,tiktok,uruguay,False,2024,NA,NA
94,Fede Anto Puñales 🏳️‍⚧️ @fedepunales_,212.4K,0.4%,Uruguay,Entertainment and Music,63.7K,tiktok,uruguay,False,2024,Music,MAPPED
95,Bruno y Lalo @lalooybruno,210.7K,0.1%,Uruguay,,63.2K,tiktok,uruguay,False,2024,NA,NA
96,Juan Carlos Valls. @juancarlosvalls,209.4K,-,Uruguay,,62.8K,tiktok,uruguay,False,2024,NA,NA
97,Silvi@ 🏳️‍🌈 @silvia_camachoo,202K,-,Uruguay,,60.6K,tiktok,uruguay,False,2024,NA,NA
98,Alex Rivero @alex_rivero_08,201.2K,-,Uruguay,,60.4K,tiktok,uruguay,False,2024,NA,NA
99,SOYTINCA @soytinca,200.3K,0.1%,Uruguay,,60.1K,tiktok,uruguay,False,2024,NA,NA
100,Titi🌸 @by.titi,199.7K,-,Uruguay,,59.9K,tiktok,uruguay,False,2024,NA,NA
