,year,platform,n_influencers,median_followers,mean_followers,median_er_pct,mean_er_pct,missing_er_pct
0,2022,Instagram,5072,14600000.0,26191403.78548896,3.344562231247014,6.016158882758706,16
1,2022,TikTok,5007,3900000.0,7426750.629119233,7.622916666666667,55.743424458634415,0
2,2022,YouTube,5071,14000000.0,18307158.35140998,,,5071
3,2024,Instagram,5833,1900000.0,6598888.077649889,1.07,2.3267552544728156,76
4,2024,TikTok,5781,848100.0,2132377.4618220115,0.2,1.135127674258109,4332
5,2024,YouTube,5664,1800000.0,4092828.0070859166,0.5,1.7168968692449356,3492
6,2026,YouTube,583,17600000.0,24909980.598627787,0.016717613046044865,0.1494408869161948,57
