,country,count
0,Colombia,300
1,Bolivia,300
2,Switzerland,300
3,Dominican Republic,300
4,Singapore,300
5,Pakistan,300
6,Chile,300
7,Lebanon,300
8,Peru,300
9,Philippines,300
