year,platform,count,mean,std,min,25%,50%,75%,90%,99%,max
2022,Instagram,5072.0,26191404.0,43938857.0,1900000.0,8900000.0,14600000.0,26400000.0,49000000.0,255661000.0,579800000.0
2022,TikTok,5007.0,7426751.0,11474144.0,2100.0,1500000.0,3900000.0,8800000.0,17240000.0,52204000.0,153100000.0
2022,YouTube,5071.0,18307158.0,14322050.0,9200000.0,11300000.0,14000000.0,19600000.0,30500000.0,79740000.0,229500000.0
2024,Instagram,5821.0,6598888.0,22837460.0,86800.0,643000.0,1900000.0,5000000.0,13200000.0,70080000.0,625100000.0
2024,TikTok,5697.0,2132377.0,5777143.0,1100.0,441300.0,848100.0,1500000.0,3800000.0,26712000.0,161900000.0
2024,YouTube,5645.0,4092828.0,8551140.0,8600.0,506000.0,1800000.0,4400000.0,9000000.0,40224000.0,234000000.0
2026,YouTube,583.0,24909981.0,30046082.0,2.0,13450000.0,17600000.0,25900000.0,44920000.0,113800000.0,474000000.0
