#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
40,Kerwin Rae @kerwinrae,1.2M,0.2%,Australia,Education Upskilling,360K
41,Australian Open @ausopen,1.2M,-,Australia,,360K
42,Natasha • Nómada Digital @holasoy.natasha,1.2M,1%,Australia,,360K
43,TheFauxChanel Makeup | Cat @thefauxchanel,1.2M,-,Australia,Beauty and Self Care,360K
44,Aussiebattlerz @aussiebattlerz,1.2M,-,Australia,Entertainment and Music,360K
45,MorallyGrey @morallygreyismyfavcolor,1.2M,-,Australia,Entertainment and Music,360K
46,Ryan Jon @ryanjondunn,1.1M,0.1%,Australia,,330K
47,Bondi Rescue @bondirescue,1.1M,-,Australia,Outdoor Activity,330K
48,Herberttwins @herberttwins,1.1M,-,Australia,Fashion and Accessories Fitness and Health,330K
49,LifeSpaceUS @lifespacestudio,1M,-,Australia,,300K
50,lucashayde @lucashayde,999.3K,-,Australia,Fashion and Accessories,299.8K
51,DRIVENZO @drivenzo,993.6K,-,Australia,Auto and Vehicles,298.1K
52,SMG4 @smg4official,987.1K,0.5%,Australia,,296.1K
53,Falak Zaman your tiktok girl✅ @tanzia.zaman,981.9K,-,Australia,,294.6K
54,Megan Anderson @megana_mma,965.6K,-,Australia,Entertainment and Music,289.7K
55,Stephanie Sanzo @stephaniesanzo,956.2K,-,Australia,Fitness and Health,286.9K
56,V.C @vibeconnect,956.1K,-,Australia,Entertainment and Music,286.8K
57,Rebecca Alami @rebecca_alami,948.2K,-,Australia,,284.5K
58,Madi @m.tothea.d.i,936K,1.2%,Australia,Pets,280.8K
59,✨ aash.pole ✨ @aash.pole,918.2K,-,Australia,,275.5K
60,Maisy @maisy_five,912.3K,0.1%,Australia,,273.7K
61,Celeste Barber @celestebarber,912.2K,0.9%,Australia,Celebrity,273.7K
62,Susan barratt @sjb61susan,910.2K,-,Australia,Animals,273.1K
63,SYDNEY ADAMS @sydneymadams__,899.7K,-,Australia,Fitness and Health Food,269.9K
64,Yeva Berez @yevaberez,897.4K,-,Australia,,269.2K
65,Beaglebasil @beaglebasil,882K,-,Australia,Pets,264.6K
66,sereinsilvers @sereinsilvers,880.4K,0.1%,Australia,Animation and Cosplay,264.1K
67,Elvis Roberts @elvisroberts3,864.7K,-,Australia,Entertainment and Music,259.4K
68,Skye Sutton @skyesutton12,864.1K,-,Australia,,259.2K
69,Kate Murdock @itskatematee,861.7K,-,Australia,Fashion and Accessories Business and Finance,258.5K
70,wobblyweezie @wobblyweezie,854.9K,-,Australia,Pets,256.5K
71,Liv Kaplan @liv.kaplan,852.2K,-,Australia,,255.7K
72,TicTatts @tictatts,851.6K,-,Australia,,255.5K
73,Chantel Mila | Home Tips @mama_mila_,851K,-,Australia,Home and Garden DIY and Life Hacks,255.3K
74,sydney worgan @itssydneyworgan,846.7K,-,Australia,Food and Drink Education,254K
75,Sohaniisrat @sohani_israt_tamanna,846.6K,-,Australia,,254K
76,Laura @zaruchinator,842.4K,-,Australia,Entertainment and Music Funny,252.7K
77,Arvin Jay @_arvinsroom,829.8K,0.8%,Australia,Fashion and Accessories,248.9K
78,Jed Hockin @jedhockin,825K,0.6%,Australia,,247.5K
79,𝖇𝖗𝖔𝖉𝖎𝖊 𝖒𝖆𝖓𝖓 @brodiemxnn,817.2K,-,Australia,Entertainment and Music Fitness and Health,245.2K
80,Kiarazara @kiarazaraaa,812K,-,Australia,Entertainment and Music,243.6K
81,Leo @leo69555,805.8K,0.2%,Australia,Pets,241.7K
82,Olivia Vivian @oliviavivian,802.5K,-,Australia,Celebrity Sports,240.8K
83,Royston G King @roystongking,796.4K,-,Australia,,238.9K
84,maha @mxtvenus,792.3K,-,Australia,,237.7K
85,zaira @zairayzabelleee,791.5K,0.1%,Australia,Entertainment and Music,237.5K
86,saxcy @saxcy,788.9K,0.3%,Australia,Games Entertainment and Music Video Gaming,236.7K
87,Alex the Lion 🦁 @alexrbsn,788.6K,0.1%,Australia,Celebrity Sports,236.6K
88,Toy Unboxings @pollyelectro,785.4K,-,Australia,Product Showcase,235.6K
89,🇦🇺 Editor @wizplugfc,777.9K,-,Australia,,233.4K
90,Peter @malleeboy3490,771.8K,-,Australia,Nature Travel,231.5K
91,Scout The German Shepherd🐕 @scout_the_gsd,771.3K,-,Australia,Animals Pets,231.4K
92,Sarah Hill @hillside_art_studio,757K,-,Australia,Art,227.1K
93,sam.b.perry @sam.b.perry,751.7K,-,Australia,Beauty and Self Care,225.5K
94,Luke Damant @lukedamant,747.4K,-,Australia,Travel,224.2K
95,The brother boys @the_brotherboys,730.7K,0.1%,Australia,,219.2K
96,Nuran 💚 @official.nurann,728K,-,Australia,Entertainment and Music,218.4K
97,Loveleen Vats @loveleenvats,727.9K,-,Australia,,218.4K
98,💕Jenna with the PINK💕 @jennawiththepink,723.8K,-,Australia,,217.1K
99,Learn English Every Day @learnenglisheveryday,721.9K,-,Australia,Education,216.6K
100,Scout & Frankie @scout.and.frankie,717.8K,-,Australia,Animals Pets,215.3K
