rank,name_youtube,handle_youtube,audience_country,followers,category_1,views_avg,likes_avg,comments_avg,category_2,category_1_unified,category_2_unified,category_primary,if_exist
148,WORLDSTARHIPHOP,WorldStarHipHopTV,United States,26100000,Music & Dance,34600,1100,86,,Music,,Music,1
149,toycantando,toycantando,,25900000,Music & Dance,99700,481,0,Animation,Music,Entertainment,Music,1
150,VanossGaming,VanossGaming,United States,25800000,Animation,1000000,45600,647,Video games,Entertainment,Tech/Gaming,Entertainment,1
151,1MILLION Dance Studio,1MILLION Dance Studio,India,25700000,,48600,2500,36,,,,,0
152,Renato Garcia,xSkyHeLLxx,Brazil,25700000,Movies,1100000,97900,1500,Animation,Entertainment,Entertainment,Entertainment,1
153,LosPolinesios,LosPolinesios,Mexico,25700000,Music & Dance,1700000,62000,2200,Movies,Music,Entertainment,Music,1
154,JYP Entertainment,jypentertainment,United States,25500000,Music & Dance,219800,24100,1300,,Music,,Music,1
155,BB Ki Vines,BB Ki Vines,India,25500000,Movies,6700000,870800,73300,Humor,Entertainment,Entertainment,Entertainment,1
156,Lucas and Marcus,TwiNboTzVids,United States,25500000,Animation,1000000,25700,1200,Humor,Entertainment,Entertainment,Entertainment,1
157,Nick Jr.,nickelodeonjuniorfr,,25400000,Animation,76300,241,0,Toys,Entertainment,,Entertainment,1
158,Smosh,smosh,United States,25100000,Movies,213100,12600,437,Humor,Entertainment,Entertainment,Entertainment,1
159,Beyoncé,beyonce,United States,25100000,Music & Dance,5300000,221400,12500,,Music,,Music,1
160,Jess No Limit,Jess No Limit,Indonesia,24900000,Movies,319900,11700,897,Animation,Entertainment,Entertainment,Entertainment,1
161,Goldmines Dishoom,Goldmines Dishoom,,24800000,,28300,327,0,,,,,0
162,WatchMojo.com,WatchMojo,United States,24700000,Movies,92300,2500,310,,Entertainment,,Entertainment,1
163,Nicki Minaj,NickiMinajTelevision,United States,24700000,Music & Dance,350500,32700,2400,,Music,,Music,1
164,Sandeep Maheshwari,Sandeep Maheshwari,India,24700000,Daily vlogs,257100,28000,172,,Lifestyle,,Lifestyle,1
165,Masha y el Oso,Masha y el Oso,,24500000,Animation,562900,3500,0,,Entertainment,,Entertainment,1
166,Netflix,NewOnNetflix,United States,24500000,Movies,198900,3400,321,Animation,Entertainment,Entertainment,Entertainment,1
