rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
246,jbalvin,J Balvin,52800000,Mexico,188500,247500,,,,,,0
247,jairmessiasbolsonaro,Jair M. Bolsonaro,21300000,Brazil,452800,628900,Finance & Economics,Business & Careers,Info/Business,Info/Business,Info/Business,1
248,britneyspears,Britney Spears,42200000,United States,222700,309700,,,,,,0
249,janhvikapoor,Janhvi Kapoor,18500000,India,581100,693300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
250,tinistoessel,LaTripleT,18600000,Argentina,514800,690500,,,,,,0
251,lukamodric10,Luka Modric,24800000,Spain,349000,511300,Sports with a ball,,Sports,,Sports,1
252,anushkasen0408,Anushka Sen,38600000,India,282700,330300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
253,min9yu_k,김민규,7600000,Indonesia,1400000,1700000,,,,,,0
254,keerthysureshofficial,Keerthy Suresh,13600000,India,805000,921100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
255,samoylovaoxana,Samoylova Oxana,15300000,Russia,603400,818100,Family,Lifestyle,Lifestyle,Lifestyle,Lifestyle,1
256,juandediospantoja,JD PANTOJA 🇲🇽,22600000,Mexico,479400,547600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
257,sidmalhotra,Sidharth Malhotra,20600000,India,478200,595500,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
258,avneetkaur_13,Avneet Kaur Official,32500000,India,308500,375800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
259,garethbale11,Gareth Bale,48100000,Spain,160600,251800,Sports with a ball,,Sports,,Sports,1
260,yellow_3to3,REN JUN,6300000,Indonesia,1600000,2000000,Lifestyle,,Lifestyle,,Lifestyle,1
261,lilyjcollins,Lily Collins,26900000,United States,300900,448000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
262,luissuarez9,Luis Suárez,44300000,Brazil,179900,269700,Sports with a ball,,Sports,,Sports,1
263,realbarbarapalvin,Barbara Palvin,18200000,Russia,483400,652300,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
264,johnnyjsuh,Johnny Suh,8800000,Indonesia,1000000,1400000,Lifestyle,,Lifestyle,,Lifestyle,1
265,lizgillz,Elizabeth Gillies,14100000,Mexico,578900,838100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
266,fedez,FEDEZ,14400000,Italy,593000,820400,,,,,,0
267,keniaos,Kenia Os,13900000,Mexico,655100,851800,,,,,,0
268,liluzivert,Lil Uzi Vert,16400000,United States,392800,722900,,,,,,0
269,_zyozyo,JIHYO,6700000,Indonesia,1400000,1800000,Lifestyle,,Lifestyle,,Lifestyle,1
270,heybiblee,이성경,14500000,Indonesia,598200,807600,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
271,thehughjackman,,30500000,United States,338100,384400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
272,marvel,Marvel Entertainment,66400000,United States,148000,175500,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
273,nicki.nicole,,12500000,Argentina,630000,931600,,,,,,0
274,yoona__lim,,13900000,Indonesia,700100,837600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
275,ananyapanday,Ananya 💛💫,23700000,India,419700,490200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
276,pubity,Pubity,31800000,United States,249300,364500,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
277,mr_faisu_07,FAISAL SHAIKH,28300000,India,322900,411800,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
278,marshmello,marshmello,29500000,United States,267100,385900,,,,,,0
279,tigerjackieshroff,Tiger Shroff,35600000,India,263700,321300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
280,_imyour_joy,Joy,14200000,Indonesia,670100,801000,Lifestyle,,Lifestyle,,Lifestyle,1
281,iansomerhalder,iansomerhalder,23400000,United States,326200,487600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
282,trippieredd,555,13100000,United States,443100,868900,,,,,,0
283,sachintendulkar,Sachin Tendulkar,35600000,India,264200,316700,Sports with a ball,Lifestyle,Sports,Lifestyle,Sports,1
284,perrieedwards,Perrie Edwards 🖤,15900000,Brazil,456600,712500,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
285,ashishchanchlani,Ashish Chanchlani,14600000,India,621800,760300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
286,iammichelemorroneofficial,Michele Morrone,15300000,Brazil,498400,714900,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
287,dannapaola,Danna Paola,34800000,Mexico,216100,313300,,,,,,0
288,bhuvan.bam22,Bhuvan Bam,14800000,India,594900,736500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
289,cbum,Chris Bumstead,10100000,United States,646300,1100000,Fitness & Gym,,Sports,,Sports,1
290,psg,Paris Saint-Germain,62400000,Brazil,103200,172200,Sports with a ball,,Sports,,Sports,1
291,mina_sr_my,미나 (MINA),6600000,Indonesia,1400000,1700000,,,,,,0
292,marvelstudios,Marvel Studios,38300000,India,249500,279600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
293,tenlee_1001,TEN_+•10,9900000,Indonesia,860900,1100000,,,,,,0
294,mirella,BAD MI ⚡️ MIRELLA,27000000,Brazil,188100,396400,,,,,,0
295,greeicy,Greeicy,21400000,Colombia,371700,498800,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
296,winmetawin,Win Metawin O.,14100000,Philippines,673600,761700,Lifestyle,,Lifestyle,,Lifestyle,1
297,anuel,“REAL HASTA LA MUERTE”,29400000,Spain,239800,366500,,,,,,0
298,mont.pantoja,MONT,12400000,Mexico,717700,853800,,,,,,0
299,alidaei,Ali Daei,9100000,Iran,722800,1200000,Sports with a ball,,Sports,,Sports,1
300,jheneaiko,Jhené Aiko Efuru Chilombo 🔮,15000000,United States,399500,700700,,,,,,0
301,urvashirautela,Urvashi Rautela,54200000,India,164400,194400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
302,imsebastianstan,Sebastian Stan,9400000,United States,941300,1100000,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
303,larasilva,Lara Silva ⚠️,17400000,Brazil,386600,596800,Shows,Adult content,Entertainment,,Entertainment,1
304,brunamarquezine,Bruna Marquezine,43100000,Brazil,139500,242000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
305,manurios,Manu Rios,11000000,Mexico,553300,933000,Shows,,Entertainment,,Entertainment,1
306,nct127,NCT 127 Official Instagram,14300000,Indonesia,582800,720400,,,,,,0
307,ross_lynch,Ross Shor Lynch,10900000,United States,468500,935600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
308,asaprocky,GRIM,15000000,United States,405600,678200,,,,,,0
309,maya_hawke,Maya Hawke,10100000,United States,723100,1000000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
310,nusr_et,Nusr_et#Saltbae,47700000,Turkey,144600,212800,Food & Cooking,,Lifestyle,,Lifestyle,1
311,neslihanatagul,Neslihan Atagül Doğulu,13500000,Turkey,608900,776600,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
312,arigameplays,ARIGAMEPLAYS,11500000,Mexico,727800,873800,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
313,hi_sseulgi,슬기 Seulgi,12600000,Indonesia,634200,794900,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
314,whinderssonnunes,Whindersson Nunes,58800000,Brazil,111200,171900,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
315,bellathorne,BELLA,25400000,United States,232300,389700,,,,,,0
316,nct_dream,NCT DREAM OFFICIAL,10400000,Indonesia,845000,944000,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
317,burakozcivit,Burak Özçivit,22000000,Turkey,371500,451100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
318,luisasonza,LUÍSA SONZA,30300000,Brazil,205600,325900,Lifestyle,,Lifestyle,,Lifestyle,1
319,xeesoxee,한소희,9700000,Indonesia,784200,1000000,Lifestyle,,Lifestyle,,Lifestyle,1
320,wwiinn_7,WINWIN,7400000,Indonesia,1100000,1300000,,,,,,0
321,paulolondra,Paulo londra,13700000,Argentina,451000,704900,,,,,,0
322,sofiacarson,Sofia Carson,20300000,Brazil,350600,475300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
323,michaelbjordan,Michael B. Jordan,18700000,United States,310200,514500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
324,hannahstocking,Hannah Stocking,22700000,United States,297500,422800,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
325,sza,SZA,12600000,United States,451500,763300,,,,,,0
326,anguscloud,Angus Cloud,8000000,United States,720100,1200000,,,,,,0
327,jy_piece,유정연,5500000,Brazil,1400000,1700000,,,,,,0
328,nba,NBA,70600000,United States,81900,132600,Sports with a ball,,Sports,,Sports,1
329,auba,Pierre-Emerick Aubameyang,13300000,United Kingdom,445000,708600,Sports with a ball,,Sports,,Sports,1
330,kevindebruyne,Kevin De Bruyne,18900000,United Kingdom,320300,495700,Sports with a ball,,Sports,,Sports,1
331,juanpazurita,Juanpa Zurita,30300000,Mexico,214900,306100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
332,haechanahceah,HAECHAN,4600000,Indonesia,1800000,2000000,,,,,,0
333,chaeyo.0,채영 (CHAEYOUNG),6900000,Philippines,1200000,1400000,Lifestyle,,Lifestyle,,Lifestyle,1
334,aron.piper,ARON🌜🌞,13600000,Brazil,356400,671500,Lifestyle,,Lifestyle,,Lifestyle,1
335,hassan_reyvandi,hasan reyvandi حسن ریوندی,19700000,Iran,337900,466900,Cinema & Actors/actresses,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
336,aespa_official,aespa 에스파,9500000,Indonesia,674800,970400,,,,,,0
337,rohitsharma45,Rohit Sharma,24900000,India,324400,366300,Sports with a ball,Lifestyle,Sports,Lifestyle,Sports,1
338,belindapop,Beli,15600000,Mexico,405600,581100,,,,,,0
339,dahhyunnee,다현 (DAHYUN),6300000,Brazil,1300000,1500000,,,,,,0
340,shaq,DR. SHAQUILLE O'NEAL Ed.D.,26700000,United States,258100,338500,Humor & Fun & Happiness,Sports with a ball,Entertainment,Sports,Entertainment,1
341,kimjuncotton,SUHO,10300000,Indonesia,732400,873700,Lifestyle,,Lifestyle,,Lifestyle,1
342,thenotoriousmma,Conor McGregor Official,46100000,United States,134400,194900,Fitness & Gym,,Sports,,Sports,1
343,bighit_ent,BigHit Music Updates,12900000,Indonesia,564000,694900,,,,,,0
344,rauwalejandro,RAULEETO,15100000,Spain,411100,596200,,,,,,0
345,klrahul,KL Rahul👑,13000000,India,538000,687100,Sports with a ball,,Sports,,Sports,1
346,duki,Ya Supiste,10600000,Argentina,541700,833900,,,,,,0
347,sophiet,S O P H I E T U R N E R,14700000,United States,445600,599100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
348,chiaraferragni,Chiara Ferragni ✨,27800000,Italy,189800,315200,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
349,toni.kr8s,Toni Kroos,35100000,Germany,184000,249900,Sports with a ball,,Sports,,Sports,1
350,sureshraina3,Suresh Raina,21000000,India,369300,416600,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
351,duki,Ya Supiste,10600000,Argentina,541700,833900,,,,,,0
352,sophiet,S O P H I E T U R N E R,14700000,United States,445600,599100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
353,michelleobama,Michelle Obama,50800000,United States,156100,174600,Finance & Economics,Business & Careers,Info/Business,Info/Business,Info/Business,1
354,chiaraferragni,Chiara Ferragni ✨,27800000,Italy,189800,315200,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
355,toni.kr8s,Toni Kroos,35100000,Germany,184000,249900,Sports with a ball,,Sports,,Sports,1
356,sureshraina3,Suresh Raina,21000000,India,369300,416600,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
357,ratantata,Ratan Tata,6800000,India,1100000,1300000,Business & Careers,,Info/Business,,Info/Business,1
358,charles_leclerc,Charles Leclerc,8700000,Italy,763700,1000000,Racing Sports,,Sports,,Sports,1
359,alexandradaddario,alexandra daddario,22500000,India,313100,382600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
360,m_kayoung,MUN KA YOUNG,8600000,Indonesia,765100,1000000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
361,joeyking,Joey King,19100000,Brazil,313900,449300,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
362,stephencurry30,Wardell Curry,45900000,United States,140000,187300,Sports with a ball,Family,Sports,Lifestyle,Sports,1
363,houseofhighlights,House of Highlights,36100000,United States,130000,238100,Sports with a ball,,Sports,,Sports,1
364,lizasoberano,Liza Soberano,17500000,Philippines,410300,489400,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
365,jadepicon,JADE 🌪,20900000,Brazil,187700,412900,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
366,wow_kimsohyun,김소현,12400000,Indonesia,592100,681200,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
367,todayis_wendy,Wendy,7100000,Indonesia,992000,1200000,Lifestyle,,Lifestyle,,Lifestyle,1
368,caradelevingne,Cara Delevingne,42800000,United States,137400,192700,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
369,c.syresmith,Jaden Smith,19200000,United States,275400,426200,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
370,darshanravaldz,Darshan Raval #BaarishonMein,15300000,India,438600,529900,,,,,,0
371,eminem,Marshall Mathers,36500000,Iran,171400,221200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
372,lildurk,DURKIOOO,14200000,United States,203200,573000,,,,,,0
373,khabib_nurmagomedov,Хабиб Нурмагомедов,33600000,Russia,168000,235800,Fitness & Gym,,Sports,,Sports,1
374,barackobama,Barack Obama,35400000,United States,191200,225100,Finance & Economics,Business & Careers,Info/Business,Info/Business,Info/Business,1
375,liltjay,TJAYYYY 🖤,7600000,United States,575800,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
376,9gag,9GAG: Go Fun The World,58100000,Indonesia,105200,134600,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
377,fabriziorom,Fabrizio Romano,10700000,Italy,418500,724500,Literature & Journalism,Shows,Info/Business,Entertainment,Info/Business,1
378,ksi,KSI,12100000,United Kingdom,459500,645300,,,,,,0
379,nattinatasha,NATTI NATASHA,35900000,Mexico,179200,215000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
380,andressasuita,Andressa Suita,15800000,Brazil,296200,491300,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
381,_mariahwasa,HWASA,8300000,Brazil,725700,936400,,,,,,0
382,lestykejora,Lestikejora,25900000,Indonesia,230300,298500,,,,,,0
383,lilyachty,C.V T,10400000,United States,363100,740100,Humor & Fun & Happiness,Lifestyle,Entertainment,Lifestyle,Entertainment,1
384,nba_youngboy,PAIN REAL.🩸,10600000,United States,387500,749800,,,,,,0
385,ssinz7,박신혜/Shin Hye Park,13800000,Indonesia,449900,552800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
386,dntlrdl,CHOIWOOSHIK,6900000,Indonesia,850600,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
387,wizkidayo,BIG WIZ🦅,15200000,Nigeria,264700,513900,,,,,,0
388,alfinetei,Alfinetadas Dos Famosos 📌,21800000,Brazil,155200,348800,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
389,gianlucavacchi,Gianluca Vacchi,22500000,Brazil,216300,332700,Lifestyle,,Lifestyle,,Lifestyle,1
390,yuu_taa_1026,YUTA 悠太,8500000,Indonesia,684000,895700,,,,,,0
391,kunaguero,Sergio Leonel Agüero,23800000,Argentina,181600,314100,Sports with a ball,,Sports,,Sports,1
392,prillylatuconsina96,Prilly Latuconsina,49200000,Indonesia,107800,151700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
393,kjapa,KJ Apa,18500000,United States,279800,399800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
394,weareone.exo,EXO Official,10000000,Indonesia,602400,756400,,,,,,0
395,alissaviolet,Alissa Violet,11700000,United States,387100,622800,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
396,shehnaazgill,Shehnaaz Gill,11800000,India,527600,657800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
397,clean_0828,김세정,8300000,Indonesia,712400,888300,Lifestyle,,Lifestyle,,Lifestyle,1
398,hshq,Harry Styles HQ,6600000,United States,638500,1100000,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion,Entertainment,1
399,deiveleonardo,Deive Leonardo,12100000,Brazil,330300,608100,Literature & Journalism,Trainers & Coaches,Info/Business,Sports,Info/Business,1
400,markruffalo,Mark Ruffalo,20900000,Brazil,276400,348100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
401,premierleague,Premier League,59200000,United Kingdom,83700,121900,Sports with a ball,,Sports,,Sports,1
402,txt_bighit,TOMORROW X TOGETHER OFFICIAL,12800000,Indonesia,443900,560300,,,,,,0
403,nickyjam,NICKY JAM,43400000,Spain,120300,166400,,,,,,0
404,lilnasx,MONTERO,12400000,United States,344600,576500,,,,,,0
405,yasmine_sabri,Yasmine Sabri,19600000,Egypt,262900,368800,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
406,taina,Tainá Costa,16100000,Brazil,212900,444800,,,,,,0
407,anyataylorjoy,Anya Taylor-Joy,9100000,United States,554700,799500,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
408,bellapoarch,Bella Poarch,14000000,United States,379300,512800,Lifestyle,,Lifestyle,,Lifestyle,1
409,frenkiedejong,Frenkie de Jong,10800000,Spain,443800,667000,Sports with a ball,,Sports,,Sports,1
410,abdevilliers17,AB de Villiers,18800000,India,328300,378800,Sports with a ball,Lifestyle,Sports,Lifestyle,Sports,1
411,conangray,Conan Gray,6800000,Brazil,713000,1100000,,,,,,0
412,mariabecerra,Maria Becerra,10400000,Argentina,289200,683000,,,,,,0
413,annakendrick47,Anna Kendrick,22200000,United States,244300,319300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
414,jinyoung_0922jy,박진영,9900000,Indonesia,544800,720500,,,,,,0
415,o.dembele7,Ousmane Dembélé,11500000,Spain,358500,613200,Sports with a ball,,Sports,,Sports,1
416,alwaysramcharan,Ram Charan,8300000,India,766500,858300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
417,krisjenner,Kris Jenner,49900000,United States,92100,140000,Shows,Beauty,Entertainment,Beauty/Fashion,Entertainment,1
418,larissamanoela,Larissa Manoela,46800000,Brazil,90100,149600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
419,demetozdemir,Demet Özdemir,15400000,India,357800,456600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
420,melo,LaMelo Ball,9200000,United States,377500,767400,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
421,dqsalmaan,Dulquer Salmaan,11100000,India,462400,625800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
422,kehlani,Kehlani,14200000,United States,314800,490500,Family,,Lifestyle,,Lifestyle,1
423,_seorina,설인아 sᴇᴏʀɪɴᴀ,6600000,South Korea,858300,1100000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
424,anupamaparameswaran96,Anupama Parameswaran,12500000,India,485000,554800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
425,marktuan,Mark Tuan,12900000,Indonesia,423500,534400,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
426,evcenf,Fahriye Evcen Özçivit,13100000,Turkey,418900,528800,Lifestyle,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,1
427,yejinhand,손예진,7100000,Indonesia,757900,986800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
428,barbieferreira,barbie ferreira,6300000,United States,609400,1100000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
429,mingue.k,김민규,6100000,Indonesia,926100,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
430,frenchmontana,French Montana,31000000,United States,134300,221200,,,,,,0
431,sadiomaneofficiel,Sadio Mane,12100000,United Kingdom,390400,556400,Sports with a ball,,Sports,,Sports,1
432,shaymitchell,Shay Mitchell,34300000,United States,140100,196400,Beauty,Family,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
433,peytonlist,Peyton List,20200000,United States,221200,332500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
434,dixiedamelio,dixie,24800000,United States,184700,270700,Clothing & Outfits,,Beauty/Fashion,,Beauty/Fashion,1
435,alok,Alok,27800000,Brazil,188800,241500,,,,,,0
436,yaocabrera,Yao Cabrera,16500000,Argentina,187400,406800,,,,,,0
437,amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,23700000,India,175500,281400,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
438,parineetichopra,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,37700000,India,153500,177300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
439,gururandhawa,Guru Randhawa,32900000,India,166400,204500,,,,,,0
440,chelseafc,Chelsea FC,35600000,Indonesia,125000,186900,Sports with a ball,,Sports,,Sports,1
441,layzhang,Lay Zhang,14200000,Indonesia,446100,472500,,,,,,0
442,maisa,#NAME?,44800000,Brazil,108900,148400,,,,,,0
443,wi__wi__wi,위하준 Wi Ha Jun,10000000,South Korea,556900,670000,Lifestyle,,Lifestyle,,Lifestyle,1
444,madhuridixitnene,Madhuri Dixit,32700000,India,173000,200400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
445,jakepaul,Jake Paul,20600000,United States,190400,320400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
446,mathildtantot,Mathilde,10100000,United States,424600,642600,Lifestyle,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,1
447,for_everyoung10,장원영 WONYOUNG,5800000,Indonesia,902900,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
448,leaelui,Lea Elui G,11400000,India,337500,567200,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
449,miguel.g.herran,Miguel Herrán,13800000,Brazil,309500,465700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
450,iscoalarcon,Isco Alarcon Suarez,25400000,Spain,175300,253700,Sports with a ball,,Sports,,Sports,1
451,jakepaul,Jake Paul,20600000,United States,190400,320400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
452,mathildtantot,Mathilde,10100000,United States,424600,642600,Lifestyle,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,1
453,leaelui,Lea Elui G,11400000,India,337500,567200,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
454,miguel.g.herran,Miguel Herrán,13800000,Brazil,309500,465700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
455,iscoalarcon,Isco Alarcon Suarez,25400000,Spain,175300,253700,Sports with a ball,,Sports,,Sports,1
456,camilo,C A M I L O,27500000,Argentina,146100,231800,,,,,,0
457,leonardodicaprio,Leonardo DiCaprio,54700000,United States,94100,117500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
458,jennaortega,Jenna Ortega,8600000,United States,523200,745300,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
459,susana.dxoxo,Susane Damouni,13500000,India,299200,482400,,,,,,0
460,teddysphotos,Ed Sheeran,40300000,United States,114200,155400,,,,,,0
461,channingtatum,Channing Tatum,17000000,United States,254700,367100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
462,vanessahudgens,🔮Vanessa Hudgens🔮,47100000,United States,80400,132000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
463,antogriezmann,Antoine Griezmann,36600000,Spain,105100,169400,Sports with a ball,,Sports,,Sports,1
464,florencepugh,Florence Pugh,7900000,United States,523200,800000,Humor & Fun & Happiness,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
465,jessnolimit,Jess No Limit,7300000,Indonesia,716300,858200,Shows,,Entertainment,,Entertainment,1
466,vinniehacker,†,5900000,United States,506600,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
467,saweetie,,13100000,United States,201800,469200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
468,adidasfootball,adidas Football,31700000,Brazil,141600,193100,Sports with a ball,,Sports,,Sports,1
469,i_m_hendery,Hi👉🏻im Hendery👈🏻,6400000,United States,755200,978800,,,,,,0
470,loud_victor,Victor Augusto,10700000,Brazil,449100,573900,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
471,xuminghao_o,The8 디에잇,5400000,Indonesia,908900,1100000,,,,,,0
472,polo.capalot,Polo.G🐐,10500000,United States,349300,574800,,,,,,0
473,adamweitsman,Adam Weitsman,18300000,Russia,242400,330800,Business & Careers,,Info/Business,,Info/Business,1
474,corinnakopf,corinna kopf,6800000,United States,586700,898100,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
475,romeosantos,Romeo Santos,19300000,United States,255500,316400,,,,,,0
476,nianaguerrero,Niana,14200000,Indonesia,335300,420700,Kids & Toys,,Lifestyle,,Lifestyle,1
477,lilpeep,lil peep,7600000,United States,475600,799900,,,,,,0
478,juventus,Juventus,54800000,India,75500,110500,Sports with a ball,,Sports,,Sports,1
479,vegetta777,♈️ Samuel De Luque ♈️,6200000,Mexico,715600,976100,,,,,,0
480,davikah,davikah,17100000,Thailand,269200,348700,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
481,vickykaushal09,Vicky Kaushal,14200000,India,357800,419900,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
482,aliiiiiiiikarimi8,Ali Karimi,9800000,Iran,415500,630700,Sports with a ball,,Sports,,Sports,1
483,goar_avetisyan,Goar Avetisyan,11700000,Russia,370000,512500,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
484,navidmohammadzadeh,navid mohammadzadeh,8600000,Iran,495900,700100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
485,jokowi,Joko Widodo,48100000,Indonesia,98800,124700,Finance & Economics,,Info/Business,,Info/Business,1
486,pablogavi,GAVI,5900000,Spain,685100,1000000,Sports with a ball,,Sports,,Sports,1
487,djxiao_888,XIAOJUN,7000000,Indonesia,685000,856800,,,,,,0
488,fuji_an,Fujianti Utami Putri,11800000,Indonesia,208500,495900,Lifestyle,,Lifestyle,,Lifestyle,1
489,easportsfifa,EA SPORTS FIFA,27200000,Spain,127900,214500,Sports with a ball,,Sports,,Sports,1
490,coldplay,Coldplay,17600000,Brazil,237800,331200,,,,,,0
491,cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,10500000,Argentina,430800,552100,,,,,,0
492,joshu_acoustic,Joshua Hong,5000000,India,997200,1200000,,,,,,0
493,kyo1122,Song hyekyo,13400000,Indonesia,336700,428700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
