rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
66,chrishemsworth,Chris Hemsworth,56000000,India,929300,1200000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
67,robertdowneyjr,Robert Downey Jr. Official,53400000,India,987500,1200000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
68,jongsuk0206,이종석,23500000,Indonesia,2100000,2800000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
69,karimbenzema,Karim Benzema,57100000,France,798600,1100000,Sports with a ball,,Sports,,Sports,1
70,fcbarcelona,FC Barcelona,111900000,Indonesia,383800,585400,Sports with a ball,,Sports,,Sports,1
71,charlidamelio,charli,49100000,United States,1100000,1300000,Lifestyle,Shows,Lifestyle,Entertainment,Lifestyle,1
72,camila_cabello,camila,65100000,Brazil,704300,956700,,,,,,0
73,bn_sj2013,박서준,22700000,Indonesia,2200000,2600000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
74,lelepons,Lele Pons,49400000,Mexico,759900,1200000,,,,,,0
75,realmadrid,Real Madrid C.F.,124600000,Spain,324400,450700,Sports with a ball,,Sports,,Sports,1
76,blackpinkofficial,BLΛƆKPIИK,49000000,Indonesia,907000,1100000,,,,,,0
77,ddlovato,Demi Lovato,139200000,United States,302700,392000,,,,,,0
78,gal_gadot,Gal Gadot,86400000,United States,485500,627300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
79,dishapatani,disha patani (paatni) 🦋,53600000,India,802500,988000,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
80,niallhoran,Niall Horan,30500000,United States,1200000,1700000,,,,,,0
81,rashmika_mandanna,Rashmika Mandanna,33100000,India,1300000,1600000,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
82,dojacat,Doja Cat,24200000,United States,1500000,2000000,,,,,,0
83,dovecameron,DOVE,48300000,United States,767900,1000000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
84,realstraykids,Stray Kids,22700000,Indonesia,1700000,2100000,,,,,,0
85,beingsalmankhan,Salman Khan,53900000,India,690300,883400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
86,ursulolita,Úrsula Corberó ✨,23700000,Brazil,1400000,2000000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
87,paulodybala,Paulo Dybala,48600000,Argentina,583500,934000,Sports with a ball,,Sports,,Sports,1
88,songkang_b,송강,14700000,Mexico,2200000,3000000,,,,,,0
89,virginia,Virginia Fonseca Costa,39200000,Brazil,708400,1100000,Shows,Lifestyle,Entertainment,Lifestyle,Entertainment,1
90,hardikpandya93,Hardik Himanshu Pandya,23000000,India,1500000,1900000,Sports with a ball,,Sports,,Sports,1
91,jacksonwang852g7,Jackson Wang,30000000,China,1200000,1400000,,,,,,0
92,zacefron,Zac Efron,54800000,United States,534400,774700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
93,jacquelinef143,Jacqueline Fernandez,63000000,India,551400,672100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
94,yawnzzn,YEONJUN,10700000,India,3000000,3900000,,,,,,0
95,oohsehun,SEHUN,23200000,Indonesia,1500000,1800000,,,,,,0
96,bellahadid,Bella 🦋,54600000,United States,474500,758900,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
