rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
80,esnyrrr,Esnyr,6000000,5100000,813800,2000,3700,,,,0
81,skythedogtrainer,skythedogtrainer,31400,14000000,1200000,678,705,,,,0
82,mclomaofficiall,mclomaofficial,6000000,6700000,1000000,2200,1200,,,,0
83,lechilinh88,Lê Chí Linh,4100000,7500000,513300,4400,1300,,,,0
84,pongamoslo_a_prueba,Pongámoslo a Prueba,38200000,7500000,898800,1800,1600,,,,0
85,nianaguerrero,Niana Guerrero,35100000,7900000,725800,2100,1800,,,,0
86,druskitv,DRUSKI,3800000,2800000,533600,4000,10400,,,,0
87,jaykindafunny8,Jaykindafunny,25000000,8400000,582800,2100,2200,,,,0
88,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2700000,4000000,386700,7400,5900,,,,0
89,andrewlepage23,Andrew Le Page,209000,4400000,390300,3600,7800,,,,0
90,pandkourt,Kourtney-Penelope,5000000,10100000,846000,0,2300,,,,0
91,pinkpantheress,😘🙈☺️,1700000,3400000,732400,5800,1700,,,,0
92,bellapoarch,Bella Poarch,92600000,6000000,482200,4800,1500,,,,0
93,thethinktok,The Think Tok,782400,2800000,284600,5100,18200,,,,0
94,livvy,Olivia Dunne,6500000,4900000,550800,4600,2100,,,,0
95,falcopunch,Falco,13200000,3700000,522600,4800,4400,,,,0
96,vibin.wit.tay,Tay,5400000,2500000,486400,3200,11400,,,,0
97,swagboygorringe,Daniel Gorringe,7000000,3100000,347200,6000,10500,,,,0
98,sadiafza,Sadia,2700000,5300000,749000,2200,2100,,,,0
99,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,3200000,3800000,466800,4300,5200,,,,0
100,zachking,Zach King,72100000,11500000,466400,1600,1500,,,,0
101,docdami,Doc Dami,4100000,4700000,759100,2200,2300,,,,0
102,mdmotivator,Zachery Dereniowski,11300000,4900000,834200,2700,1200,,,,0
103,cool__bad,Kuan - Aisha 🔎,2800000,9400000,565400,1700,1200,,,,0
104,kallmekris,Kris HC,47600000,3600000,715500,3800,2100,,,,0
105,angelaaguilar_,Angela Aguilar :),10700000,5400000,469800,2300,3600,,,,0
106,joshtgodfrey,Josh Godfrey,1100000,3700000,464600,3900,4700,,,,0
107,kieram.litchfield,Kieram Litchfield,2300000,5900000,708800,2200,1200,,,,0
108,kervo.dolo,Kervo.dolo,10500000,3100000,515700,3100,5700,,,,0
109,winnermaxyt,WinnerMax,7100000,6400000,421500,1700,3400,,,,0
110,olisboa,LISBOA,3900000,4300000,740300,1100,3000,,,,0
111,imeyhou,Meyden,5000000,4800000,802400,2700,658,,,,0
112,lilireinhart,Lili Reinhart,5600000,4200000,602900,1800,3300,,,,0
113,therealemilylin,Emily Lin,238900,5200000,655300,3500,258,,,,0
