handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
433,433,Sports with a ball,,48500000,Spain,383100,637000,Sports,
__youngbae__,TAEYANG,Music,,12700000,Indonesia,478000,542300,Music,
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,,18800000,Russia,310800,377900,Entertainment,
_imyour_joy,Joy,Lifestyle,,13500000,Indonesia,1100000,1400000,Lifestyle,
_jeongjaehyun,Jaehyun,,,11100000,Indonesia,2500000,3100000,,
_mariahwasa,HWASA,,,7900000,Brazil,915100,1200000,,
_rl9,Robert Lewandowski,Sports with a ball,,25000000,Poland,588600,749000,Sports,
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,3000000,South Korea,803900,997800,Lifestyle,Entertainment
_shotaroo_,SHOTARO ショウタロウ,,,4900000,Indonesia,860100,1100000,,
03_hu,박지후,,,4100000,South Korea,711000,872600,,
21savage,,Music,,13200000,United States,263500,462000,Music,
333cyj333,Ars 🎗,Music,,6500000,Thailand,359300,427700,Music,
3gerardpique,Gerard Piqué,Sports with a ball,,19800000,Spain,446100,658800,Sports,
50cent,50 Cent,Music,,27900000,United States,177500,283200,Music,
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58300000,Indonesia,214700,276900,Entertainment,
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,17200000,India,534000,615900,Sports,Lifestyle
aboflah,AboFlah,Humor & Fun & Happiness,,7200000,Iraq,793400,949400,Entertainment,
achrafhakimi,Achraf Hakimi,Sports with a ball,,8800000,Morocco,520000,764500,Sports,
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,28900000,Indonesia,2800000,3700000,Entertainment,
actorprabhas,Prabhas,,,8200000,India,482200,540200,,
actorsuriya,Suriya Sivakumar,,,4100000,India,491300,637700,,
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,,13600000,Turkey,233800,286300,Entertainment,
adamsandler,Adam Sandler,Cinema & Actors/actresses,,12700000,United States,395900,503900,Entertainment,
addisonraee,,Beauty,,40500000,United States,1100000,1600000,Beauty/Fashion,
adele,Adele,Music,,49700000,United States,2600000,3600000,Music,
adidasoriginals,adidas Originals,Clothing & Outfits,Shopping & Retail,34200000,United States,52400,71800,Beauty/Fashion,Beauty/Fashion
adinross,,,,2600000,United States,551100,1100000,,
aespa_official,aespa 에스파,,,8300000,Indonesia,1100000,1600000,,
agustd,SUGA of BTS 민윤기,,,31500000,,10900000,10900000,,
aishwaryaraibachchan_arb,AishwaryaRaiBachchan,Cinema & Actors/actresses,,10000000,India,247600,316500,Entertainment,
aislinnderbez,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ  𝕕 𝕖 𝕣 𝕓 𝕖 𝕫,Cinema & Actors/actresses,,12000000,Mexico,235700,295400,Entertainment,
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,61100000,India,815300,971000,Entertainment,
alejandrospeitzer,Alejandro Speitzer,Lifestyle,,5100000,Mexico,313300,488600,Lifestyle,
