rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
267,samoylovaoxana,Samoylova Oxana,Family,15300000,Russia,605000,820400,Lifestyle,Lifestyle,Lifestyle
268,lestykejora,Lestikejora,Music,26000000,Indonesia,370800,479900,,Music,
269,xxxibgdrgn,권지용(權志龍),Photography,21300000,Indonesia,453600,574900,Fashion,Lifestyle,Beauty/Fashion
270,garethbale11,Gareth Bale,Sports with a ball,48100000,Spain,161500,253100,,Sports,
271,yellow_3to3,REN JUN,Lifestyle,6300000,Indonesia,1600000,2000000,Music,Lifestyle,Music
272,yoona__lim,,Cinema & Actors/actresses,14100000,Indonesia,724000,866100,,Entertainment,
273,sophiet,S O P H I E T U R N E R,Cinema & Actors/actresses,14700000,United States,608800,818500,,Entertainment,
274,_zyozyo,JIHYO,Lifestyle,6800000,Indonesia,1400000,1800000,,Lifestyle,
275,holyhaein,정해인,Lifestyle,10300000,Indonesia,946500,1200000,Music,Lifestyle,Music
276,heybiblee,이성경,Modeling,14500000,Indonesia,604900,816600,,Beauty/Fashion,
277,klrahul,KL Rahul👑,Sports with a ball,13100000,India,709600,906100,,Sports,
278,e_xiu_o,XIUMIN,Music,8200000,Indonesia,1300000,1500000,,Music,
279,brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,43200000,Brazil,159600,276500,,Entertainment,
280,manurios,Manu Rios,Shows,11000000,Mexico,637600,1100000,,Entertainment,
281,m10_official,Mesut Özil,Sports with a ball,24100000,Turkey,346500,486000,,Sports,
282,ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,14600000,India,651200,796200,,Entertainment,
283,realbarbarapalvin,Barbara Palvin,Modeling,18300000,Russia,471800,636700,Fashion,Beauty/Fashion,Beauty/Fashion
284,juliette,Juliette,Cinema & Actors/actresses,33300000,Brazil,223400,355100,,Entertainment,
285,bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,14800000,India,629000,778600,,Entertainment,
286,kunaguero,Sergio Leonel Agüero,Sports with a ball,23900000,Argentina,278500,481600,,Sports,
287,wizkhalifa,Wiz Khalifa,Music,39000000,India,209000,292600,Art/Artists,Music,Entertainment
288,perrieedwards,Perrie Edwards 🖤,Modeling,15900000,Brazil,457200,713600,,Beauty/Fashion,
289,burakozcivit,Burak Özçivit,Cinema & Actors/actresses,22100000,Turkey,426400,517500,,Entertainment,
290,kimjuncotton,SUHO,Lifestyle,10400000,Indonesia,920800,1100000,Music,Lifestyle,Music
291,psg,Paris Saint-Germain,Sports with a ball,62700000,Brazil,107500,179500,,Sports,
292,evaluna,Evaluna Montaner de Echeverry,Family,20700000,Argentina,392100,540300,Music,Lifestyle,Music
293,iammichelemorroneofficial,Michele Morrone,Lifestyle,15400000,Brazil,508900,730400,Cinema & Actors/actresses,Lifestyle,Entertainment
294,asaprocky,GRIM,Music,15000000,United States,444500,742700,,Music,
295,trippieredd,555,Music,13100000,United States,436000,854100,,Music,
296,thenotoriousmma,Conor McGregor Official,Fitness & Gym,45800000,United States,166500,241300,,Sports,
297,mina_sr_my,미나 (MINA),,6700000,Indonesia,1400000,1700000,,,
298,nicki.nicole,,Music,12500000,Argentina,590800,873500,,Music,
299,cbum,Chris Bumstead,Fitness & Gym,10300000,United States,635700,1100000,,Sports,
300,johnnyjsuh,Johnny Suh,Lifestyle,8800000,Indonesia,955100,1200000,Music,Lifestyle,Music
301,kevindebruyne,Kevin De Bruyne,Sports with a ball,19100000,United Kingdom,361500,559400,,Sports,
302,hi_sseulgi,슬기 Seulgi,Modeling,12700000,Indonesia,667700,836900,,Beauty/Fashion,
303,rauwalejandro,RAULEETO,Music,15100000,Spain,487800,708000,,Music,
304,louispartridge_,Louis💐,Cinema & Actors/actresses,7500000,United States,957600,1400000,,Entertainment,
305,larasilva,Lara Silva ⚠️,Shows,17400000,Brazil,394500,608400,Adult content,Entertainment,Entertainment
306,eminem,Marshall Mathers,Cinema & Actors/actresses,36600000,Iran,221200,285600,Music,Entertainment,Music
307,keniaos,Kenia Os,Music,13900000,Mexico,576300,749100,,Music,
308,bellathorne,BELLA,Music,25400000,United States,244400,410000,Art/Artists,Music,Entertainment
309,ross_lynch,Ross Shor Lynch,Music,10900000,United States,472000,942500,Cinema & Actors/actresses,Music,Entertainment
310,arigameplays,ARIGAMEPLAYS,Lifestyle,11600000,Mexico,732700,879700,Gaming,Lifestyle,Tech/Gaming
311,fedez,FEDEZ,Music,14400000,Italy,513600,710100,,Music,
312,txt_bighit,TOMORROW X TOGETHER OFFICIAL,,12900000,Indonesia,624500,788200,,,
313,nattyiceofficial,natalia dyer,Cinema & Actors/actresses,9000000,United States,768200,1100000,Modeling,Entertainment,Beauty/Fashion
314,attahalilintar,Atta Halilintar - PAPATA,Art/Artists,24100000,Indonesia,307700,420500,Shows,Entertainment,Entertainment
315,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actresses,13500000,Turkey,607100,775600,Modeling,Entertainment,Beauty/Fashion
316,wizkidayo,BIG WIZ🦅,Music,15200000,Nigeria,351900,681600,,Music,
317,c.syresmith,Jaden Smith,Cinema & Actors/actresses,19200000,United States,337100,521900,Lifestyle,Entertainment,Lifestyle
318,xeesoxee,한소희,Lifestyle,9700000,Indonesia,793700,1000000,,Lifestyle,
319,sofiacarson,Sofia Carson,Music,20400000,Brazil,360600,488900,Cinema & Actors/actresses,Music,Entertainment
320,duki,Ya Supiste,Music,10700000,Argentina,601900,926100,,Music,
321,mr_faisu_07,FAISAL SHAIKH,Modeling,28300000,India,278300,354700,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
322,taeoxo_nct,TAEYONG,Lifestyle,9700000,Indonesia,786400,1000000,Music,Lifestyle,Music
323,sureshraina3,Suresh Raina,Modeling,21200000,India,414400,467400,,Beauty/Fashion,
324,nct_dream,NCT DREAM OFFICIAL,Music,10500000,Indonesia,843800,942800,Modeling,Music,Beauty/Fashion
325,raphaelvarane,Raphael Varane,Sports with a ball,19600000,Spain,332300,498700,,Sports,
326,tenlee_1001,TEN_+•10,Music,10000000,Indonesia,781000,1000000,,Music,
327,alexandradaddario,alexandra daddario,Cinema & Actors/actresses,22600000,India,353900,432400,,Entertainment,
328,winmetawin,Win Metawin O.,Lifestyle,14100000,Philippines,617500,698900,,Lifestyle,
329,chiaraferragni,Chiara Ferragni ✨,Beauty,27900000,Italy,210300,349000,,Beauty/Fashion,
330,maya_hawke,Maya Hawke,Cinema & Actors/actresses,10300000,United States,683500,946200,,Entertainment,
331,sza,SZA,Music,12600000,United States,458000,774200,,Music,
332,wwiinn_7,WINWIN,,7500000,Indonesia,1100000,1300000,,,
333,chadwickboseman,Chadwick Boseman,Cinema & Actors/actresses,11400000,Brazil,602300,844600,Literature & Journalism,Entertainment,Info/Business
334,jadepicon,JADE 🌪,Modeling,21000000,Brazil,212600,466400,Fashion,Beauty/Fashion,Beauty/Fashion
335,jy_piece,유정연,,5500000,Brazil,1400000,1800000,,,
336,mont.pantoja,MONT,,12400000,Mexico,640300,761600,,,
337,madhuridixitnene,Madhuri Dixit,Music,33000000,India,247500,286300,Cinema & Actors/actresses,Music,Entertainment
338,ibaillanos,Ibai,Art/Artists,8200000,Spain,806800,1200000,,Entertainment,
339,marvelstudios,Marvel Studios,Cinema & Actors/actresses,38300000,India,217600,244000,Comics & sketches,Entertainment,Entertainment
340,haechanahceah,HAECHAN,,4700000,Indonesia,1800000,2000000,,,
341,khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym,33600000,Russia,196800,276100,,Sports,
342,luisasonza,LUÍSA SONZA,Music,30400000,Brazil,193000,305800,Lifestyle,Music,Lifestyle
343,hyunah_aa,Hyun Ah,Music,18200000,South Korea,415600,492700,,Music,
344,aespa_official,aespa 에스파,Music,9500000,Indonesia,662900,953200,,Music,
345,juventus,Juventus,Sports with a ball,55000000,India,112300,164900,,Sports,
346,dahhyunnee,다현 (DAHYUN),Music,6400000,Brazil,1200000,1400000,,Music,
347,michelleobama,Michelle Obama,Finance & Economics,51000000,United States,155000,173100,Business & Careers,Info/Business,Info/Business
348,houseofhighlights,House of Highlights,Sports with a ball,36100000,United States,130000,238100,,Sports,
349,stephencurry30,Wardell Curry,Sports with a ball,46200000,United States,138500,185300,Family,Sports,Lifestyle
350,teddysphotos,Ed Sheeran,Music,40500000,United States,155700,211800,,Music,
351,premierleague,Premier League,Sports with a ball,59500000,United Kingdom,97900,142500,,Sports,
352,avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,32600000,India,213800,260500,,Entertainment,
353,joeyking,Joey King,Music,19100000,Brazil,308400,441400,Cinema & Actors/actresses,Music,Entertainment
354,mingue.k,김민규,Lifestyle,6300000,Indonesia,1100000,1400000,Music,Lifestyle,Music
355,bighit_ent,BigHit Music Updates,Music,12800000,Indonesia,531300,654700,,Music,
356,jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,21500000,Brazil,288000,397500,Business & Careers,Info/Business,Info/Business
357,demetozdemir,Demet Özdemir,Cinema & Actors/actresses,15600000,India,420300,536000,,Entertainment,
358,sommerray,Sommer Ray,Modeling,26200000,United States,202700,318100,,Beauty/Fashion,
359,auba,Pierre-Emerick Aubameyang,Sports with a ball,13300000,United Kingdom,393000,625000,,Sports,
360,bronny,,Sports with a ball,6600000,United States,689400,1300000,Winter sports,Sports,Sports
361,belindapop,Beli,Music,15600000,Mexico,369300,529100,,Music,
362,m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,8600000,Indonesia,730400,972000,,Entertainment,
363,prattprattpratt,Chris Pratt,Cinema & Actors/actresses,38900000,United States,161100,210900,,Entertainment,
364,pubity,Pubity,Humor & Fun & Happiness,31800000,United States,175900,257200,,Entertainment,
365,yuyacst,𝓨𝒖𝒚𝒂,Modeling,17100000,Mexico,309400,474900,,Beauty/Fashion,
366,anguscloud,Angus Cloud,Music,7900000,United States,631300,1000000,,Music,
367,liltjay,TJAYYYY 🖤,Lifestyle,7600000,United States,590700,1100000,Music,Lifestyle,Music
368,taina,Tainá Costa,Music,16200000,Brazil,239500,500100,,Music,
369,alwaysramcharan,Ram Charan,Cinema & Actors/actresses,8400000,India,866500,970400,,Entertainment,
370,joaogomescantor,ACREDITE 🧡,Music,13800000,Brazil,214200,586200,Cinema & Actors/actresses,Music,Entertainment
371,_mariahwasa,HWASA,Music,8300000,Brazil,756300,975900,,Music,
372,9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,58000000,Indonesia,107800,138100,,Entertainment,
373,abdevilliers17,AB de Villiers,Sports with a ball,19000000,India,360800,416300,Lifestyle,Sports,Lifestyle
374,davido,Davido,Music,25200000,Nigeria,231200,323000,Lifestyle,Music,Lifestyle
375,colesprouse,Cole Sprouse,Modeling,35800000,United States,168700,220300,,Beauty/Fashion,
376,adamweitsman,Adam Weitsman,Business & Careers,18500000,Russia,313600,427600,,Info/Business,
377,conangray,Conan Gray,Music,6900000,Brazil,781300,1200000,,Music,
378,anyataylorjoy,Anya Taylor-Joy,Modeling,9100000,United States,610600,880000,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
379,markruffalo,Mark Ruffalo,Cinema & Actors/actresses,20900000,Brazil,298700,375900,,Entertainment,
380,raffinagita1717,Raffi Ahmad and Nagita Slavina,Shows,64300000,Indonesia,83600,122100,,Entertainment,
381,lildurk,DURKIOOO,Music,14200000,United States,197600,556700,Art/Artists,Music,Entertainment
382,rohitsharma45,Rohit Sharma,Sports with a ball,25000000,India,276800,312600,Lifestyle,Sports,Lifestyle
383,easportsfifa,EA SPORTS FIFA,Sports with a ball,27400000,Spain,169700,284800,,Sports,
384,hshq,Harry Styles HQ,Music,6700000,United States,670600,1200000,Cinema & Actors/actresses,Music,Entertainment
385,andressasuita,Andressa Suita,Modeling,15800000,Brazil,300400,498400,,Beauty/Fashion,
386,clean_0828,김세정,Lifestyle,8400000,Indonesia,756600,943500,,Lifestyle,
387,geneliad,Genelia Deshmukh,Cinema & Actors/actresses,10500000,India,595100,737200,,Entertainment,
388,hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,19800000,Iran,285700,395000,Humor & Fun & Happiness,Entertainment,Entertainment
389,hannahstocking,Hannah Stocking,Modeling,22800000,United States,238700,339300,,Beauty/Fashion,
390,yuu_taa_1026,中本悠太　YUTA,,8600000,Indonesia,697200,913200,,,
391,nba_youngboy,PAIN REAL.🩸,Art/Artists,10600000,United States,387500,749800,Music,Entertainment,Music
392,miguel.g.herran,Miguel Herrán,Cinema & Actors/actresses,13700000,Brazil,369700,556300,,Entertainment,
393,anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,12500000,India,531800,608400,,Entertainment,
394,dntlrdl,CHOIWOOSHIK,Lifestyle,6900000,Indonesia,852400,1100000,,Lifestyle,
395,gianlucavacchi,Gianluca Vacchi,Lifestyle,22500000,Brazil,217900,335200,,Lifestyle,
396,antogriezmann,Antoine Griezmann,Sports with a ball,36600000,Spain,127400,205400,,Sports,
397,fabriziorom,Fabrizio Romano,Literature & Journalism,11000000,Italy,395700,684500,Shows,Info/Business,Entertainment
398,britneyspears,Channel 8,Music,42100000,United States,130300,182100,,Music,
399,jheneaiko,Jhené Aiko Efuru Chilombo 🔮,Music,15100000,United States,282000,494600,,Music,
400,alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,21900000,Brazil,154600,347800,,Entertainment,
401,prillylatuconsina96,Prilly Latuconsina,Cinema & Actors/actresses,49200000,Indonesia,107800,151700,Music,Entertainment,Music
402,kjapa,KJ Apa,Cinema & Actors/actresses,18500000,United States,281600,402200,,Entertainment,
403,juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,30500000,Mexico,171000,243400,,Entertainment,
404,pugachevmark,Mark Pugachev,Cars & Motorbikes,15100000,Russia,334700,491700,Luxury,Lifestyle,Beauty/Fashion
405,layzhang,Lay Zhang,Music,14200000,Indonesia,499000,528900,,Music,
406,maisa,+A,Music,45000000,Brazil,121200,165100,,Music,
407,hunterschafer,Hunter,Lifestyle,7200000,United States,633400,1000000,Music,Lifestyle,Music
408,amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,23700000,India,194000,311000,,Entertainment,
409,alissaviolet,Alissa Violet,Modeling,11800000,United States,387500,623400,,Beauty/Fashion,
410,dindahw,Dinda Hauw,Cinema & Actors/actresses,14600000,Indonesia,336200,503600,,Entertainment,
411,lilyachty,C.V T,Humor & Fun & Happiness,10400000,United States,349600,712300,Lifestyle,Entertainment,Lifestyle
412,peytonlist,Peyton List,Cinema & Actors/actresses,20300000,United States,238700,358700,,Entertainment,
413,florencepugh,Florence Pugh,Humor & Fun & Happiness,8100000,United States,594700,909500,Cinema & Actors/actresses,Entertainment,Entertainment
414,evcenf,Fahriye Evcen Özçivit,Lifestyle,13100000,Turkey,440900,556400,Beauty,Lifestyle,Beauty/Fashion
415,aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,10000000,Iran,496400,752500,,Sports,
416,bellapoarch,Bella Poarch,Lifestyle,13900000,United States,384400,520000,Music,Lifestyle,Music
417,o.dembele7,Ousmane Dembélé,Sports with a ball,11600000,Spain,361600,618600,,Sports,
418,jinyoung_0922jy,박진영,Music,10000000,Indonesia,553500,732000,,Music,
419,nba,NBA,Sports with a ball,70900000,United States,62200,100900,,Sports,
420,dannapaola,Danna Paola,Music,34800000,Mexico,141500,205400,,Music,
421,simonemendes,Simone Mendes,Music,35600000,Brazil,159600,201400,,Music,
422,hakkiakdenizz,hakki akdeniz,Business & Careers,26600000,Russia,183800,266400,,Info/Business,
423,ksi,KSI,Music,12100000,United Kingdom,418400,587500,,Music,
424,melo,LaMelo Ball,Lifestyle,9200000,United States,383600,779800,Music,Lifestyle,Music
425,saweetie,,Cinema & Actors/actresses,13100000,United States,232400,540000,,Entertainment,
426,daquan,Daquan,Humor & Fun & Happiness,16700000,United States,274700,423700,,Entertainment,
427,deiveleonardo,Deive Leonardo,Literature & Journalism,12300000,Brazil,313400,576300,Trainers & Coaches,Info/Business,Sports
428,_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,6800000,South Korea,843000,1000000,Cinema & Actors/actresses,Lifestyle,Entertainment
429,ssinz7,박신혜/Shin Hye Park,Music,13800000,Indonesia,413800,508500,Cinema & Actors/actresses,Music,Entertainment
430,yasmine_sabri,Yasmine Sabri,Cinema & Actors/actresses,19600000,Egypt,256800,360200,Lifestyle,Entertainment,Lifestyle
431,krisjenner,Kris Jenner,Shows,49900000,United States,92100,140000,Beauty,Entertainment,Beauty/Fashion
432,marktuan,Mark Tuan,Music,13000000,Indonesia,427600,539600,Cinema & Actors/actresses,Music,Entertainment
433,rezagolzar,Mohammad Reza Golzar,Cinema & Actors/actresses,12300000,Iran,398600,575900,,Entertainment,
434,ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,8200000,United States,636500,861100,,Entertainment,
435,frenchmontana,French Montana,Music,30700000,United States,139400,229800,,Music,
436,shehnaazgill,Shehnaaz Gill,Cinema & Actors/actresses,12300000,India,483000,606500,Music,Entertainment,Music
437,wi__wi__wi,위하준 Wi Ha Jun,Lifestyle,10000000,South Korea,568000,683500,Music,Lifestyle,Music
438,jennaortega,Jenna Ortega,Cinema & Actors/actresses,8600000,United States,561400,799600,Lifestyle,Entertainment,Lifestyle
439,jasonderulo,Jason Derulo,Music,12800000,United States,370000,529500,,Music,
440,barbieferreira,barbie ferreira,Music,6200000,United States,610800,1100000,Cinema & Actors/actresses,Music,Entertainment
441,yaocabrera,Yao Cabrera,Crypto,16900000,Argentina,185200,402000,NFT,Tech/Gaming,Tech/Gaming
442,mclomaofficial,Paloma Santos 🐟,Music,8800000,Brazil,451800,773600,,Music,
443,for_everyoung10,장원영 WONYOUNG,Lifestyle,5900000,Indonesia,917300,1200000,,Lifestyle,
444,frenkiedejong,Frenkie de Jong,Sports with a ball,10800000,Spain,411600,618300,,Sports,
445,paulwesley,Paul Wesley,Cinema & Actors/actresses,12400000,Brazil,358400,535900,,Entertainment,
446,canelo,Saul Alvarez,Fitness & Gym,13700000,Mexico,343900,478800,,Sports,
447,i_m_hendery,Hi👉🏻im Hendery👈🏻,,6400000,United States,800500,1000000,,,
448,polo.capalot,Polo.G🐐,Music,10500000,United States,375200,617100,,Music,
449,iscoalarcon,Isco Alarcon Suarez,Sports with a ball,25500000,Spain,177100,256200,,Sports,
450,parineetichopra,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,Cinema & Actors/actresses,37700000,India,148600,171700,,Entertainment,
451,maudyayunda,Maudy Ayunda,Music,17300000,Indonesia,251900,371400,,Music,
452,princessyahrini,SYAHRINI,Music,40200000,Indonesia,122100,159800,,Music,
453,romeosantos,Romeo Santos,Music,19300000,United States,273300,338100,,Music,
454,soohyun_k216,김수현 Kim Soo Hyun 金秀賢,,13900000,Indonesia,378400,460900,,,
455,vanessahudgens,🔮Vanessa Hudgens🔮,Cinema & Actors/actresses,47300000,United States,82300,135200,,Entertainment,
456,marvel,Marvel Entertainment,Cinema & Actors/actresses,66500000,United States,80900,96000,Comics & sketches,Entertainment,Entertainment
457,susana.dxoxo,Susane Damouni,,13700000,India,298600,481300,,,
458,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,54700000,United States,94100,117500,,Entertainment,
459,pablogavi,GAVI,Sports with a ball,6300000,Spain,701900,1000000,,Sports,
460,yejinhand,손예진,Cinema & Actors/actresses,7100000,Indonesia,699600,910700,,Entertainment,
461,skaijackson,S K A I,Lifestyle,8000000,United States,455100,803000,,Lifestyle,
462,sadiomaneofficiel,Sadio Mane,Sports with a ball,12300000,United Kingdom,363000,517500,,Sports,
463,liverpoolfc,Liverpool Football Club,Sports with a ball,40500000,United Kingdom,112000,156200,,Sports,
464,toni.kr8s,Toni Kroos,Sports with a ball,35500000,Germany,131400,178600,,Sports,
465,indiancricketteam,Team India,Sports with a ball,25800000,India,209600,244400,,Sports,
466,yerimiese,Yeri,Lifestyle,10700000,Indonesia,464700,575600,,Lifestyle,
467,mo.on_air,TAEIL,,5100000,Indonesia,1100000,1200000,,,
468,joshu_acoustic,Joshua Hong,Music,5100000,India,1000000,1200000,,Music,
469,xuminghao_o,The8 디에잇,Music,5500000,Indonesia,913000,1200000,,Music,
470,alok,Alok Petrillo,Music,27900000,Brazil,172900,221300,Art/Artists,Music,Entertainment
471,jessnolimit,Jess No Limit,Shows,7300000,Indonesia,717700,859900,,Entertainment,
472,nianaguerrero,Niana,Music,14200000,Indonesia,342100,429300,Kids & Toys,Music,Entertainment
473,mathildtantot,Mathilde,Lifestyle,10000000,United States,401300,607400,Modeling,Lifestyle,Beauty/Fashion
474,leaelui,Lea Elui G,Modeling,11400000,India,320500,538800,Lifestyle,Beauty/Fashion,Lifestyle
475,nattinatasha,NATTI NATASHA,Music,36000000,Mexico,141600,170000,Cinema & Actors/actresses,Music,Entertainment
476,lilpeep,lil peep,Music,7600000,United States,477500,802100,,Music,
477,kyo1122,Song hyekyo,Cinema & Actors/actresses,13400000,Indonesia,350100,445800,,Entertainment,
478,vinniehacker,†,Lifestyle,5900000,United States,495000,1000000,,Lifestyle,
479,navidmohammadzadeh,navid mohammadzadeh,Cinema & Actors/actresses,8600000,Iran,499800,705600,,Entertainment,
480,netflix,Netflix US,Cinema & Actors/actresses,31300000,Brazil,116100,190400,Shows,Entertainment,Entertainment
481,charles_leclerc,Charles Leclerc,Racing Sports,8800000,Italy,512500,680600,,Sports,
482,jakepaul,Jake Paul,Cinema & Actors/actresses,20700000,United States,172300,288900,,Entertainment,
483,djxiao_888,XIAOJUN,Music,7000000,Indonesia,687100,859400,,Music,
484,cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,10500000,Argentina,437900,561200,,Music,
485,jokowi,Joko Widodo,Finance & Economics,48100000,Indonesia,98800,124700,,Info/Business,
486,memphisdepay,Memphis Depay,Sports with a ball,15500000,France,212500,376600,,Sports,
487,obj,Odell Beckham Jr,Sports with a ball,16500000,United States,185900,354000,,Sports,
488,caviarmagnat,Anton Tregubov,Lifestyle,15200000,Russia,267800,386900,,Lifestyle,
489,davikah,davikah,Modeling,17100000,Thailand,260500,337500,,Beauty/Fashion,
490,jailyneojeda,Jailyne Ojeda Ochoa,Modeling,14100000,United States,297300,411400,Lifestyle,Beauty/Fashion,Lifestyle
491,bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,25100000,Indonesia,182900,231400,Lifestyle,Entertainment,Lifestyle
492,rafaelnadal,Rafa Nadal,Sports with a ball,16400000,Spain,282200,352900,,Sports,
493,rogerfederer,Roger Federer,Sports with a ball,10200000,Spain,437200,566000,,Sports,
494,dra.deolanebezerra,Deolane Bezerra ⚖️,Beauty,15200000,Brazil,178700,384000,Lifestyle,Beauty/Fashion,Lifestyle
495,phil.coutinho,Philippe Coutinho,Sports with a ball,24900000,Brazil,141700,230300,,Sports,
496,jensenackles,Jensen Ackles,Cinema & Actors/actresses,10000000,United States,451700,586900,,Entertainment,
497,gisele,Gisele Bündchen,Modeling,19800000,Brazil,196900,292600,Fashion,Beauty/Fashion,Beauty/Fashion
498,dababy,BILLION DOLLAR BABY 👶🏾,Music,21300000,United States,166700,271100,,Music,
499,d_degeaofficial,David De Gea,Sports with a ball,13800000,United Kingdom,293100,414800,,Sports,
500,d_a___m_i,KIM DA MI,,4600000,Indonesia,1000000,1200000,,,
501,reesewitherspoon,Reese Witherspoon,Cinema & Actors/actresses,28400000,United States,168100,201400,,Entertainment,
502,imouniroy,mon,Cinema & Actors/actresses,24600000,India,190000,231100,,Entertainment,
503,mariabecerra,Maria Becerra,Music,10500000,Argentina,229000,541200,,Music,
504,charlieputh,Charlie Puth,Music,16700000,United States,238600,339200,,Music,
505,netflixbrasil,Netflix Brasil,Shows,32800000,Brazil,101000,172400,Cinema & Actors/actresses,Entertainment,Entertainment
506,vickykaushal09,Vicky Kaushal,Lifestyle,14200000,India,337700,396300,Cinema & Actors/actresses,Lifestyle,Entertainment
507,amauryguichon,Amaury Guichon,Food & Cooking,9700000,United States,484600,590400,,Lifestyle,
508,rachel_mypark,박민영 Minyoung Park,Cinema & Actors/actresses,10300000,Indonesia,437300,544700,,Entertainment,
509,sportscenter,SportsCenter,Sports with a ball,31800000,United States,98400,176600,Shows,Sports,Entertainment
510,srinidhi_shetty,Srinidhi Shetty 🌸,Beauty,4500000,India,941200,1300000,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
511,gusttavolima,🏛 Gusttavo Lima 🏛,Music,44100000,Brazil,77300,128600,,Music,
512,yangyang_x2,YangYang 양양,Music,6500000,Indonesia,688000,873800,,Music,
513,golfarahani,Golshifteh Farahani,Cinema & Actors/actresses,13800000,Iran,314800,405800,,Entertainment,
514,goar_avetisyan,Goar Avetisyan,Beauty,11600000,Russia,345000,477800,,Beauty/Fashion,
515,earthpix,🌎  EarthPix  🌎,Nature & landscapes,23300000,United States,183600,238200,Photography,Lifestyle,Lifestyle
516,jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,9300000,Brazil,531700,603300,Music,Info/Business,Music
517,lilnasx,MONTERO,Music,12400000,United States,264900,443300,,Music,
518,tiffanyyoungofficial,tiffany young,Modeling,12900000,Indonesia,340400,425800,Fashion,Beauty/Fashion,Beauty/Fashion
519,kit.connor,Kit Connor,Cinema & Actors/actresses,4500000,United States,739500,1200000,Humor & Fun & Happiness,Entertainment,Entertainment
520,sound_of_coups,COUPS,,4500000,Indonesia,955900,1200000,,,
521,nickjonas,Nick Jonas,Music,33200000,United States,115000,163500,Art/Artists,Music,Entertainment
522,pozevidalouca,Poze Do Rodo 🤑,Lifestyle,8300000,Brazil,259900,652800,,Lifestyle,
523,__youngbae__,TAEYANG,Music,13800000,Indonesia,340200,384300,,Music,
524,nazriyafahadh,Nazriya Nazim Fahadh,Lifestyle,6500000,India,616200,825300,Cinema & Actors/actresses,Lifestyle,Entertainment
525,kingbach,King Bach,Music,23100000,United States,114400,229300,Art/Artists,Music,Entertainment
526,channingtatum,Channing Tatum,Cinema & Actors/actresses,17000000,United States,215000,309900,,Entertainment,
527,lexibrookerivera,Lexi Rivera,Shows,8500000,United States,514800,643900,Humor & Fun & Happiness,Entertainment,Entertainment
528,klaythompson,Klay Thompson,Sports with a ball,13500000,United States,267900,389400,Lifestyle,Sports,Lifestyle
529,angelinajolie,Angelina Jolie,,13600000,Brazil,234100,388600,,,
530,k.kbeom,김범 kimbum,,5500000,Indonesia,796300,973900,,,
531,loud_victor,Victor Augusto,Lifestyle,10700000,Brazil,380700,485000,Sports with a ball,Lifestyle,Sports
532,araujovivianne,Viviane Araujo,Cinema & Actors/actresses,13800000,Brazil,289900,380900,,Entertainment,
533,urstrulymahesh,Mahesh Babu,Cinema & Actors/actresses,8800000,India,538500,592800,,Entertainment,
534,barackobama,Barack Obama,Finance & Economics,35400000,United States,125900,149300,Business & Careers,Info/Business,Info/Business
535,larissamanoela,Larissa Manoela,Cinema & Actors/actresses,47100000,Brazil,65800,109200,,Entertainment,
536,centralcee,📲,Lifestyle,4700000,United Kingdom,449500,1100000,Music,Lifestyle,Music
537,araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️🇦🇲,Beauty,17100000,Turkey,232200,300100,,Beauty/Fashion,
538,mirella,BAD MI ⚡️ MIRELLA,Music,26900000,Brazil,90400,190600,,Music,
539,julesleblanc,julianna,Music,9800000,United States,364700,527600,Shows,Music,Entertainment
540,lucasranngel,LUCAS RANGEL,Lifestyle,20100000,Brazil,115100,254800,,Lifestyle,
