rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
20,sooyaaa__,JISOO🤍,Music,64500000,Indonesia,4600000,5300000,Beauty,Music,Beauty/Fashion
21,uarmyhope,jhope,Art/Artists,39600000,South Korea,7900000,7900000,Music,Entertainment,Music
22,khaby00,Khaby Lame,Sports with a ball,79800000,India,2700000,3700000,,Sports,
23,iamcardib,Cardi B,Music,140800000,United States,1300000,1900000,Fashion,Music,Beauty/Fashion
24,kimkardashian,Kim Kardashian,Fashion,330300000,United States,573100,807000,Beauty,Beauty/Fashion,Beauty/Fashion
25,milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,58500000,Brazil,3400000,4300000,,Entertainment,
26,roses_are_rosie,ROSÉ,Music,63200000,Indonesia,3300000,3800000,,Music,
27,badbunnypr,,Music,43100000,United States,3600000,5600000,,Music,
28,rkive,RM,Lifestyle,38200000,,6100000,6100000,Music,Lifestyle,Music
29,jlo,Jennifer Lopez,Music,221600000,United States,796100,1000000,Cinema & Actors/actresses,Music,Entertainment
30,zayn,Zayn Malik,Music,46900000,India,2800000,4400000,,Music,
31,jungkook.97,전 정국 이올시다,Music,46500000,,4200000,4200000,,Music,
32,instagram,Instagram,Photography,549300000,India,288500,360400,,Lifestyle,
33,bts.bighitofficial,BTS official,Music,67800000,Indonesia,2500000,2800000,,Music,
34,kourtneykardash,Kourtney Kardashian Barker,Lifestyle,197600000,United States,668300,958100,,Lifestyle,
35,champagnepapi,champagnepapi,Music,121100000,United States,854200,1400000,,Music,
36,therock,Dwayne Johnson,Cinema & Actors/actresses,338100000,India,360200,462400,Fitness & Gym,Entertainment,Sports
37,kingjames,👑,Sports with a ball,133000000,United States,623600,1100000,,Sports,
38,narendramodi,Narendra Modi,Finance & Economics,69900000,India,1800000,2000000,Business & Careers,Info/Business,Info/Business
39,khloekardashian,Khloé Kardashian,Clothing & Outfits,272000000,United States,394800,489700,Lifestyle,Beauty/Fashion,Lifestyle
40,shawnmendes,Shawn Mendes,Music,70000000,Brazil,1200000,1800000,,Music,
41,dualipa,DUA LIPA,Music,87000000,United States,1100000,1400000,,Music,
42,dlwlrma,이지금 IU,Art/Artists,27800000,South Korea,3700000,4400000,,Entertainment,
43,eunwo.o_c,차은우,Music,30500000,Indonesia,3100000,3900000,Lifestyle,Music,Lifestyle
44,harrystyles,,Music,47400000,United States,1800000,2400000,Fashion,Music,Beauty/Fashion
45,katrinakaif,Katrina Kaif,Beauty,67300000,India,1400000,1600000,,Beauty/Fashion,
46,nasa,NASA,Science,82900000,India,1100000,1300000,Photography,Tech/Gaming,Lifestyle
47,k.mbappe,Kylian Mbappé,Sports with a ball,72600000,France,975000,1400000,,Sports,
48,adele,Adele,Music,50900000,United States,1400000,2000000,,Music,
49,actorleeminho,이민호 leeminho,Cinema & Actors/actresses,30800000,Indonesia,2500000,3200000,,Entertainment,
50,shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,74900000,India,1100000,1300000,,Entertainment,
51,shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,74900000,India,1100000,1300000,,Entertainment,
52,anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,59800000,India,1400000,1600000,,Entertainment,
53,realmadrid,Real Madrid C.F.,Sports with a ball,125200000,Spain,518700,720800,,Sports,
54,oliviarodrigo,Olivia Rodrigo,Music,27900000,India,2500000,3100000,Cinema & Actors/actresses,Music,Entertainment
55,blakelively,Blake Lively,Cinema & Actors/actresses,35200000,United States,1500000,2300000,,Entertainment,
56,nickiminaj,Barbie,Music,200900000,United States,252500,398800,,Music,
57,handemiyy,Hande Erçel,Cinema & Actors/actresses,28900000,Turkey,2100000,2700000,,Entertainment,
58,georginagio,Georgina Rodríguez,Lifestyle,39200000,India,1400000,2000000,Fashion,Lifestyle,Beauty/Fashion
59,haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,48000000,United States,1200000,1600000,Modeling,Lifestyle,Beauty/Fashion
60,sadiesink_,Sadie Sink,Modeling,24800000,Brazil,2100000,3000000,Lifestyle,Beauty/Fashion,Lifestyle
61,ester_exposito,Ester 🌙,Cinema & Actors/actresses,29200000,Mexico,1700000,2500000,,Entertainment,
62,fcbarcelona,FC Barcelona,Sports with a ball,112300000,Indonesia,417500,636600,,Sports,
63,willsmith,Will Smith,Cinema & Actors/actresses,63500000,United States,926600,1100000,Music,Entertainment,Music
64,johnnydepp,Johnny Depp,Cinema & Actors/actresses,27700000,India,1900000,2500000,Music,Entertainment,Music
65,jongsuk0206,이종석,Cinema & Actors/actresses,23800000,Indonesia,2200000,2900000,,Entertainment,
66,kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,36000000,Mexico,1500000,1800000,Lifestyle,Beauty/Fashion,Lifestyle
67,dovecameron,DOVE,Cinema & Actors/actresses,48300000,United States,1000000,1300000,,Entertainment,
68,beingsalmankhan,Salman Khan,Cinema & Actors/actresses,54300000,India,899100,1200000,Art/Artists,Entertainment,Entertainment
69,bellahadid,Bella 🦋,Modeling,54700000,United States,700700,1100000,,Beauty/Fashion,
70,karimbenzema,Karim Benzema,Sports with a ball,57900000,France,729700,1100000,,Sports,
71,gigihadid,Gigi Hadid,Modeling,75700000,United States,544900,800400,Lifestyle,Beauty/Fashion,Lifestyle
72,bn_sj2013,박서준,Cinema & Actors/actresses,22800000,Indonesia,2200000,2600000,Modeling,Entertainment,Beauty/Fashion
73,lelepons,Lele Pons,Music,49400000,Mexico,759900,1200000,,Music,
74,gal_gadot,Gal Gadot,Cinema & Actors/actresses,86700000,United States,520700,673100,,Entertainment,
75,aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,70000000,India,662300,820100,,Entertainment,
76,ddlovato,Demi Lovato,Music,139500000,United States,318000,411900,,Music,
77,blackpinkofficial,BLΛƆKPIИK,Music,49700000,Indonesia,917700,1100000,,Music,
78,maluma,MALUMA,Music,62900000,Italy,577900,890400,,Music,
79,charlidamelio,charli,Lifestyle,49200000,United States,963100,1100000,Shows,Lifestyle,Entertainment
80,niallhoran,Niall Horan,Music,30500000,United States,1200000,1700000,,Music,
81,zacefron,Zac Efron,Cinema & Actors/actresses,54700000,United States,639500,926600,,Entertainment,
82,virginia,Virginia Fonseca Costa,Shows,39400000,Brazil,819800,1300000,Lifestyle,Entertainment,Lifestyle
83,theweeknd,The Weeknd,Music,43400000,United States,843300,1100000,,Music,
84,madisonbeer,Madison Beer,Music,32600000,United States,1000000,1500000,,Music,
85,chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,56000000,India,667100,859700,,Entertainment,
86,camila_cabello,camila,Music,65300000,Brazil,538900,732700,,Music,
87,realstraykids,Stray Kids,Music,22800000,Indonesia,1700000,2000000,,Music,
88,paulodybala,Paulo Dybala,Sports with a ball,48600000,Argentina,588900,942700,,Sports,
89,dojacat,Doja Cat,Music,24400000,United States,1400000,1900000,,Music,
90,lilireinhart,Lili Reinhart,Cinema & Actors/actresses,28700000,Brazil,1100000,1600000,,Entertainment,
91,robertdowneyjr,Robert Downey Jr. Official,Cinema & Actors/actresses,53200000,India,630800,789500,,Entertainment,
92,oohsehun,SEHUN,Music,23200000,Indonesia,1500000,1800000,,Music,
93,natgeo,National Geographic,Nature & landscapes,239500000,United States,135800,172900,Science,Lifestyle,Tech/Gaming
94,whinderssonnunes,Whindersson Nunes,Humor & Fun & Happiness,58800000,Brazil,457200,704200,,Entertainment,
95,priyankachopra,Priyanka,Cinema & Actors/actresses,82300000,India,409100,497300,,Entertainment,
96,songkang_b,송강,,14800000,Mexico,2000000,2700000,,,
97,chrisevans,Chris Evans,Cinema & Actors/actresses,17800000,United States,1900000,2300000,,Entertainment,
98,vindiesel,Vin Diesel,Cinema & Actors/actresses,82900000,Brazil,377100,488200,,Entertainment,
99,marcelotwelve,Marcelo Vieira,Sports with a ball,58700000,Spain,458100,680300,,Sports,
100,tchalamet,Timothée Chalamet,Cinema & Actors/actresses,18000000,United States,1300000,2200000,,Entertainment,
101,nehakakkar,Neha Kakkar (Mrs. Singh),Music,71100000,India,460200,536900,,Music,
102,iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,30600000,India,976100,1200000,,Entertainment,
103,samantharuthprabhuoffl,Samantha,Beauty,24300000,India,1200000,1500000,Modeling,Beauty/Fashion,Beauty/Fashion
104,championsleague,UEFA Champions League,Sports with a ball,98300000,Brazil,267000,363700,,Sports,
105,twicetagram,TWICE,Music,26700000,Indonesia,1100000,1300000,Modeling,Music,Beauty/Fashion
106,kritisanon,Kriti,Modeling,50800000,India,600100,699000,,Beauty/Fashion,
107,rashmika_mandanna,Rashmika Mandanna,Beauty,33600000,India,915200,1100000,Art/Artists,Beauty/Fashion,Entertainment
108,iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,55700000,Italy,410700,632500,,Sports,
109,ursulolita,Úrsula Corberó ✨,Cinema & Actors/actresses,23600000,Brazil,1000000,1500000,Modeling,Entertainment,Beauty/Fashion
110,hoooooyeony,Hoyeon,Lifestyle,22900000,South Korea,1200000,1500000,Music,Lifestyle,Music
111,433,433,Sports with a ball,51800000,Spain,402800,668700,,Sports,
112,zefelipecantor,Zé,Music,25000000,Brazil,786000,1400000,,Music,
113,mosalah,Mohamed Salah,Sports with a ball,52800000,Egypt,461500,653900,,Sports,
114,antonelaroccuzzo,Antonela Roccuzzo,Modeling,20200000,Argentina,1000000,1700000,Family,Beauty/Fashion,Lifestyle
115,tyga,T-Raww,Music,36800000,United States,619300,925900,,Music,
116,lucas_xx444,LUCAS,Art/Artists,11500000,Indonesia,2400000,3000000,,Entertainment,
117,nike,Nike,Fitness & Gym,238500000,United States,109500,142200,Shopping & Retail,Sports,Beauty/Fashion
118,addisonraee,Addison Rae,Beauty,39800000,United States,538900,831600,,Beauty/Fashion,
119,jacksonwang852g7,Jackson Wang,Music,30100000,China,920900,1100000,,Music,
120,madelame,Madelaine Petsch,Cinema & Actors/actresses,25200000,Russia,901700,1300000,,Entertainment,
121,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,23000000,Brazil,758900,1400000,Lifestyle,Sports,Lifestyle
122,jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,40800000,Brazil,529800,768900,,Entertainment,
123,_rl9,Robert Lewandowski,Sports with a ball,29900000,Poland,819900,1000000,,Sports,
124,alluarjunonline,Allu Arjun,Cinema & Actors/actresses,19300000,India,1300000,1600000,,Entertainment,
125,hi_high_hiy,황인엽,Cinema & Actors/actresses,14800000,South Korea,1800000,2100000,,Entertainment,
126,_jeongjaehyun,Jaehyun,,12500000,Indonesia,2000000,2500000,,,
127,vancityreynolds,Ryan Reynolds,Cinema & Actors/actresses,45300000,United States,514000,676700,,Entertainment,
128,pewdiepie,PewDiePie,Computers & Gadgets,21800000,United States,1200000,1400000,,Tech/Gaming,
129,mrbeast,MrBeast,Shows,20000000,United States,1100000,1500000,Humor & Fun & Happiness,Entertainment,Entertainment
130,dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,53700000,India,454500,559600,Lifestyle,Entertainment,Lifestyle
