#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
68,Manav Manglani @manav.manglani,101.6K,0.57%,India,Entertainment & Music,30.5K
69,Devdutt Padikkal @devpadikkal19,101.3K,5.87%,India,Sports,30.4K
70,National Geographic India @natgeoindia,100.8K,-,India,Nature,30.2K
71,Wasim Ahmad @wasim.r2h,100.7K,1.85%,India,Entertainment & Music,30.2K
72,Mankirt Aulakh (ਔਲਖ) @mankirtaulakh,99.1K,2.58%,India,Entertainment & Music,29.7K
73,Payal Rajput ⭐️ ♾ @rajputpaayal,98.6K,0.27%,India,Fashion & Accessories,29.6K
74,PRINCE YUVIKA NARULA ❤️❤️❤️ @princenarula,96.9K,1.19%,India,Entertainment & Music Romance & Wedding,29.1K
75,Nykaa @mynykaa,94.9K,0.47%,India,Beauty & Self Care,28.5K
76,BJP - Bharatiya Janata Party @bjp4india,94.8K,0.46%,India,Politics,28.5K
77,TSP | The Screen Patti @thescreenpatti,94.5K,0.2%,India,Entertainment & Music Funny,28.3K
78,Ritika Singh @ritika_offl,93.8K,-,India,Fitness & Health Acting & Drama,28.1K
79,Gouri G Kishan @gourigkofficial,93.6K,-,India,Nature,28.1K
80,Nehhaa Malik @nehamalik335,91.1K,0.59%,India,Fashion & Accessories,27.3K
81,Suhani Shah @thesuhanishah,89.9K,0.53%,India,Entertainment & Music,27K
82,UNICEF India @unicefindia,88.8K,0.16%,India,Education Charity,26.6K
83,SheThePeople @shethepeopletv,88.4K,0.18%,India,Women's Empowerment News & Politics,26.5K
84,Gurmeet Choudhary @guruchoudhary,86.4K,0.55%,India,Acting & Drama,25.9K
85,People of India @officialpeopleofindia,84.1K,0.1%,India,Education Life & Society,25.2K
86,𝗚𝗶𝗽𝗽𝘆 𝗚𝗿𝗲𝘄𝗮𝗹 @gippygrewal,83.8K,0.38%,India,Entertainment & Music,25.2K
87,Varun Sood @varunsood12,80.8K,0.4%,India,Acting & Drama,24.2K
88,Rujuta Diwekar @rujuta.diwekar,79.8K,0.36%,India,Fitness & Health Food,23.9K
89,Vikas Khanna @vikaskhannagroup,79.8K,0.22%,India,Food,23.9K
90,Gayatri Bhardwaj @gayatribhardwaj__,79.5K,2.15%,India,Travel Fashion & Accessories Entertainment & Music,23.9K
91,Vir Das @virdas,79.3K,0.37%,India,Entertainment & Music,23.8K
92,SAINA NEHWAL @nehwalsaina,78.1K,0.66%,India,Sports,23.4K
93,Think Music India @thinkmusicofficial,77.8K,0.45%,India,Entertainment & Music,23.3K
94,Stock Market Times @stockmarket_times,77.3K,0.27%,India,Finance,23.2K
95,Dr Heli Daruwalla @heli_daruwala,77.1K,0.59%,India,Entertainment & Music Health & Fitness Food,23.1K
96,Neetu L Bisht @iam_neetubisht_,77.1K,0.99%,India,Entertainment & Music,23.1K
97,Chennai Memes @chennaimemes,75.2K,0.1%,India,Entertainment & Music Funny,22.6K
98,Kritika Khurana @thatbohogirl,74.7K,0.84%,India,Fashion & Accessories,22.4K
99,TANIA @taniazworld,74.6K,2.21%,India,Fashion & Accessories Beauty & Self Care,22.4K
100,Discovery Channel India @discoverychannelin,72.5K,0.17%,India,Entertainment & Music,21.7K
