rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52.9M,-,,,15.9M,youtube,czechia,False,2024,NA,NA,
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52.3M,-,,,15.7M,youtube,czechia,False,2024,NA,NA,
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52.2M,-,,,15.7M,youtube,czechia,False,2024,NA,NA,
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51.7M,1%,,,15.5M,youtube,czechia,False,2024,NA,NA,
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49.9M,-,,,15M,youtube,czechia,False,2024,NA,NA,
35,LooLoo Kids - Nursery Rhymes and Children's Songs @UC4NALVCmcmL5ntpV0thoH6w,49.4M,-,ریاستہائے متحدہ,,14.8M,youtube,czechia,False,2024,NA,NA,
36,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,بھارت,,14.5M,youtube,czechia,False,2024,NA,NA,
37,Taylor Swift @UCqECaJ8Gagnn7YCbPEzWH6g,47.2M,0.4%,,,14.2M,youtube,czechia,False,2024,NA,NA,
38,Fernanfloo @fernanfloo,47.1M,-,ال سلوادور,,14.1M,youtube,czechia,False,2024,NA,NA,
39,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,بھارت,,14M,youtube,czechia,False,2024,NA,NA,
40,Billie Eilish @UCiGm_E4ZwYSHV3bcW1pnSeQ,46.6M,0.7%,ریاستہائے متحدہ,,14M,youtube,czechia,False,2024,NA,NA,
41,JuegaGerman @UCYiGq8XF7YQD00x7wAd62Zg,46.4M,0.4%,چلی,,13.9M,youtube,czechia,False,2024,NA,NA,
42,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45.7M,-,میکسیکو,,13.7M,youtube,czechia,False,2024,NA,NA,
43,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,برازیل,,13.3M,youtube,czechia,False,2024,NA,NA,
44,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44.3M,-,روس,,13.3M,youtube,czechia,False,2024,NA,NA,
45,whinderssonnunes @UC3KQ5GWANYF8lChqjZpXsQw,43.7M,-,,,13.1M,youtube,czechia,False,2024,NA,NA,
46,SonyMusicIndiaVEVO @UC3MLnJtqc_phABBriLRhtgQ,43.6M,-,,موسیقی,13.1M,youtube,czechia,False,2024,Music,MAPPED,music
47,BRIGHT SIDE @UC4rlAVgAK0SGk-yTfe48Qpw,43.4M,-,,فٹنس خبریں,13M,youtube,czechia,False,2024,Sports,MAPPED,Fitness news
48,Katy Perry @UCYvmuw-JtVrTZQ-7Y4kd63Q,43.1M,-,ریاستہائے متحدہ,,12.9M,youtube,czechia,False,2024,NA,NA,
49,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43.1M,-,پیورٹو ریکو,,12.9M,youtube,czechia,False,2024,NA,NA,
50,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,برازیل,,12.9M,youtube,czechia,False,2024,NA,NA,
51,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42.4M,-,ناروے,,12.7M,youtube,czechia,False,2024,NA,NA,
52,Like Nastya Show @UCS94J1s6-qc8v7btCdS2pNg,41.7M,-,ریاستہائے متحدہ,,12.5M,youtube,czechia,False,2024,NA,NA,
53,CarryMinati @carryminati,41.6M,9.2%,بھارت,ویڈیو گیمنگ,12.5M,youtube,czechia,False,2024,Tech&Gaming,MAPPED,Video gaming
54,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,فلپائن,,12.5M,youtube,czechia,False,2024,NA,NA,
55,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,بھارت,مشہور شخصیت,12.4M,youtube,czechia,False,2024,Entertainment,MAPPED,celebrity
56,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,بھارت,موسیقی,12.3M,youtube,czechia,False,2024,Music,MAPPED,music
57,elrubiusOMG @UCXazgXDIYyWH-yXLAkcrFxw,40.4M,1.7%,,,12.1M,youtube,czechia,False,2024,NA,NA,
58,Little Baby Bum - Nursery Rhymes & Kids Songs @UCKAqou7V9FAWXpZd9xtOg3Q,40M,-,ریاستہائے متحدہ,,12M,youtube,czechia,False,2024,NA,NA,
59,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,بھارت,,11.8M,youtube,czechia,False,2024,NA,NA,
60,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39.1M,-,روس,,11.7M,youtube,czechia,False,2024,NA,NA,
61,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38.6M,-,برازیل,,11.6M,youtube,czechia,False,2024,NA,NA,
62,Luisito Comunica @UCECJDeK0MNapZbpaOzxrUPA,38.5M,0.1%,,,11.6M,youtube,czechia,False,2024,NA,NA,
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,بھارت,موسیقی مشہور شخصیت,11.6M,youtube,czechia,False,2024,UNMAPPED,UNMAPPED,موسیقی مشہور شخصیت
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38.3M,-,ریاستہائے متحدہ,,11.5M,youtube,czechia,False,2024,NA,NA,
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38.3M,-,ریاستہائے متحدہ,,11.5M,youtube,czechia,False,2024,NA,NA,
66,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38.1M,0.9%,میکسیکو,,11.4M,youtube,czechia,False,2024,NA,NA,
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,تھائی لینڈ,,11.4M,youtube,czechia,False,2024,NA,NA,
