platform,year,k_groups,n,F,p,eta2
instagram,2022,8,1379,16.091303422169787,1.9278931834410178e-20,0.07592083690466939
instagram,2024,8,5263,23.639853464894504,7.477934920639116e-32,0.0305284782101803
youtube,2022,7,959,24.204404639984116,9.17313865899527e-27,0.13235775602471614
youtube,2026,6,544,22.08831672724333,3.7134280855161545e-20,0.17031847806074008
