,coef,odds_ratio,p,or_ci_lo,or_ci_hi
Intercept,0.6447565276865574,1.9055230306882107,0.07089028220577512,0.9465828464973747,3.8359220578726747
"C(category_unified, Treatment(reference=""Entertainment""))[T.Beauty&Fashion]",-0.24478591147684595,0.7828721242390055,0.052378478758363184,0.6113476023500852,1.0025209235375805
"C(category_unified, Treatment(reference=""Entertainment""))[T.Knowledge&Info]",-0.5254579904283859,0.5912844997035209,0.000681052575390224,0.43665035521536577,0.8006803507973878
"C(category_unified, Treatment(reference=""Entertainment""))[T.Lifestyle]",0.2688987282994663,1.30852261802545,0.09985006288166647,0.9499249947224586,1.802491198143958
"C(category_unified, Treatment(reference=""Entertainment""))[T.Music]",0.04914571518299895,1.0503733949407865,0.7045173411281571,0.8147671003036511,1.354109988471867
"C(category_unified, Treatment(reference=""Entertainment""))[T.Sports]",0.5665776577344522,1.7622257799127645,1.2350252415952059e-05,1.366894459589833,2.271894276549345
"C(category_unified, Treatment(reference=""Entertainment""))[T.Tech&Gaming]",0.18318990622177683,1.2010424718628048,0.38647009831198065,0.793426072849523,1.8180685870804418
"C(category_unified, Treatment(reference=""Entertainment""))[T.UNMAPPED]",0.6591596149856638,1.9331670469476123,0.05635123898618568,0.9823159374060836,3.804412296590117
log_followers,-0.28024667525095026,0.7555973313039684,1.5197715065208927e-07,0.6805409848390925,0.8389315850075796
