platform,year,n,pearson_r,pearson_p,spearman_r,spearman_p
instagram,2022,1379,-0.6848872249226841,1.5285834385225335e-191,-0.7186807863386142,1.517950087025861e-219
instagram,2024,5263,-0.1614061594136354,4.7188598084031756e-32,-0.13858402733559838,5.514471868384606e-24
youtube,2022,962,-0.09282832000598258,0.003955920059763183,-0.08006259960504743,0.01299189368270221
youtube,2026,544,-0.24703679781886717,5.241169080821164e-09,-0.19029687497485595,7.853452967666147e-06
