platform,year_a,year_b,n_a,n_b,median_er_a,median_er_b,t,p
instagram,2022,2024,100,97,0.9340124007986275,0.5,3.9919472395087108,9.630987180336278e-05
youtube,2022,2026,100,100,0.010641364020270251,0.00531347488789235,2.498519935004401,0.013285209461996027
