#,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ID
1,530K,-,Aland Islands,,159K,Islamic Center ,UCp5sPFqliDz5tdjF7tMdiUQ
2,128K,-,Aland Islands,,38.4K,Frank Official ,UCfpNslKsy6tPRJcjcqhgY_Q
3,68.5K,4.3%,Aland Islands,,20.6K,Mystic Media ,UCdGVD4QzNyUrfyX5oiZVtfQ
4,16.5K,12.9%,Aland Islands,,5K,Erik did it ,UCKRSetvAFv7onZEL0DNV6JQ
5,15.7K,-,Aland Islands,,4.7K,Menstrual Cup Bd ,UCIlbyddNbcWrq2Vl-trCMxA
6,14.2K,0.3%,Aland Islands,,4.3K,misterpaj ,UC7T6Sb0V1SGF5oHv0fsePmA
7,12.8K,-,Aland Islands,News,3.8K,Drag Motor2 ,UC_Cl3TOBb2PP6Is5-aWDmfA
8,9.5K,-,Aland Islands,,2.9K,Verbs describe us #culturacastildeviata #artgoeson ,UC10IxWOG3EiOQ_Zoq2XpOLg
9,9.3K,-,Aland Islands,,2.8K,Ma chinery ,UC0DsjQ0YnzFycEyYWxbbCfg
10,9K,0.1%,Aland Islands,,2.7K,FaithfulBerean ,UCJpxoRoemhS_FgSRXw30zrg
11,8.1K,-,Aland Islands,,2.4K,قصة كل يوم ,UCUFKKwZH9Vlj3FWutvsthow
12,5.4K,-,Aland Islands,,1.6K,Chentra Vuth ,UCKcvMBwScPyR6fNbg4jSw_g
13,3.6K,-,Aland Islands,,1.1K,Eternal Energy ,UCu6-52n67n2XrpQm5AWDwAg
14,2.2K,-,Aland Islands,,660,Miha Hilma ,UCHv4RPknnMheRoiJ9Q4BMsA
15,2.1K,0.3%,Aland Islands,,639,اعرف وتثقف ,UCtCx16JYpV529Uj0m2Qawsg
16,1.4K,30.8%,Aland Islands,,429,Rambo ,UCzUruRlxbkflQezHnjB-BUw
17,1.3K,0.2%,Aland Islands,,384,Збс Сериалы ,UC_3yFhNgvH5cltGQaupMt6g
18,1.2K,2.4%,Aland Islands,,357,Johan Tronestam ,UCDZmjfcKPfNyy0tnTDaJznw
19,1.1K,26.5%,Aland Islands,,327,stacksmaestro ,UCkiGR7ao-u4mFetMLPgrD_w
20,1.1K,-,Aland Islands,,324,morg ,UCIO6wlknzhuVXVCaASN94eQ
