rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
15,Mads Peter Iversen Photography @madspeteriversen_photography,1.1M,0.43%,Denmark,Photography Arts and Crafts Landscaping Nature & Outdoors,319.4K,instagram,denmark,False,2024,Lifestyle,MAPPED
16,Rene Redzepi @reneredzepinoma,1M,1.18%,Denmark,Food Chef,306.2K,instagram,denmark,False,2024,Lifestyle,MAPPED
17,Zakia Abid @zikalooks,1M,1.41%,Denmark,Beauty and Self Care Fashion and Accessories Food and Drink,305K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
18,Kasper Schmeichel @kasperschmeichel,1M,2.02%,Denmark,Sports,303.5K,instagram,denmark,False,2024,Sports,MAPPED
19,Tülin Şahin @tulinsahinofficial,1M,0.35%,Denmark,Fashion and Accessories,301K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
20,Viktor Axelsen @viktoraxelsen,862.2K,2.91%,Denmark,Outdoor Activity Sports Fitness and Health Tennis,258.6K,instagram,denmark,False,2024,Sports,MAPPED
21,Simon Kjær @simonkjaer.official,828K,15.7%,Denmark,Sports,248.4K,instagram,denmark,False,2024,Sports,MAPPED
22,Andrea Preti @andreapreti88,733.5K,17.46%,Denmark,Acting and Drama Celebrity Actors Lifestyle,220.1K,instagram,denmark,False,2024,Entertainment,MAPPED
23,Jonas Vingegaard @jonasvingegaard,671.4K,17.77%,Denmark,Sports,201.4K,instagram,denmark,False,2024,Sports,MAPPED
24,S O F I E L I N D E @sofielinde1,665.1K,2.03%,Denmark,Home and Garden Events Design Interior Design,199.5K,instagram,denmark,False,2024,Entertainment,MAPPED
25,Lukas Graham @lukasgraham,655.7K,1.1%,Denmark,Singer Music Songwriting,196.7K,instagram,denmark,False,2024,Music,MAPPED
26,DET DANSKE KONGEHUS 🇩🇰 @detdanskekongehus,654.6K,2.52%,Denmark,Design Interior Design,196.4K,instagram,denmark,False,2024,Lifestyle,MAPPED
27,Stephanie Karma Salvarli🕊 @geggo,635.6K,3.77%,Denmark,Design Interior Design Fashion,190.7K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
28,Jesper Søndergård Krogh @jespersoendergaard,587K,5.6%,Denmark,Fashion and Accessories Lifestyle Styling,176.1K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
29,ANDREA RODRIGUEZ @andreasbook,554.7K,17.89%,Denmark,,166.4K,instagram,denmark,False,2024,NA,NA
30,ISABELLA @isabella,516.4K,0.7%,Denmark,News Music Singer Celebrities,154.9K,instagram,denmark,False,2024,Knowledge&Info,MAPPED
31,Herrelandsholdet @herrelandsholdet,515K,2.04%,Denmark,Sports,154.5K,instagram,denmark,False,2024,Sports,MAPPED
32,Sophia Roe @sophiaroe,508.5K,0.34%,Denmark,Fashion and Accessories Hair & Beauty Design Celebrities,152.5K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
33,AMANDA MARIE @amandampn,490.8K,3.83%,Denmark,Fashion and Accessories,147.2K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
34,Linse Kessler @linsekesslerofficiel,489.2K,0.66%,Denmark,Entertainment and Music family Design Interior Design,146.8K,instagram,denmark,False,2024,Music,MAPPED
35,Pierre-Emile Højbjerg @hojbjerg23,479.8K,7.75%,Denmark,,143.9K,instagram,denmark,False,2024,NA,NA
36,Peter Corp @petercorp,471.4K,0.06%,Denmark,Entertainment and Music Celebrity Music Modeling,141.4K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
37,⚔️The Vikings | ⚔️ ©️ @vikings.the,460.8K,1.91%,Denmark,Entertainment and Music Television,138.2K,instagram,denmark,False,2024,Music,MAPPED
38,Fie Laursen @fielaursens,444.3K,9.4%,Denmark,,133.3K,instagram,denmark,False,2024,NA,NA
39,Lida @iliridakrasniqi,421.6K,1.28%,Denmark,Education Product Education Celebrities Hair & Beauty,126.5K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
40,Fedja Salihbasic @felecool,399.2K,0.15%,Denmark,Travel Photography Architecture Nature & Outdoors,119.8K,instagram,denmark,False,2024,Lifestyle,MAPPED
41,P H I L I N E P I @philineroepstorff,393.6K,0.59%,Denmark,Fashion and Accessories Styling Modeling,118.1K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
42,Mette Frederiksen @mette,386.2K,2.4%,Denmark,,115.9K,instagram,denmark,False,2024,NA,NA
43,Mark Wosgerau @markwosgerau,382.6K,0.29%,Denmark,Art,114.8K,instagram,denmark,False,2024,Lifestyle,MAPPED
44,Amalie Moosgaard Nielsen @amaliemoosgaard,369.4K,1.85%,Denmark,Fashion and Accessories Arts and Crafts Modeling,110.8K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
45,Maja Vase @majachocolat,368.5K,3.15%,Denmark,Food Recipes Chef Cooking,110.6K,instagram,denmark,False,2024,Lifestyle,MAPPED
46,EyeGalore™ 🇩🇰 @eyegalore,365.5K,1.16%,Denmark,Beauty and Self Care Lifestyle Modeling Celebrities,109.7K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
47,Nicky Andersen @nickyandersen,364.8K,4.56%,Denmark,Arts and Crafts,109.4K,instagram,denmark,False,2024,Lifestyle,MAPPED
48,Christiane Schaumburg-Müller Aaxman @christianesm,362.8K,0.44%,Denmark,Fashion and Accessories Actors Design Interior Design,108.8K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
49,Dennis @5000dennis_nature,361.4K,0.72%,Denmark,,108.4K,instagram,denmark,False,2024,NA,NA
50,DANIELLA JONES @dandanjones,357.7K,1.31%,Denmark,Art Design Celebrities,107.3K,instagram,denmark,False,2024,Entertainment,MAPPED
