#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
81,Sr._Chan @sr.chan,1.2M,-,Spain,,360K
82,LOS_PANAS @four_panas,1.2M,-,Spain,Fashion and Accessories,360K
83,Bea Ruiz @btriixx,1.2M,-,Spain,Entertainment and Music,360K
84,donkoglo @donkoglo,1.1M,0.1%,Spain,Sports,330K
85,Noemí Pérez @om_makeup_artist,1.1M,-,Spain,Arts and Crafts,330K
86,⭕️ Iván Cobos 🔴 @ivan_cobos,1.1M,-,Spain,,330K
87,🧿EZTHER🧿 @ezther__,1.1M,-,Spain,Beauty and Self Care Entertainment and Music,330K
88,Rebeca Jimenez @rebejimenez28,1.1M,-,Spain,,330K
89,didactilam @didactilam,1.1M,-,Spain,,330K
90,Carlos Churches @elchurchesoficial,1M,-,Spain,,300K
91,Nuria Castelló @lokyfamylytoy,1M,-,Spain,family,300K
92,Estels @__estels,999.8K,-,Spain,,299.9K
93,Quincy @quincyazzario,987.5K,-,Spain,,296.3K
94,hugedo @hugedo,986.1K,-,Spain,,295.8K
95,Trappeal @trappeal,985.7K,0.1%,Spain,,295.7K
96,Ismael Rodriguez @ism_rodri_,984.6K,-,Spain,,295.4K
97,Y 𐌡 Ξ L @dm_yael,979.3K,0.1%,Spain,,293.8K
98,Llobeti4 @llobeti4_,977K,-,Spain,,293.1K
99,Arantza N @arantzanvm,976.3K,0.2%,Spain,,292.9K
100,Davide Morana @davide_morana,972.5K,0.7%,Spain,,291.8K
