rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
87,Zach @itszacharias,404400.0,,Netherlands,,121300.0,tiktok,netherlands,False,2024,,
88,Aimane Charbon @charbonnn,400700.0,0.7,Netherlands,Entertainment and Music,120200.0,tiktok,netherlands,False,2024,Music,MAPPED
89,Sander VS @sandervs_,397200.0,,Netherlands,,119200.0,tiktok,netherlands,False,2024,,
90,Nina @lotteschx,395300.0,,Netherlands,,118600.0,tiktok,netherlands,False,2024,,
91,Enya van Egmond 🇳🇱 @bionic_pippi,389100.0,,Netherlands,,116700.0,tiktok,netherlands,False,2024,,
92,minamies❤💘💋 @loveley.mina,385300.0,,Netherlands,Beauty and Self Care,115600.0,tiktok,netherlands,False,2024,Beauty&Fashion,MAPPED
93,Noortjefaas @mssfaas,384700.0,,Netherlands,,115400.0,tiktok,netherlands,False,2024,,
94,Rituka Dahal @ritukadahal,384000.0,,Netherlands,,115200.0,tiktok,netherlands,False,2024,,
95,Thomas Van Der Vlugt @thomasstuktv,383100.0,,Netherlands,,114900.0,tiktok,netherlands,False,2024,,
96,Connection Interrupted @connectioninterrupted,382700.0,,Netherlands,,114800.0,tiktok,netherlands,False,2024,,
97,Animeeditss1999 @animeeditss..1999,381000.0,,Netherlands,,114300.0,tiktok,netherlands,False,2024,,
98,Cordelia 🍀 @lord.cord,380800.0,,Netherlands,Entertainment and Music Education,114200.0,tiktok,netherlands,False,2024,Knowledge&Info,MAPPED
99,dilaratelecom @dilaratelecom,379700.0,0.7,Netherlands,Product Education,113900.0,tiktok,netherlands,False,2024,Knowledge&Info,MAPPED
100,شيف حسين @chefhussein3,378300.0,,Netherlands,,113500.0,tiktok,netherlands,False,2024,,
