rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
52,lil boosty,26200,0.4,Afghanistan,,7900,,@UChF-9hFpxxiKWNa6pM7Dc3A
53,Kabul Media Plus,25800,,Afghanistan,,7700,,@UCvk0ft9BGaTaXVEoreGVtCQ
54,DentalManiaK,25200,,Afghanistan,,7600,,@UCit_XEO1XMt0WlA_a5Y25ZA
55,Xolabaj TV2,25100,,Afghanistan,,7500,,@UCGTHibrua-lSpcpGgyBCE9Q
56,Chu Diệp Anh,24800,,Afghanistan,,7400,,@UCPbJYaZBJIDynXNd_Vtqfbg
57,Doctor داکتر,24000,,Afghanistan,,7200,,@UC0qsaOMutKk6VoMi8c45frw
58,Didar Music,22700,,Afghanistan,Music,6800,Music,@UCms9SuykkUS66D2wr3D2G1w
59,A Erfan,19600,0.2,Afghanistan,,5900,,@UCLroplcRBhrL_pzKN7pDehQ
60,Pashto Entertainment Entertainment,19400,1.1,Afghanistan,Celebrity,5800,Entertainment,@UC5o5At6pto0EYYa0-m3GIiA
61,Pets Best Fun,18900,,Afghanistan,,5700,,@UCSe4NsHq9CEwbinTZhH5oEw
62,TODAY PTM,18900,,Afghanistan,Music,5700,Music,@UCyAwbVG39nYFTh1RJ8Ag73A
63,Travel Ethiopia-ጉዞ ኢትዮጵያ,18500,0.2,Afghanistan,,5600,,@UC3AVLFaRHhJi8TYHXuw6rYg
64,Crowleyyyy,18100,,Afghanistan,,5400,,@UCvaibZQAjLeMnKloRNfIM7A
65,Green Swag,17600,0.1,Afghanistan,,5300,,@UCUbooQPiOb0tvcoC8jQEbvA
66,สหพันธรัฐไทใจเดียวกัน,17400,,Afghanistan,,5200,,@UCafatHX_lK7e5nKKD9fv8lg
67,kabir khostwall,17200,0.3,Afghanistan,,5200,,@UCgeArVN-G7oPaCH8XWiJ-ag
68,yeej kim HD1080,17000,0.3,Afghanistan,,5100,,@UCaC0gNyPXC1BU0xj0GDH7KA
69,Clavis,16100,33.9,Afghanistan,,4800,,@UCwOYuwj9e2lFKviz7Ibfspg
70,Larawbar.com,15400,,Afghanistan,,4600,,@UCbGnZAj8xrqEx02UNZlh2_Q
71,H.H.,14700,,Afghanistan,,4400,,@UCldDfGERobpud27NzSohlPg
72,کانال ساده ترین آموزشها,13900,,Afghanistan,,4200,,@UCMRsuS4OuP5MHIJRAHMbUxg
73,Pashto Islami,13300,,Afghanistan,,4000,,@UCzVuHmw6-BcQqXH5W40HORw
74,High Council for National Reconciliation,13200,,Afghanistan,,4000,,@UCiHoMDXJQboJy1UEN-hBU9A
