rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
31,Q Park,35200000,,,,10600000,,@qpark
32,GIL CROES,35100000,,,Entertainment and Music,10500000,Music,@gilmhercroes
33,Kevin Hart,34800000,1.7,United States,Entertainment and Music,10400000,Music,@imkevinhart
34,Kirya Kolesnikov,34700000,,,Entertainment and Music Funny,10400000,Music,@thekiryalife
35,arianagrande,34400000,,,Entertainment and Music,10300000,Music,@arianagrande
36,Pongámoslo a Prueba,34200000,,,,10300000,,@pongamoslo_a_prueba
37,ThatLittlePuff,33500000,0.6,,Pets,10100000,Lifestyle,@thatlittlepuff
38,Montpantoja,33300000,,,,10000000,,@montpantoja
39,Devon Rodriguez,32100000,0.2,United States,Arts and Crafts Education Upskilling,9600000,Info/Business,@devonrodriguezart
40,Bad Bunny,31800000,18.4,Puerto Rico,,9500000,,@badbunny
41,Brooke Monk,31700000,2.1,United States,Entertainment and Music Funny,9500000,Music,@brookemonk_
42,Indi skovar,31600000,0.4,,Entertainment and Music,9500000,Music,@indiskovar3.0
43,Lele Pons,31500000,0.9,United States,,9500000,,@lelepons
44,Stokes Twins,31200000,,United States,Entertainment and Music,9400000,Music,@stokestwins
45,Kira Kosarin,31100000,0.7,,Entertainment and Music,9300000,Music,@kirakosarin
46,La Rosalia,30900000,,Spain,,9300000,,@rosalia
47,Alejandro Nieto,30400000,,Colombia,,9100000,,@soybans
48,Michel Chavez,30200000,,Mexico,,9100000,,@its.michhh
49,Liza Koshy,30200000,,United States,,9100000,,@lizzza
50,beca,29200000,1.0,Brazil,Travel,8800000,Lifestyle,@beca
51,Topper Guild,29000000,,United States,Entertainment and Music Celebrity,8700000,Music,@topperguild
52,Ignacia Antonia👑,28200000,,Chile,Beauty and Self Care,8500000,Beauty/Fashion,@ignaciaa_antonia
53,Camilo,28000000,,,Entertainment and Music,8400000,Music,@camilo
54,Daniel Ibarra,27600000,,,Entertainment and Music,8300000,Music,@juandaniel.ibarra
55,시아지우 sia_jiwoo,27500000,0.2,South Korea,,8300000,,@sia_jiwoo
56,Lexi Rivera,27100000,4.5,,,8100000,,@lexibrookerivera
57,KEEMOKAZI,27000000,,,Entertainment and Music,8100000,Music,@keemokazi
58,psg,26700000,,,Sports,8000000,Sports,@psg
59,JeisonGiraldo,26300000,,,family Romance and Wedding,7900000,Lifestyle,@jeison_giraldo
60,JeanCarlo Leon,26300000,,,,7900000,,@jashlem
61,Jimena,26100000,1.2,,Funny,7800000,Entertainment,@jimena.jimenezr
62,Doja Cat,26000000,0.1,United States,Entertainment and Music,7800000,Music,@dojacat
63,Bader Al Safar,26000000,,Kuwait,Fashion and Accessories,7800000,Beauty/Fashion,@baderalsafar
64,DAVID DOBRIK,26000000,,United States,Entertainment and Music Funny,7800000,Music,@daviddobrik
65,LARRAY,25900000,,,Entertainment and Music,7800000,Music,@larrayeeee
66,Era Ays,25900000,,,,7800000,,@era_ays
67,Karla Bustillos ❤️,25700000,0.1,,,7700000,,@karla.bustillos
68,BORREGO,25700000,4.6,,,7700000,,@lagranjadelborrego
69,Arnaldo Mangini,25400000,,,Beauty and Self Care Funny,7600000,Beauty/Fashion,@arnaldomangini
70,Jaykindafunny,25400000,,,Funny,7600000,Entertainment,@jaykindafunny8
71,Malu Trevejo,25200000,,,,7600000,,@malutrevejo
72,AriGameplays,25100000,1.0,,Games,7500000,Tech/Gaming,@arigameplays
73,Dina,24900000,0.6,,,7500000,,@dina
74,DonaldDucc 🦆,24700000,,,Animals,7400000,Lifestyle,@donaldducc
75,adrilatinatv,24500000,,,,7400000,,@adrilatinatv
76,Victor Melo,24500000,,,,7400000,,@victormelo
77,Chingu Amiga,24100000,,,Food Beauty and Self Care,7200000,Beauty/Fashion,@chinguamiga
78,Terry Crews,24100000,0.4,United States,Entertainment and Music Celebrity,7200000,Music,@terrycrews
79,The Mannii Show,24000000,0.8,,Entertainment and Music Funny,7200000,Music,@the_mannii
80,Jacob Sartorius,23700000,,United States,Entertainment and Music,7100000,Music,@jacobsartorius
81,Luara,23600000,0.6,,,7100000,,@luara
82,Nicolle Figueroa,23400000,5.1,,,7000000,,@nicollefigueroaa
83,Ryan Reynolds,22900000,8.5,Canada,,6900000,,@vancityreynolds
84,Lauren Godwin,22600000,0.3,United States,Entertainment and Music family,6800000,Music,@laurengodwin
85,mingweirocks,22500000,,,,6800000,,@mingweirocks
86,Cardi B,22400000,8.0,,,6700000,,@iamcardib
87,Latiktokeuse869,22200000,,,Funny Entertainment and Music,6700000,Music,@latiktokeuse869
88,Mackenzie Ziegler,22100000,,,,6600000,,@mackenzieziegler
89,Lance Stewart,22100000,,United States,Entertainment and Music,6600000,Music,@lance210
90,Anitta,22100000,0.8,,,6600000,,@anitta
91,Marrkadams,22100000,,,,6600000,,@marrkadams
92,ROMINA,22000000,0.2,United States,Entertainment and Music,6600000,Music,@rominagafur
93,창하CHANGHA,22000000,,,,6600000,,@chang._.a
94,josi,21900000,,,Funny,6600000,Entertainment,@jmartineze_
95,Caín Guzmán,21900000,,,Entertainment and Music,6600000,Music,@cainguzman
96,Bryce Hall,21500000,,United States,Entertainment and Music,6500000,Music,@brycehall
97,온오빠 On Oppa,21500000,,,Entertainment and Music,6500000,Music,@korea.on
98,Seany,21300000,,,,6400000,,@seandoesmagic
99,Pk,21300000,2.6,,,6400000,,@pkllipe
100,The Hype House,21100000,,,Entertainment and Music,6300000,Music,@thehypehouse
1,Semiraminta,12700000,0.4,Turkey,,3800000,,@semiraminta
2,Çağla Şimşek,6000000,,Turkey,,1800000,,@caglassimsek
3,Tugce Demir,5600000,,Turkey,Beauty and Self Care,1700000,Beauty/Fashion,@tugcedmr61
4,Şırdancı Mehmet,5600000,,Turkey,Home and Garden,1700000,Lifestyle,@sirdancimehmet
5,EDA KÖK,5000000,2.9,Turkey,,1500000,,@edakok59
6,Ece Mumay,3900000,,Turkey,Entertainment and Music,1200000,Music,@ecemumay
7,Ahmet Can Dündar,3700000,,Turkey,,1100000,,@heypoper
8,AYDA KUTAY,3600000,,Turkey,Education Entertainment and Music,1100000,Music,@aydakutay
9,Faruk Cheff,3600000,,Turkey,Food,1100000,Lifestyle,@faruk_cheff
10,👑 bebetoyildirim 👑,3400000,,Turkey,,1000000,,@bebeto.yildirim
11,Aslı Güler,2600000,,Turkey,Entertainment and Music,780000,Music,@asliguler
12,İsmail YK,2500000,3.6,Turkey,,750000,,@ismailyk
13,Tuğba Güvenir,2500000,,Turkey,,750000,,@tugbarones
14,𝔢𝔪𝔯𝔞𝔫 𝔡𝔢𝔩i,2500000,0.3,Turkey,,750000,,@emomen1_
15,DERDO,2400000,,Turkey,,720000,,@derdo.00
16,TUBA GEÇKİL,2300000,,Turkey,Food Arts and Crafts,690000,Lifestyle,@redrosecake_tubageckil
17,emelrsho,2300000,,Turkey,,690000,,@emelrsho20
18,Kubra.dagli,2200000,,Turkey,Sports,660000,Sports,@kubra.dagli
19,👑 Anıl Diricanlı 👑,2100000,,Turkey,Entertainment and Music,630000,Music,@anildiricanli
20,Thịnh Sếu Daily,2000000,,Turkey,Entertainment and Music,600000,Music,@thinhseu.daily
21,TARIK YILDIRIM ☑️,1900000,0.1,Turkey,,570000,,@tarik.yldrm21
22,ПАПИНА ДОЧКА❤️,1800000,,Turkey,,540000,,@angel_petrova
23,🦁 Can Yıldırım 🦁,1800000,,Turkey,,540000,,@_canalf
24,Nazan tutal,1800000,,Turkey,,540000,,@nazobellm
25,Turk Tk,1800000,,Turkey,,540000,,@turk_tk
26,Yemekneredeyenircom,1800000,,Turkey,,540000,,@yemekneredeyenir
27,Ayhan Genç,1700000,,Turkey,,510000,,@ayhangenc_
28,Red Bull Türkiye,1500000,,Turkey,,450000,,@redbulltr
29,🐾kül_kedisi🐾,1500000,,Turkey,,450000,,@berivan_kara_3478
30,Lina Ruess,1500000,0.3,Turkey,Outdoor Activity Sports,450000,Sports,@lina_ruess
31,✂️ لؤي...الحلاق ✂️,1500000,,Turkey,,450000,,@luay....berber
32,KARADENİZLİ MACERACI,1400000,0.1,Turkey,Outdoor Activity,420000,Lifestyle,@karadenizli.maceraci
33,Nikol YERTUTAN🇹🇷,1400000,,Turkey,,420000,,@nikolyertutann
34,يوسف ANSARE,1400000,,Turkey,,420000,,@xansarex
35,ACAR AİLESİ👨‍👩‍👧‍👧,1400000,,Turkey,,420000,,@aytachalideacar
36,YAZI YOLCUSU,1400000,,Turkey,,420000,,@yaziyolcusu
37,TikTok Türkiye,1300000,,Turkey,Entertainment and Music,390000,Music,@tiktok_turkey
38,Halil & Hilal,1300000,,Turkey,family,390000,Lifestyle,@halil10hilal
39,YUNUS EMRE,1300000,,Turkey,,390000,,@yunusjre
40,KENAN ESENBOĞA,1300000,,Turkey,Life and Society,390000,Lifestyle,@kenan.esenboga
41,Elisa,1200000,,Turkey,,360000,,@elisadurulayy
42,Reşit Zeynelabidin,1200000,,Turkey,,360000,,@resit.zn
43,mackolik,1200000,0.2,Turkey,Entertainment and Music Sports,360000,Sports,@mackolik
44,Kemal Çelik,1200000,0.1,Turkey,,360000,,@kemalokko.03
45,Ömer Çetin,1200000,,Turkey,,360000,,@relaxi
46,Fatma Sari Zar,1200000,0.4,Turkey,Beauty and Self Care,360000,Beauty/Fashion,@fatmasariz
47,muratsungurtekin01,1100000,0.1,Turkey,Entertainment and Music,330000,Music,@muratsungurtekin0
48,Istanbuly,1100000,,Turkey,,330000,,@istanbuly
