rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
41,kishinpain @UCzG9rE-_zcI0yN5Vvt39M_w,2.1M,1.6%,Italy,,633K,youtube,italy,False,2024,NA,NA
42,CoccoleSonore @UCfEcBFEBd8DutdOo8NXpj_w,2.1M,-,Italy,,630K,youtube,italy,False,2024,NA,NA
43,WB Kids Italiano @UCSMrqS8IssKKIILuz48IGSA,2M,0.1%,Italy,,615K,youtube,italy,False,2024,NA,NA
44,GiampyTek @UCDz3CjAc51W-YtsxYtSPZXg,2M,0.6%,Italy,,612K,youtube,italy,False,2024,NA,NA
45,Sespo @UCMsWbGu0Ahx6c4o0qEbbLmw,2M,0.6%,Italy,,612K,youtube,italy,False,2024,NA,NA
46,fazz160 @UCNLReGxOCGDExjb7pjPuPcA,2M,-,Italy,,606K,youtube,italy,False,2024,NA,NA
47,Awed ™ @UCQQo9hHxHi8gzfFuJSn5-kg,2M,1.3%,Italy,,603K,youtube,italy,False,2024,NA,NA
48,Sfera Ebbasta @UCMG7SfUy9pOybrhXEhEkdVQ,2M,-,Italy,,594K,youtube,italy,False,2024,NA,NA
49,Riccardo Dose @UCM3r1mXf1sQRdW3UDz3CLBg,2M,1.5%,Italy,,591K,youtube,italy,False,2024,NA,NA
50,Planet Records Official @UCCXpJXESxS2GPzteN-s3jrA,2M,0.5%,Italy,Music,588K,youtube,italy,False,2024,Music,MAPPED
51,Jakidale @UCz-KJn98sMCPW5kjG0ZnE-Q,1.9M,-,Italy,,567K,youtube,italy,False,2024,NA,NA
52,Lamborghini @UC9DXZC8BCDOW6pYAQKgozqw,1.9M,-,Italy,,567K,youtube,italy,False,2024,NA,NA
53,LOKMAN @UC62pVrrS3crLJXwVmenKAuA,1.9M,-,Italy,,561K,youtube,italy,False,2024,NA,NA
54,SpJockey @UC1GAMi8OhcorAwIEvYMdySA,1.8M,0.5%,Italy,,552K,youtube,italy,False,2024,NA,NA
55,Kids Tv Italiano - canzoni per bambini @UCv2quJy0NKOIA3MOdtarxig,1.8M,-,Italy,,549K,youtube,italy,False,2024,NA,NA
56,Me contro Te Music @UCwjrf475hoHRJZc5SMnZzng,1.8M,3.7%,Italy,,543K,youtube,italy,False,2024,NA,NA
57,Diego Rox Oficial @UCZcpoE-o9lKEa_F2orF4D3w,1.8M,0.8%,Italy,,540K,youtube,italy,False,2024,NA,NA
58,Energy TV @UC5eYHWDQqAsiKlnvLCz-ezg,1.8M,-,Italy,,531K,youtube,italy,False,2024,NA,NA
59,Luca Lattanzio @UC2ICoQB9ulLpElbQTf1IR9w,1.8M,-,Italy,,531K,youtube,italy,False,2024,NA,NA
60,Feinxy @UCMNFWE0hUtrWPVY0I1qIC4Q,1.8M,0.3%,Italy,,528K,youtube,italy,False,2024,NA,NA
61,Gianmarco Zagato @UCIJRzMxARIhYwuLiSG8YVlA,1.8M,0.5%,Italy,,528K,youtube,italy,False,2024,NA,NA
62,GBR - Giochi per Bambini e Ragazzi @UC-fqetpMe8rFuBeQ4bpl3Jw,1.7M,0.1%,Italy,,516K,youtube,italy,False,2024,NA,NA
63,JOk3R @UC8zerSNZ6ankNbtTgI5Rw2Q,1.7M,-,Italy,,516K,youtube,italy,False,2024,NA,NA
64,Fabio Rovazzi @UCVD7R3rgt7kaLMlP7-Gn0rw,1.7M,5.2%,Italy,,513K,youtube,italy,False,2024,NA,NA
65,Grax @UCD1iDvLrcf0RwYOM_3_FIbA,1.7M,0.3%,Italy,,510K,youtube,italy,False,2024,NA,NA
66,GaBBoDSQ @UCck1Wrv-6h44db16OL4geOQ,1.7M,-,Italy,,510K,youtube,italy,False,2024,NA,NA
67,Luis @UCOJX435vN5rW1EE-w71tetQ,1.7M,5.3%,Italy,,501K,youtube,italy,False,2024,NA,NA
68,TPOC Plays @UCvDUogE-9kyjbKxxyBGj_4g,1.7M,-,Italy,,501K,youtube,italy,False,2024,NA,NA
69,Famiglia Suricata @UCZbWaNAOp0gZC8rAj3Wjxyg,1.6M,-,Italy,,492K,youtube,italy,False,2024,NA,NA
70,DinsiemE @UC0zUezMTgb3yqxwFz2djmYw,1.6M,0.2%,Italy,,489K,youtube,italy,False,2024,NA,NA
71,Marjia Mimi @UCv5D3kIYeNlgiA2vZ0XYdMQ,1.6M,-,Italy,,483K,youtube,italy,False,2024,NA,NA
72,Mattiz @UCIwWkPe5yq_jq1_1d2bC05w,1.6M,-,Italy,,483K,youtube,italy,False,2024,NA,NA
73,Sbriser @UCL774lR4nQzxfK-q9a6JHMw,1.6M,-,Italy,,465K,youtube,italy,False,2024,NA,NA
74,Asmr With Sasha @UCzp8yn9rUEHL-jqJdSFEONw,1.6M,0.2%,Italy,,465K,youtube,italy,False,2024,NA,NA
75,AlexKidsTV Italiano @UChslgp5EVigKTI7LjkZltpw,1.5M,0.3%,Italy,,462K,youtube,italy,False,2024,NA,NA
76,GommeBlog.it: Car & Performance @UCl5ijI4ZXN2ki7PeQajbFrA,1.5M,-,Italy,,459K,youtube,italy,False,2024,NA,NA
77,CaptainBlazer @UCpqjHfsP7Ptt8UpbdZ8oSdg,1.5M,0.3%,Italy,,459K,youtube,italy,False,2024,NA,NA
78,Giallozafferano recipes @UC76vuUkGWnPUDFWcgM2_yMg,1.5M,-,Italy,,456K,youtube,italy,False,2024,NA,NA
79,Ricette dolci @UCeLJCiGRIZuj8N8TKJAveVA,1.5M,0.2%,Italy,,456K,youtube,italy,False,2024,NA,NA
80,SAFAA @UCLcXeKotX5iu7nIjDUkRUyQ,1.5M,-,Italy,,456K,youtube,italy,False,2024,NA,NA
81,yotobi @UCIPsK5xspHC3-ZFNPTx2X_w,1.5M,-,Italy,,450K,youtube,italy,False,2024,NA,NA
82,Silvia & Kids @UCbZ3zgWBMHZetLCWyMbzrFw,1.5M,0.1%,Italy,,444K,youtube,italy,False,2024,NA,NA
83,Klaus @UCv9mVb-ptWuKznMUu1yZb_g,1.5M,2.1%,Italy,,444K,youtube,italy,False,2024,NA,NA
84,LorenzIST @UCRXg7QtCY1K2k4IdtLnrE4A,1.5M,-,Italy,,441K,youtube,italy,False,2024,NA,NA
85,Stef&Phere @UCARGfPTYHpP6M21SYsTy6pg,1.5M,0.8%,Italy,,441K,youtube,italy,False,2024,NA,NA
86,FRENCHMOLE @UCNcv_YXlMmKmEBaNqOpMEYA,1.5M,0.8%,Italy,,435K,youtube,italy,False,2024,NA,NA
87,Peppa Pig Italiano - Canale Ufficiale @UCS1SHyxP0UhAg84AKamy3jA,1.5M,-,Italy,,435K,youtube,italy,False,2024,NA,NA
88,S7ORMy @UC4fLWR5uoe66S8spSO3V0gw,1.4M,0.4%,Italy,,432K,youtube,italy,False,2024,NA,NA
89,sodin @UC8SRCEyQvw2yF9TLIBeOlVQ,1.4M,0.1%,Italy,,426K,youtube,italy,False,2024,NA,NA
90,Fitness recipes @UC-nw1PHhZL0W21S8UN85b8w,1.4M,1.1%,Italy,,426K,youtube,italy,False,2024,NA,NA
91,Casa delle Bambole @UCGZu4bm64Xjh-omIcqiqmSA,1.4M,-,Italy,,414K,youtube,italy,False,2024,NA,NA
92,GoldenGianpy @UCiof9YSQHD2cawGJXZ8DyBA,1.4M,0.3%,Italy,,414K,youtube,italy,False,2024,NA,NA
93,Infinito @UCFG6NvNAkXfe-C3cemqTJfg,1.4M,-,Italy,,411K,youtube,italy,False,2024,NA,NA
94,ClioMakeUp @UCZ0jA5BlUHXwBEqVpjiau3Q,1.4M,0.1%,Italy,,408K,youtube,italy,False,2024,NA,NA
95,Dread @UCUoC4hn4QbU55ZdxzOsKJ_A,1.4M,-,Italy,,408K,youtube,italy,False,2024,NA,NA
96,POW3Rtv @UCE_NXDkvRb-91JBjEmfdDVA,1.4M,0.2%,Italy,,408K,youtube,italy,False,2024,NA,NA
97,ilMasseo @UCH5dV7XjIpPGtqYlHXtG20Q,1.4M,3.7%,Italy,,405K,youtube,italy,False,2024,NA,NA
98,Anita Stories @UC9ZZe-4uKTgPEK-FCWiiXDw,1.4M,0.1%,Italy,,405K,youtube,italy,False,2024,NA,NA
99,Nick Radogna TV @UCaGQh5lmPvro4fjw3-Nyf1g,1.3M,-,Italy,,402K,youtube,italy,False,2024,NA,NA
100,Master Sina @UCbGf9U2ziPn1JPkWpS-Ffcg,1.3M,0.2%,Italy,,402K,youtube,italy,False,2024,NA,NA
