rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
51,Manu @x.manuel,1.1M,0.1%,Italy,Entertainment and Music,330K,tiktok,italy,False,2024,Music,MAPPED
52,Cora & Marilù @cora.e.marilu,1.1M,-,Italy,Acting and Drama,330K,tiktok,italy,False,2024,Entertainment,MAPPED
53,Vincenzo Caruso @dannyilpazzo.88,1.1M,-,Italy,Entertainment and Music,330K,tiktok,italy,False,2024,Music,MAPPED
54,Francesco Laganara @cescoartist,1M,-,Italy,Arts and Crafts,300K,tiktok,italy,False,2024,Lifestyle,MAPPED
55,Alessandro @alessandro_vincenti,991.7K,0.3%,Italy,,297.5K,tiktok,italy,False,2024,NA,NA
56,🤴🏻Joban♥️Pavi👸🏼 @joban.pavibajwa,989.2K,0.1%,Italy,Romance and Wedding Travel,296.8K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
57,Sharon Vanadia @sharon_vanadia,983.4K,0.1%,Italy,,295K,tiktok,italy,False,2024,NA,NA
58,🔥Alessandro tosatto @aletosatto,975.7K,-,Italy,,292.7K,tiktok,italy,False,2024,NA,NA
59,anapetcu @anapetcu,966.1K,-,Italy,,289.8K,tiktok,italy,False,2024,NA,NA
60,transformer674🇮🇹 @transformer674,961.4K,-,Italy,,288.4K,tiktok,italy,False,2024,NA,NA
61,Martina Strazzer @martinastrazzer_,960.9K,0.1%,Italy,,288.3K,tiktok,italy,False,2024,NA,NA
62,Gerardo Grossi Da Silva @gerardogrossi,958.6K,-,Italy,,287.6K,tiktok,italy,False,2024,NA,NA
63,Giuseppe Mandrake Ninno @mandrake1984real,957.5K,0.7%,Italy,,287.3K,tiktok,italy,False,2024,NA,NA
64,erym_wade @erym_wade,955.9K,-,Italy,,286.8K,tiktok,italy,False,2024,NA,NA
65,(mar)tina @cctvsad,955.8K,-,Italy,,286.7K,tiktok,italy,False,2024,NA,NA
66,PAOLO RUBBOLI @paolorubboli,954.2K,-,Italy,Entertainment and Music,286.3K,tiktok,italy,False,2024,Music,MAPPED
67,I’M FATY @_imfaty,947K,-,Italy,Product Showcase,284.1K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
68,Aida Diouf Mbengue @aidaadiouf,946.4K,-,Italy,,283.9K,tiktok,italy,False,2024,NA,NA
69,𝓢𝓲𝓵𝓿𝓲𝓪⚡️ @silviauras_,942.3K,0.1%,Italy,,282.7K,tiktok,italy,False,2024,NA,NA
70,Elisa @hay.its.elisa,938.7K,-,Italy,,281.6K,tiktok,italy,False,2024,NA,NA
71,Alessandro Piacenti @alessandro.piacenti,937.7K,-,Italy,Fashion and Accessories Photography,281.3K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
72,LYO💎 @lyothecat,929.6K,-,Italy,Pets Business and Finance,278.9K,tiktok,italy,False,2024,Knowledge&Info,MAPPED
73,Giuliano Scarparo Ph @giulianoscarparoph,928.7K,-,Italy,Nature Photography,278.6K,tiktok,italy,False,2024,Lifestyle,MAPPED
74,Italian Stallion @_leothecanecorso_,928.2K,-,Italy,Pets,278.5K,tiktok,italy,False,2024,Lifestyle,MAPPED
75,𝑆𝐴𝑀𝑈𝐸𝐿 𝑀𝐴𝐶𝑅𝐼̀• 🐺 @samuel__macri,926.6K,-,Italy,Fashion and Accessories Arts and Crafts DIY and Life Hacks,278K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
76,Khay 🇮🇹 @khayhiwatig,924.5K,-,Italy,Funny,277.4K,tiktok,italy,False,2024,Entertainment,MAPPED
77,TVgadget @tvgadget,920.3K,0.2%,Italy,,276.1K,tiktok,italy,False,2024,NA,NA
78,Irama @irama,906.2K,0.2%,Italy,,271.9K,tiktok,italy,False,2024,NA,NA
79,Chiara Giuffrida 🦄 @chiagiuffrida,901.9K,3.3%,Italy,Fashion and Accessories Beauty and Self Care Arts and Crafts Travel,270.6K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
80,doa.rbatiyaa @doa.rbatiyaa,898.9K,-,Italy,,269.7K,tiktok,italy,False,2024,NA,NA
81,ital @crystalsheyn,889.8K,-,Italy,Entertainment and Music,266.9K,tiktok,italy,False,2024,Music,MAPPED
82,chefincamicia @chefincamicia,887.8K,-,Italy,,266.3K,tiktok,italy,False,2024,NA,NA
83,Vincenzo Borrelli @vincenzoborrelli00,886.3K,0.1%,Italy,,265.9K,tiktok,italy,False,2024,NA,NA
84,Rita QueenJ 👑 @rita.queenj,882.4K,-,Italy,,264.7K,tiktok,italy,False,2024,NA,NA
85,Nicole Cereseto @nicoleceresetoo,879.1K,-,Italy,,263.7K,tiktok,italy,False,2024,NA,NA
86,nuela @nuelaofficial,875.8K,0.2%,Italy,Entertainment and Music,262.7K,tiktok,italy,False,2024,Music,MAPPED
87,Alfa @michiamanoalfa,874.2K,-,Italy,,262.3K,tiktok,italy,False,2024,NA,NA
88,Cucina Con Ruben @cucinaconruben,872.3K,0.3%,Italy,Food,261.7K,tiktok,italy,False,2024,Lifestyle,MAPPED
89,Kacie Rose @kacierose4,871.2K,-,Italy,Travel,261.4K,tiktok,italy,False,2024,Lifestyle,MAPPED
90,Samuele Brignoccolo @samuelebrignoccolo,870.9K,-,Italy,,261.3K,tiktok,italy,False,2024,NA,NA
91,Ilaria Perfetti @babyy.yla,868.5K,-,Italy,Beauty and Self Care,260.6K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
92,Giulia Stabile♡ @giugiulol4,867.8K,0.3%,Italy,Funny,260.3K,tiktok,italy,False,2024,Entertainment,MAPPED
93,✨ j u l i e 👙 @juzrayss,867.2K,-,Italy,,260.2K,tiktok,italy,False,2024,NA,NA
94,swann ritossa @swannfreestyle,864.7K,-,Italy,Sports,259.4K,tiktok,italy,False,2024,Sports,MAPPED
95,Matteo Brunetti @matteo.brunetti,862.7K,0.1%,Italy,Food,258.8K,tiktok,italy,False,2024,Lifestyle,MAPPED
96,nonnagracie @nonnagracie,851.3K,0.5%,Italy,Funny,255.4K,tiktok,italy,False,2024,Entertainment,MAPPED
97,glojoined @glojoined,850.6K,-,Italy,Fashion and Accessories,255.2K,tiktok,italy,False,2024,Beauty&Fashion,MAPPED
98,Giallozafferano loves Italy @giallozafferano_en,847.9K,-,Italy,Food,254.4K,tiktok,italy,False,2024,Lifestyle,MAPPED
99,Franzo.xd @federicofranzo,846.3K,-,Italy,Entertainment and Music Finance,253.9K,tiktok,italy,False,2024,Knowledge&Info,MAPPED
100,eleonora @elelocci,845.4K,-,Italy,,253.6K,tiktok,italy,False,2024,NA,NA
