rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,ekin.721,MOMO’s,221.7K,26M,2.8M,29.4K,116.4K,tiktok,march,2022
2,dojacat,Doja Cat,22.2M,25.4M,5M,36.7K,46.8K,tiktok,march,2022
3,kiet.ac.quy,Kiệt Ắk Wỷ,2.1M,20.7M,3.5M,38.8K,33.9K,tiktok,march,2022
4,charlidamelio,charli d’amelio,135.4M,18.7M,2.6M,54.7K,35.2K,tiktok,march,2022
5,luvadepedreiro,Iran Ferreira (Lai),11.4M,24.8M,2.6M,32.7K,26.8K,tiktok,march,2022
6,badbunny,Bad Bunny,16.1M,17.6M,4M,28K,26.2K,tiktok,march,2022
7,khaby.lame,Khabane lame,135.2M,17.7M,2.3M,18K,11.2K,tiktok,march,2022
8,leomahalo,Leo Mahalo,6.8M,19M,2.2M,11.8K,14.4K,tiktok,march,2022
9,swagboygorringe,Daniel Gorringe,5.6M,9.9M,1.8M,25.3K,35.9K,tiktok,march,2022
10,jennmelon,Jenn Melon,2M,11M,2.3M,15.1K,24.5K,tiktok,march,2022
11,jounggustav,Joung Gustav,1.9M,16.4M,2.2M,9.9K,13.4K,tiktok,march,2022
12,txt.bighitent,TOMORROW X TOGETHER,16.2M,7.7M,1.8M,33.2K,12.2K,tiktok,march,2022
13,pongamoslo_a_prueba,Pongámoslo a Prueba,30.4M,16M,2.5M,6.3K,7.3K,tiktok,march,2022
14,bdylanhollis,B. Dylan Hollis,7.6M,8.6M,1.6M,11.5K,20K,tiktok,march,2022
15,lyczak,👑Łyczuu👑,1.5M,11.8M,1.4M,16.1K,8.6K,tiktok,march,2022
16,juandamc,JuanDa.,17.1M,7.5M,1.7M,9.1K,19.5K,tiktok,march,2022
17,lifeinanimati0n,A <3,745.2K,6.2M,1.1M,8.8K,40.2K,tiktok,march,2022
18,zlusha,Zlusha,2M,7.2M,1.1M,12.9K,29.5K,tiktok,march,2022
19,amauryguichon,Amaury Guichon,5.4M,11M,1.6M,5.8K,13.3K,tiktok,march,2022
20,eupereiraoficial,Eu Pereira,4.6M,12.2M,1.2M,5.7K,11.5K,tiktok,march,2022
21,druskitv,DRUSKI,3.2M,6.4M,1.2M,7.7K,25.9K,tiktok,march,2022
22,adrianbliss,Adrian Bliss,5.2M,7.7M,1.5M,5.4K,16K,tiktok,march,2022
23,kimberly.loaiza,Kimberly Loaiza,61M,9.9M,1.3M,14.1K,4.5K,tiktok,march,2022
24,deborahyowa,Deborah yowa,10.3M,12.6M,688.7K,17K,9.1K,tiktok,march,2022
25,nekoglai,Николай,9.4M,8.5M,982.3K,22.5K,4.4K,tiktok,march,2022
26,domelipa,Dominik,50.7M,7.9M,1.2M,17.3K,6.2K,tiktok,march,2022
27,diego.cr_,Diego Rodríguez,238.1K,9.1M,845K,9.1K,19.5K,tiktok,march,2022
