rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
389,i.f.t.fishing,IFTFishing,9.7K,3.8M,154.5K,2.1K,12K,tiktok,june,2022
390,iamdikeh,Dikeh,2.8M,1.8M,174.5K,2.4K,1.3K,tiktok,june,2022
391,iamferv,Fernanda,29.3M,10M,1.4M,10.2K,6.4K,tiktok,june,2022
392,iamkelianne,Kelianne,9.9M,4.2M,452.5K,360,263,tiktok,june,2022
393,iamnotshaneofficial,iamnotshane,225.5K,2.2M,187.4K,554,2.8K,tiktok,june,2022
394,iampauloandre,Paulo André 🏁,1.4M,4.3M,854.1K,5.5K,6.4K,tiktok,june,2022
395,iamzario,zario,2M,1.2M,244.6K,1.8K,1.5K,tiktok,june,2022
396,iben_ma,Iben M.A.,7M,5.2M,379.1K,20.9K,1.1K,tiktok,june,2022
397,ig_alongwiranda,🕌🏃,880.7K,3.2M,129.4K,1.2K,20K,tiktok,june,2022
398,ikercasillas,Iker Casillas,2.4M,1.3M,212.1K,2.4K,3K,tiktok,june,2022
399,ikhmal_azzarin,Ikhmal Azzarin,407.4K,4.4M,303.7K,4K,3.8K,tiktok,june,2022
400,iloveyourmomscatt,,8.2K,1.3M,159.3K,4.9K,3.3K,tiktok,june,2022
401,ilusha_help,ilusha_help,4.6M,2.3M,75.9K,1.2K,7.9K,tiktok,june,2022
402,ilyasikuba,Ilyasikuba,2.7M,1.9M,188.8K,558,2.4K,tiktok,june,2022
403,imdimpey,Dimpey,8M,1.4M,330K,3.1K,4.7K,tiktok,june,2022
404,imma.tokyo,imma,486.9K,9.9M,1.2M,5.7K,3.1K,tiktok,june,2022
405,inachitomer,iNacho Mer,1.3M,2.9M,516.2K,1.1K,1K,tiktok,june,2022
406,incorrectlyroce,Roce Ordoñez,6.5M,3.9M,650.4K,2K,2.3K,tiktok,june,2022
407,infinite,Infinite,7.3M,4.8M,722.3K,6.9K,382,tiktok,june,2022
408,infinite,Infinite,7.3M,4.8M,722.3K,6.9K,382,tiktok,june,2022
409,ingratax,ingrid,14.8M,3.1M,617.8K,784,420,tiktok,june,2022
410,initiaraandini,tiara andini,4.7M,3.5M,338.6K,1.3K,1.2K,tiktok,june,2022
411,iqmorteza,مرتضى محمد,873.5K,3.7M,429.8K,6.5K,2K,tiktok,june,2022
412,isaach.p,Isaac H.P,1.8M,1.2M,189.4K,3.2K,2.1K,tiktok,june,2022
413,isaiahgarza,Isaiah Garza,7.5M,1.6M,297.3K,1.5K,954,tiktok,june,2022
414,isaliagomez_,Salma Isalia Gómez,703.8K,1.6M,297.3K,863,3.7K,tiktok,june,2022
415,its.michhh,Michel Chavez,30.2M,2.4M,369.7K,1.9K,193,tiktok,june,2022
416,itsjojosiwa,JoJo Siwa,41.8M,3.5M,429.2K,2.2K,619,tiktok,june,2022
417,itskingchris,KingChristian,16.2M,1.8M,355K,3K,1.8K,tiktok,june,2022
418,itslennnie,lennnie,2.3M,764.7K,120.6K,1.5K,20.4K,tiktok,june,2022
419,itsmenicksmithy,Nick Smithyman 🤓,7.4M,2.2M,415.4K,3.4K,2.4K,tiktok,june,2022
420,itsoraida,itsoraida,4.2M,1.1M,254.5K,1.7K,2.1K,tiktok,june,2022
421,itsqcp,QCP,10.1M,1.6M,297.7K,1.5K,916,tiktok,june,2022
422,itssassagurl,Sassa Gurl,6M,3.9M,716.4K,3.3K,6.5K,tiktok,june,2022
423,itstalasafwan,تالا صفوان | Tala Safwan🌵👸🏽,4.7M,2.9M,177.6K,4.6K,1.4K,tiktok,june,2022
424,itsthescotts,The Scotts,6.2M,1.5M,231.7K,517,2.2K,tiktok,june,2022
425,itzyofficial,ITZY,8.4M,1.2M,332.4K,3.8K,2.3K,tiktok,june,2022
426,ivanmartinez,Ivan KEN🤴🏼,12.4M,3M,392.1K,1.3K,489,tiktok,june,2022
427,ivanovik.83,ivanovik.1983,172.7K,2.3M,91.5K,1.1K,11.1K,tiktok,june,2022
428,ive.official,IVE.official,2.2M,7.7M,1.5M,12K,14K,tiktok,june,2022
