rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,Cristiano Ronaldo,625100000,0.01,Portugal,Finance Soccer,187500000,Sports,@cristiano
2,Leo Messi,501100000,0.01,Argentina,Sports Soccer Activity General General Interest,150300000,Sports,@leomessi
3,Selena Gomez,429700000,1.09,United States,Beauty and Self Care Entertainment and Music Music Actors,128900000,Music,@selenagomez
4,Kylie,400500000,,United States,Beauty and Self Care Product Showcase Modeling Public Figure,120100000,Beauty/Fashion,@kyliejenner
5,Dwayne Johnson,397800000,0.13,United States,Entertainment and Music Actors Public Figure,119300000,Music,@therock
6,Ariana Grande,380300000,0.58,United States,Entertainment and Music Music Singer Actors,114100000,Music,@arianagrande
7,Kim Kardashian,364300000,0.32,United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,109300000,Beauty/Fashion,@kimkardashian
8,Beyoncé,319900000,0.48,United States,Music Singer,96000000,Music,@beyonce
9,Khloé Kardashian,310600000,0.19,United States,Fashion and Accessories Modeling Public Figure,93200000,Beauty/Fashion,@khloekardashian
10,Kendall,294700000,1.12,,Food Fashion and Accessories Modeling Fashion Model,88400000,Beauty/Fashion,@kendalljenner
11,Justin Bieber,293000000,0.37,Canada,Entertainment and Music Music Singer Musician,87900000,Music,@justinbieber
12,Taylor Swift,283400000,,United States,Entertainment and Music Music Singer Songwriting,85000000,Music,@taylorswift
13,Virat Kohli,267100000,0.02,India,Sports Cricket Athlete,80100000,Sports,@virat.kohli
14,Jennifer Lopez,253600000,0.01,United States,Art Food and Drink Entertainment and Music Celebrity,76100000,Music,@jlo
15,Barbie,229400000,0.18,,Fashion and Accessories Singer Artist,68800000,Music,@nickiminaj
16,Kourtney Kardashian Barker,224300000,0.5,United States,Entertainment and Music Business and Finance Modeling Actors,67300000,Music,@kourtneykardash
17,Neymar Jr,220100000,,Brazil,Sports Soccer Athlete,66000000,Sports,@neymarjr
18,Miley Cyrus,217200000,0.01,United States,Music,65100000,Music,@mileycyrus
19,KATY PERRY,207100000,0.01,United States,Entertainment and Music Music Singer Bands Musicians,62100000,Music,@katyperry
20,Zendaya,184800000,2.92,United States,Entertainment and Music Acting and Drama Celebrity Actors,55500000,Music,@zendaya
