rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,T-Series,234000000,,India,,70200000,,@UCq-Fj5jknLsUf-MWSy4_brA
2,Cocomelon - Nursery Rhymes,144000000,,United States,,43200000,,@UCbCmjCuTUZos6Inko4u57UQ
3,SET India,139000000,,India,,41700000,,@UCpEhnqL0y41EpW2TvWAHD7Q
4,PewDiePie,111000000,0.1,United States,,33300000,,@UC-lHJZR3Gqxm24_Vd_AJ5Yw
5,MrBeast,100000000,2.4,United States,Celebrity Pets,30000000,Lifestyle,@UCX6OQ3DkcsbYNE6H8uQQuVA
6,Like Nastya,97300000,,United States,,29200000,,@UCJplp5SjeGSdVdwsfb9Q7lQ
7,✿ Kids Diana Show,94200000,,,,28300000,,@UCk8GzjMOrta8yxDcKfylJYw
8,Zee Music Company,91400000,,India,,27400000,,@UCFFbwnve3yF62-tVXkTyHqg
9,WWE,91200000,,,,27400000,,@UCJ5v_MCY6GNUBTO8-D3XoAg
10,Vlad and Niki,84300000,,United States,Marketing and Advertising Music,25300000,Music,@UCvlE5gTbOvjiolFlEm-c_Ow
11,BLACKPINK,82000000,0.4,South Korea,,24600000,,@UCOmHUn--16B90oW2L6FRR3A
12,Goldmines,72000000,,India,,21600000,,@UCyoXW-Dse7fURq30EWl_CUA
13,Justin Bieber,69700000,,Canada,,20900000,,@UCIwFjwMjI0y7PDBVEO9-bkQ
14,Sony SAB,69200000,,India,,20800000,,@UC6-F5tO8uklgE9Zy8IvbdFw
15,BANGTANTV,68600000,0.5,,,20600000,,@UCLkAepWjdylmXSltofFvsYQ
16,HYBE LABELS,68100000,,South Korea,Celebrity Music,20400000,Music,@UC3IZKseVpdzPSBaWxBxundA
17,Canal KondZilla,66300000,,Brazil,,19900000,,@UCffDXn7ycAzwL2LDlbyWOTw
18,Zee TV,64000000,,India,,19200000,,@UCppHT7SZKKvar4Oc9J4oljQ
19,Shemaroo Filmi Gaane,61100000,,India,,18300000,,@UCP6uH_XlsxrXwZQ4DlqbqPg
20,Colors TV,59200000,,India,,17800000,,@UC55IWqFLDH1Xp7iu1_xknRA
21,ChuChu TV Nursery Rhymes & Kids Songs,58700000,,India,,17600000,,@UCBnZ16ahKA2DZ_T5W0FPUXg
22,Dude Perfect,58600000,,United States,,17600000,,@UCRijo3ddMTht_IHyNSNXpNQ
23,Movieclips,58500000,,United States,,17600000,,@UC3gNmTGu-TTbFPpfSs5kNkg
