#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,beca @beca,29.2M,1%,Brazil,Travel,8.8M
2,+a @maisa,19.7M,0.6%,Brazil,Arts and Crafts,5.9M
3,Ingrid Ohara @ingridohara,17.1M,0.7%,Brazil,Entertainment and Music,5.1M
4,Luísa Sonza @luisasonza,16.3M,0.7%,Brazil,Music,4.9M
5,Felipe Neto @felipeneto,15.5M,-,Brazil,,4.7M
6,Emilly Vick @emillyvickof,15.3M,-,Brazil,Fashion and Accessories Beauty and Self Care,4.6M
7,LK @lkzinhu,14.5M,-,Brazil,Arts and Crafts,4.4M
8,nilson ☻ @nilsonneto,13.3M,-,Brazil,Entertainment and Music,4M
9,marcelotwelve @marcelotwelve,11.7M,-,Brazil,,3.5M
10,Isaías @isaias,11.2M,-,Brazil,Entertainment and Music Funny Acting and Drama,3.4M
11,Netflix Brasil @netflixbrasil,10.2M,-,Brazil,Entertainment and Music,3.1M
12,Celso Portiolli @portiolli,9.8M,-,Brazil,,2.9M
13,Gabriela Moura @gabimfmoura,9.4M,3.6%,Brazil,,2.8M
14,TikTok Brasil @tiktokbrasil,9.3M,-,Brazil,Entertainment and Music,2.8M
15,Ananda @ananda,9.2M,-,Brazil,Entertainment and Music,2.8M
16,Raissa Chaddad @raissachaddad,8.9M,-,Brazil,Acting and Drama,2.7M
17,Victtória Medeiros @victtoriamedeiros,8.8M,2.7%,Brazil,,2.6M
18,Simaria @simaria,8.7M,0.1%,Brazil,,2.6M
19,lisa @lisabarcelox,8.5M,-,Brazil,,2.6M
20,Jeipy @j3ipy_,8.1M,0.1%,Brazil,Education Entertainment and Music,2.4M
21,João Ferdnan @joaoferdnan,7.7M,0.1%,Brazil,Entertainment and Music,2.3M
22,Jojo Todynho @jojotodynho,7.5M,-,Brazil,,2.3M
23,Humorista Talokudo @talokudo,7.2M,-,Brazil,Funny,2.2M
24,Kau @kauanahofem,7.1M,-,Brazil,,2.1M
25,Thiago Ventura @othiagoventura,6.9M,-,Brazil,Entertainment and Music Funny Celebrity,2.1M
26,Mateus Pain @mateuspain,6.8M,0.3%,Brazil,Entertainment and Music,2M
27,yaszou @yaszou,6.7M,-,Brazil,Fashion and Accessories,2M
28,LOUD Mii @loud_mi,6.5M,-,Brazil,Entertainment and Music,2M
29,Juliana Paiva @juuliana_paiva,6.4M,1.1%,Brazil,Acting and Drama Celebrity,1.9M
30,taby @tabyoriginal,5.8M,-,Brazil,Fashion and Accessories,1.7M
31,Aninha Pereira @aninha,5.7M,-,Brazil,Arts and Crafts,1.7M
32,Ramana Borba @ramanaborba,5.6M,-,Brazil,,1.7M
33,Júlio Cocielo @cocielo,5.4M,0.1%,Brazil,Entertainment and Music,1.6M
34,Tami @tamiriarodrigues,5.2M,-,Brazil,Fitness and Health,1.6M
35,Amanda Araújo @_amanndaraujo,5.1M,1.6%,Brazil,Entertainment and Music,1.5M
36,Edivando Junior @ediqueixinho,5.1M,2.4%,Brazil,Entertainment and Music,1.5M
37,Carol Chamberlain @carolchamberlain,5.1M,-,Brazil,Acting and Drama,1.5M
38,Daniele Lopes @danielelopes.s,5M,-,Brazil,,1.5M
39,Ana Julia Mallmann ✨ @ana_mallmann_,5M,-,Brazil,,1.5M
40,Bruna Louise @abrunalouise,5M,-,Brazil,,1.5M
41,Dani Russo @danirussotv,5M,-,Brazil,Entertainment and Music,1.5M
42,doarda @doarda,4.9M,-,Brazil,Life and Society Travel,1.5M
43,Laizza @laizza,4.9M,-,Brazil,,1.5M
44,Marina Ruy Barbosa @marinaruybarbosa,4.9M,-,Brazil,,1.5M
45,Marvin @marvinlaqueen,4.9M,-,Brazil,Entertainment and Music,1.5M
46,Davi Kneip @davikneip,4.6M,-,Brazil,,1.4M
